MAZ,TAZ
47,347
48,348
49,345
50,334
51,333
54,350
55,350
56,332
57,351
112,334
113,345
177,348
409,332
698,350
700,343
720,348
721,349
738,354
780,344
781,344
782,344
783,349
784,349
785,348
797,340
851,340
852,354
858,338
918,353
919,353
924,355
925,356
963,346
971,346
972,346
973,345
974,345
977,350
978,350
979,350
997,355
998,356
1000,357
1001,357
1306,332
2867,350
3604,347
3605,347
3613,358
3662,343
3668,353
3679,347
3915,347
4122,354
4123,354
4124,357
4170,353
4621,338
4624,355
4625,355
4626,355
4691,336
4863,341
4865,341
4866,339
4867,340
4868,353
5053,336
5353,358
5881,353
5882,353
6078,334
6123,346
6124,345
6125,347
6126,332
6127,333
6129,333
6130,344
6131,334
6182,353
6185,357
6553,335
6568,358
7135,348
7136,348
7137,348
7140,349
7184,341
7189,341
7427,331
7670,334
7672,350
7674,343
7705,352
7706,352
7708,352
7709,353
7710,353
8198,340
8200,340
8201,338
8202,338
8429,331
8430,347
8686,353
8765,355
9859,332
10522,350
10773,334
11062,340
11063,340
11064,340
11065,353
11066,354
11586,354
11587,354
11589,355
11590,355
11591,355
11934,353
12347,344
12361,352
12634,356
12635,357
12674,332
13187,345
13634,346
13635,346
13636,346
13637,345
13638,348
13639,347
13640,348
13641,333
13642,345
13661,357
13862,332
13884,346
13885,332
13923,339
13968,332
14110,332
14111,333
14112,344
14113,345
14433,354
14436,338
14588,340
14602,348
14603,349
14604,348
14605,344
14606,344
14607,344
14608,349
14609,348
14621,334
14697,358
15123,334
15124,334
15129,350
15130,343
15131,350
15132,350
15134,350
15135,343
15212,355
15372,336
15385,336
15446,338
15634,343
15635,350
15668,336
15669,341
15670,341
15671,352
15672,339
15673,340
15674,352
15675,340
15676,353
15878,352
16488,357
16531,346
16543,357
16723,352
16724,353
16944,358
16967,346
16968,346
16969,346
16970,345
16971,346
16972,346
16974,347
16975,348
16976,348
16977,332
16978,333
16979,334
16980,333
16981,333
16982,334
16983,345
17069,332
17506,348
17507,348
17509,344
17510,344
17511,349
17512,348
18071,334
18073,343
18364,353
18551,347
18570,350
18572,343
18574,350
18575,350
18598,341
18601,339
18603,352
18604,352
18605,340
18606,352
18609,352
18610,353
18801,341
19062,331
19327,346
19328,346
19329,345
19330,346
19331,345
19332,347
19334,333
19335,333
19336,334
19337,334
19338,333
19339,333
19340,345
19341,345
19445,332
19446,343
19447,339
19487,348
19488,348
19629,351
19671,343
19672,334
19673,343
19674,350
19675,350
19676,350
19681,341
19682,336
19685,352
19686,352
19687,353
19907,353
19990,344
20198,340
20388,358
20476,356
20532,353
20936,352
20937,352
20944,357
20979,339
20980,340
20981,340
21119,332
21145,354
21146,354
21147,354
21148,354
21149,354
21150,338
21152,355
21358,334
21359,346
21360,347
21454,356
21455,357
21507,352
21616,356
21617,357
21618,356
21761,334
21809,356
22065,332
22087,338
22118,347
22119,346
22120,345
22121,345
22122,332
22148,358
22200,343
22923,333
22924,333
22925,333
22927,344
22928,334
22929,334
22930,334
22932,345
23024,347
23196,356
23245,340
23246,354
23482,346
23483,346
23484,345
23485,345
23486,345
23487,345
23488,345
23494,356
23713,348
23714,344
23715,344
23716,349
23717,349
23718,344
23719,349
23720,349
23721,347
23722,343
23973,347
23980,346
24255,347
24256,347
24257,347
24258,348
24259,333
24260,334
24261,334
24262,345
24263,344
24289,358
24339,345
24489,343
24490,350
24491,350
24492,350
24493,350
24494,350
24518,341
24519,352
24520,352
24521,352
24522,352
24523,353
24748,332
24770,354
24771,354
24772,338
24775,355
24777,355
24778,355
24984,346
25040,344
25041,344
25042,348
25043,349
25044,348
25231,333
25259,343
25260,343
25287,358
25665,348
25822,332
25823,343
25868,344
25869,344
25870,344
25871,349
25872,349
25873,349
25878,334
25879,335
25973,350
26060,350
26072,334
26402,356
26403,356
26404,356
26632,348
26681,334
26683,343
26685,349
26686,343
26687,350
26688,350
26689,350
26691,350
26694,356
26709,341
26712,352
26713,341
26714,341
26715,352
26716,340
26717,340
26718,352
26720,353
26721,352
26889,332
27148,343
27190,357
27191,358
27401,345
28002,332
28003,346
28004,346
28005,346
28006,345
28007,348
28008,348
28010,348
28011,348
28012,348
28013,345
28014,345
28015,345
28091,350
28504,349
28813,352
28825,345
28826,345
29567,345
29569,350
29570,357
29609,348
29610,349
29611,349
29612,347
29613,348
29614,348
29617,349
29619,334
29642,341
29643,341
29644,339
29645,340
29646,352
29706,350
29900,334
30001,353
30391,342
30433,343
30436,343
30437,343
30438,350
30439,343
30442,346
30925,347
30952,340
31223,353
31464,332
31470,345
31471,357
31954,358
32504,354
32509,357
32573,357
33012,343
33025,345
33049,339
33051,354
33052,354
33502,358
33798,332
33845,354
33846,354
33847,354
33975,339
34055,355
34578,350
34596,355
34597,355
34598,355
34599,355
34600,355
