TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
3093,1,1,1,220,585,345.5381,223.8030227,55.02185777,30,92,0,20,6,4,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3098,1,1,1,225,1361,89.6262,45.476141675,17.043944965,10,487,0,4,3,3,0,0,66.66666666666667,66.66666666666667,0,0,0.0,0.0,1,10.0
3112,1,1,1,0,0,138.4951,0.0,117.60158525,207,0,32,20,1,154,0,0,25.0,25.0,0,0,26244.75,8748.25,1,10.0
3115,1,1,1,0,0,64.0787,1.20318327,24.770220300000002,690,0,0,295,367,14,0,14,0.0,0.0,5,1,408.75,136.25,1,0.0
3129,1,1,1,602,1399,220.1208,104.028397425,78.070636635,47,245,9,16,8,14,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3131,1,1,1,183,493,100.3884,44.89962311,44.79653681,1483,58,943,465,46,29,0,0,0.0,0.0,5,0,820.5,273.5,1,10.0
3134,1,1,1,714,1549,208.71280000000004,97.3920337325,57.2875700475,196,201,3,56,7,130,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3135,1,1,1,237,543,138.503,61.807220580000006,45.75842928,34,77,0,12,11,11,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3148,1,1,1,743,1716,211.8019,85.93890444749998,67.7915683025,88,245,0,32,17,39,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3176,1,1,1,663,2145,41.0258,10.190437715,9.076165905,10314,515,21,100,9697,496,0,0,31.25,31.25,0,0,273.75,91.25,1,10.0
3184,1,1,1,409,1004,169.9564,69.8592370975,61.7677735525,20,159,0,13,0,7,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3195,1,1,1,789,1841,128.3712,88.0308368625,9.4021559375,48,285,0,9,24,15,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3208,1,1,1,322,717,92.2187,56.40405976,11.00778091,58,85,0,34,3,21,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3252,1,1,1,456,1080,83.70960000000002,64.39595871249999,6.6967168975,27,163,0,9,0,18,0,0,0.0,0.0,5,0,0.0,0.0,1,0.0
3259,1,1,1,987,2292,54.7761,29.7420094225,6.8310037175,464,388,69,44,134,181,0,36,0.0,0.0,5,0,0.0,0.0,1,0.0
