MAZ,TAZ
492,3397
493,3397
494,3397
495,3397
496,3397
497,3397
498,3397
499,3397
500,3397
501,3396
502,3396
503,3397
504,3396
505,3396
506,3397
507,3396
508,3396
509,3396
510,3396
511,3396
512,3396
513,3395
514,3395
515,3395
516,3395
517,3395
518,3395
519,3315
520,3315
521,3315
522,3315
523,3315
524,3314
525,3315
526,3315
527,3314
528,3315
529,3315
530,3314
531,3315
532,3314
533,3314
534,3314
535,3314
536,3314
537,3314
538,3314
539,3314
540,3314
541,3314
542,3314
543,3314
544,3277
545,3277
546,3277
547,3277
548,3277
549,3277
550,3277
551,3261
552,3261
553,3290
554,3290
555,3259
556,3289
557,3289
558,3289
559,3259
560,3259
561,3261
562,3261
563,3261
564,3259
565,3259
566,3148
567,3148
568,3148
569,3148
570,3148
571,3148
572,3134
573,3148
574,3134
575,3134
576,3134
577,3134
578,3134
579,3134
580,3134
581,3134
582,3148
583,3148
584,3134
585,3134
586,3129
587,3208
588,3208
589,3208
590,3135
591,3135
592,3129
593,3129
594,3115
595,3115
596,3129
597,3135
598,3135
599,3129
600,3208
601,3129
602,3129
603,3208
604,3208
605,3208
606,3274
607,3129
608,3208
609,3281
610,3274
611,3274
612,3281
613,3281
614,3184
615,3184
616,3286
617,3184
618,3286
619,3184
620,3184
621,3252
622,3286
623,3252
624,3252
625,3286
626,3272
627,3272
628,3272
629,3272
630,3272
631,3272
632,3272
633,3272
634,3272
635,3272
636,3272
637,3342
638,3342
639,3342
640,3342
641,3342
642,3342
643,3342
644,3342
645,3342
646,3342
647,3342
648,3342
649,3342
650,3342
651,3342
652,3317
653,3317
654,3317
655,3317
656,3317
657,3317
658,3317
659,3317
660,3317
661,3317
662,3317
663,3317
664,3317
665,3317
666,3317
667,3398
668,3398
669,3398
670,3398
671,3398
672,3398
673,3398
674,3398
675,3398
676,3398
677,3398
678,3398
679,3402
680,3402
681,3402
682,3402
683,3402
684,3402
685,3402
686,3402
687,3402
688,3400
689,3400
690,3400
691,3400
692,3400
693,3400
694,3400
695,3400
696,3400
697,3399
698,3399
699,3399
700,3399
701,3399
702,3399
703,3399
704,3399
705,3343
706,3343
707,3343
708,3343
709,3343
710,3340
711,3343
712,3340
713,3340
714,3340
715,3340
716,3340
717,3340
718,3340
719,3340
720,3383
721,3383
722,3383
723,3383
724,3383
725,3383
726,3383
727,3383
728,3383
729,3383
730,3383
731,3383
732,3433
733,3433
734,3433
735,3433
736,3464
737,3464
738,3464
739,3464
740,3464
741,3464
742,3497
743,3497
744,3497
745,3497
746,3497
747,3497
748,3493
749,3493
750,3493
751,3493
752,3497
753,3497
754,3497
755,3493
756,3493
757,3493
758,3493
759,3493
760,3493
761,3498
762,3498
763,3498
764,3498
765,3536
766,3536
767,3536
768,3536
769,3536
770,3536
771,3498
772,3498
773,3498
774,3536
775,3536
776,3536
777,3536
778,3536
779,3536
780,3595
781,3595
782,3655
783,3655
784,3655
785,3655
786,3655
787,3655
788,3655
789,3655
790,3655
791,3655
792,3592
793,3592
794,3592
795,3595
796,3595
797,3592
798,3595
799,3595
800,3595
801,3595
802,3595
803,3595
804,3595
805,3595
806,3595
807,3761
808,3761
809,3761
810,3761
811,3822
812,3761
813,3761
814,3761
815,3822
816,3822
817,3822
818,3654
819,3654
820,3654
821,3654
822,3654
823,3713
824,3713
825,3713
826,3713
827,3746
828,3746
829,3746
830,3713
831,3654
832,3654
833,3654
834,3713
835,3713
836,3713
837,3713
838,3654
839,3654
840,3654
841,3540
842,3540
843,3540
844,3597
845,3597
846,3597
847,3597
848,3597
849,3597
850,3501
851,3501
852,3501
853,3501
854,3540
855,3540
856,3540
857,3540
858,3540
859,3540
860,3540
861,3540
862,3540
863,3597
864,3597
865,3597
866,3597
867,3597
868,3597
869,3597
870,3661
871,3661
872,3661
873,3661
874,3661
875,3698
876,3698
877,3698
878,3661
879,3661
880,3661
881,3661
882,3661
883,3698
884,3698
885,3661
886,3698
887,3698
888,3698
889,3698
890,3698
891,3698
892,3698
893,3698
894,3698
895,3316
896,3316
897,3316
898,3316
899,3316
900,3316
901,3316
902,3316
903,3376
904,3376
905,3376
906,3376
