OMAZ,DMAZ,DISTBIKE
15299,15299,0.088166667
15299,15298,0.7705
15291,15281,1.050333333
15291,15280,0.971333333
15291,15279,0.8495
15291,15278,0.675666667
15291,15284,0.508833333
15291,15283,0.7275
15297,14940,2.408333333
15283,15284,0.335666667
15283,15283,0.051666667
15283,15293,0.859
15283,15292,1.092333333
15283,15291,0.727166667
15283,15297,1.3485
15283,15296,1.335333333
15283,15295,1.642
15283,15294,1.114
15283,15299,0.631333333
15283,15298,0.587833333
15284,15278,0.253666667
15284,15281,0.602
15295,14940,2.135833333
15284,15280,0.462833333
15284,15279,0.279833333
15284,15284,0.126833333
15284,15283,0.3425
15284,15294,0.8715
15284,15293,0.649166667
15284,15292,0.874
15284,15291,0.508833333
15284,15298,0.416
15284,15297,1.142
15284,15296,1.129
15284,15295,1.380833333
15284,15299,0.477666667
15296,14940,2.499
15297,15299,0.750666667
15297,15298,1.195
15297,15297,0.057833333
15297,15296,0.115666667
15298,15280,0.748666667
15298,15279,0.616166667
15298,15278,0.5205
15298,15284,0.352666667
15298,15283,0.562333333
15298,15281,0.8595
15298,15292,0.7575
15298,15291,0.452833333
15298,15296,0.9505
15298,15295,1.235166667
15298,15294,0.7405
15298,15293,0.688833333
15298,15299,0.7015
15298,15298,0.176333333
15298,15297,1.108166667
15299,15281,0.228
15299,15280,0.176333333
15299,15279,0.476166667
15299,15278,0.488333333
15299,15284,0.508333333
15299,15283,0.542666667
15299,15293,0.2065
15299,15292,1.224166667
15299,15291,0.839
15299,15297,0.914166667
15299,15296,0.806666667
15299,15295,1.5335
15299,15294,0.733333333
15295,15297,0.675333333
15295,15296,0.6225
15295,15295,0.0845
15295,15294,0.4655
15295,15299,1.250333333
15295,15298,1.6385
15296,15278,1.231166667
15296,15281,0.896333333
15296,15280,0.971666667
15296,15279,1.108166667
15296,15284,1.13
15296,15283,1.352833333
15296,15294,0.4045
15296,15293,0.492166667
15296,15292,1.2605
15296,15291,0.784333333
15296,15298,1.137666667
15296,15297,0.115666667
15296,15296,0.057833333
15296,15295,0.604166667
15296,15299,0.717666667
15297,15279,1.113
15297,15278,1.247666667
15297,15283,1.4555
15297,15281,0.945833333
15297,15280,0.976666667
15297,15284,1.285666667
15297,15291,0.849833333
15297,15295,0.657833333
15297,15294,0.411833333
15297,15293,0.4995
15297,15292,1.272
