coefficient_name,value,constrain
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_KNRACCESS,0.5,T
coef_nest_TRANSIT_PNRACCESS,0.5,T
coef_nest_SCHOOL_BUS,0.72,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,6.679066631523342,F
walk_ASC_no_auto_escort,4.882867039849283,F
walk_ASC_no_auto_othdiscr,4.820543931523342,F
walk_ASC_no_auto_othmaint,3.368959239849282,F
walk_ASC_no_auto_school,12.225978613445273,F
walk_ASC_no_auto_shopping,4.458537539849282,F
walk_ASC_no_auto_social,3.4220408315233444,F
walk_ASC_no_auto_univ,3.910159101302879,F
walk_ASC_no_auto_work,4.159023185762584,F
walk_ASC_no_auto_atwork,1.544217384663518,F
walk_ASC_auto_deficient_eatout,2.9407128853961284,F
walk_ASC_auto_deficient_escort,-1.5008955985254078,F
walk_ASC_auto_deficient_othdiscr,1.9155153853961302,F
walk_ASC_auto_deficient_othmaint,0.7701913614745923,F
walk_ASC_auto_deficient_school,1.1133914430542913,F
walk_ASC_auto_deficient_shopping,1.6713242614745927,F
walk_ASC_auto_deficient_social,2.536291885396129,F
walk_ASC_auto_deficient_univ,5.969815972382048,F
walk_ASC_auto_deficient_work,1.9673254619764007,F
walk_ASC_auto_deficient_atwork,-4.319605328334406,F
walk_ASC_auto_sufficient_eatout,2.066920561656495,F
walk_ASC_auto_sufficient_escort,-1.5108470410440904,F
walk_ASC_auto_sufficient_othdiscr,1.7785778616564947,F
walk_ASC_auto_sufficient_othmaint,0.10072295895590931,F
walk_ASC_auto_sufficient_school,-1.0979961835986936,F
walk_ASC_auto_sufficient_shopping,0.032025858955909314,F
walk_ASC_auto_sufficient_social,2.222448861656495,F
walk_ASC_auto_sufficient_univ,3.7939305088461226,F
walk_ASC_auto_sufficient_work,-0.3839252643739825,F
walk_ASC_auto_sufficient_atwork,0.6888285413821493,F
bike_ASC_no_auto_eatout,1.3406128683316336,F
bike_ASC_no_auto_escort,-1.8776730763253895,F
bike_ASC_no_auto_othdiscr,0.09611870833163341,F
bike_ASC_no_auto_othmaint,0.37797232367461003,F
bike_ASC_no_auto_school,0.0,F
bike_ASC_no_auto_shopping,-0.32730557632538987,F
bike_ASC_no_auto_social,0.49312511833163325,F
bike_ASC_no_auto_univ,1.6230401393208198,F
bike_ASC_no_auto_work,1.9366521491848292,F
