coefficient_name,value,constrain
coef_shop_mode_choice_logsum,0.266590021,F
coef_shop_Joint_Shopping_tours_dummy_Departure_before_10_00_AM_Linear,0,F
coef_shop_Joint_Shopping_tours_dummy_Departure_after_10_30_AM_Linear,0,F
coef_shop_Joint_Tours_Party_Size_gt_2_Duration_lt_1p5_hrs,0,F
coef_shop_Joint_Tours_Party_Size_gt_2_Duration_gt_1p5_hr,0,F
coef_shop_Joint_Tour_with_only_adults_Duration_lt_1p5_hrs,0,F
coef_shop_Kids_in_Joint_Tour_Duration_lt_1p5_hrs,0,F
coef_shop_Kids_in_Joint_Tour_Duration_gt_1p5_hr,0,F
coef_shop_Low_Income_lteq25_000_Duration_gt_1p5_hr,0,F
coef_shop_Medium_Income_25_001_to_60_000_Duration_lt_1p5_hrs,0,F
coef_shop_MediumHigh_Income_60_001_to_120_00_Duration_gt_1p5_hr,0,F
coef_shop_Distance_Duration_lt_1p5_hrs,-0.07242029,F
coef_shop_Distance_Duration_gt_1p5_hr,0.013215963,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_before_08_30_am_Linear,-1.097160499,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_before_08_30_am_Square_root,0,F
coef_shop_Departure_Constant_Before_09_00_AM,0,F
coef_shop_Departure_Constant_09_00_AM_09_30_AM,0,F
coef_shop_Departure_Constant_09_30_AM_10_00_AM,0,F
coef_shop_Departure_Constant_10_00_AM_10_30_AM,0,T
coef_shop_Departure_Constant_10_30_AM_11_00_AM,0,F
coef_shop_Departure_Constant_After_11_00_AM,0,F
coef_shop_Departure_Constant_Shift_for_every_30_minutes_after_11_30_am_Linear,0,F
coef_shop_Arrival_Constant_Shift_for_every_30_minutes_before_12_00_pm_Linear,-0.178109475,F
coef_shop_Arrival_Constant_Before_12_30_PM,1.33565007,F
coef_shop_Arrival_Constant_12_30_PM_03_00_PM,1.123236175,F
coef_shop_Arrival_Constant_03_00_PM_03_30_PM,1.110617469,F
coef_shop_Arrival_Constant_03_30_PM_04_00_PM,0.588845741,F
coef_shop_Arrival_Constant_04_00_PM_04_30_PM,0.629754019,T
coef_shop_Arrival_Constant_04_30_PM_05_00_PM,0.741900363,F
coef_shop_Arrival_Constant_05_00_PM_05_30_PM,0.868235362,F
coef_shop_Arrival_Constant_05_30_PM_07_00_PM,0.689643357,F
coef_shop_Arrival_Constant_07_00_PM_09_30_PM,0,F
coef_shop_Arrival_Constant_After_09_30_PM,-0.774761875,F
coef_shop_Arrival_Constant_Shift_for_every_30_minutes_after_10_00_pm_Linear,-0.763104981,F
coef_shop_Duration_Constant_0_hrs,-1.505127063,F
coef_shop_Duration_Constant_0p5_hrs,0,F
coef_shop_Duration_Constant_1_hrs,0,T
coef_shop_Duration_Constant_1p5hrs,0.036277026,F
coef_shop_Duration_Constant_2_hrs,-0.155375923,F
coef_shop_Duration_Constant_Longer_than_2_hrs,0,F
coef_shop_Duration_Constant_Duration_gt_2p5_hrs_Linear,-0.532837138,F
coef_shop_Duration_Constant_Duration_gt_2p5_hrs_Square_root,0,F
coef_shop_Calibration_Constant_Duration_eq_1,0,F
coef_shop_Calibration_Constant_Duration_eq_2,0,F
coef_shop_Calibration_Constant_Duration_eq_3,0,F
coef_maint_mode_choice_logsum,0.203572728,F
coef_maint_Joint_Maintenance_tours_dummy_Departure_before_10_00_AM_Linear,-0.499941406,F
coef_maint_Joint_Maintenance_tours_dummy_Departure_after_10_30_AM_Linear,0.136476976,F
coef_maint_Joint_Tours_Party_Size_gt_2_Duration_lt_1p5_hrs,0,F
coef_maint_Joint_Tours_Party_Size_gt_2_Duration_gt_1p5_hr,0,F
coef_maint_Joint_Tour_with_only_adults_Duration_lt_1p5_hrs,0,F
coef_maint_Kids_in_Joint_Tour_Duration_lt_1p5_hrs,0,F
coef_maint_Kids_in_Joint_Tour_Duration_gt_1p5_hr,0,F
coef_maint_Low_Income_lteq25_000_Duration_gt_1p5_hr,0,F
coef_maint_Medium_Income_25_001_to_60_000_Duration_lt_1p5_hrs,0,F
coef_maint_Medium_Income_25_001_to_60_000_Duration_gt_1p5_hr,0,T
coef_maint_MediumHigh_Income_60_001_to_120_00_Duration_gt_1p5_hr,0,F
coef_maint_Distance_Duration_lt_1p5_hrs,-0.101359184,F
coef_maint_Distance_Duration_gt_1p5_hr,0.008486296,F
coef_maint_Departure_Constant_Shift_for_every_30_minutes_before_07_30_am_Linear,0,F
coef_maint_Departure_Constant_Shift_for_every_30_minutes_before_07_30_am_Square_Root,0,F
coef_maint_Departure_Constant_Before_08_00_AM,0,F
coef_maint_Departure_Constant_08_00_AM_08_30_AM,0,F
coef_maint_Departure_Constant_08_30_AM_09_00_AM,0,F
coef_maint_Departure_Constant_09_00_AM_09_30_AM,0,F
coef_maint_Departure_Constant_09_30_AM_10_00_AM,0,F
coef_maint_Departure_Constant_10_00_AM_10_30_AM,0,T
coef_maint_Departure_Constant_10_30_AM_11_00_AM,0,F
coef_maint_Departure_Constant_After_11_00_AM,0,F
coef_maint_Departure_Constant_Shift_for_every_30_minutes_after_11_30_am_Linear,0,F
coef_maint_Arrival_Constant_Shift_for_every_30_minutes_before_10_00_am_Linear,0,F
coef_maint_Arrival_Constant_Before_10_30_AM,1.05775869,F
coef_maint_Arrival_Constant_10_30_AM_11_00_AM,1.412605821,T
