coefficient_name,value,constrain
coef_escort_mode_choice_logsum,0.2,F
coef_escort_distance_to_destination_duration_less_than_30_minutes,-0.4733878369607008,F
coef_escort_distance_to_destination_duration_greater_than_30_minutes,0.008568718107435931,F
coef_escort_fulltime_worker_departure_after_8_am_linear,0.0,F
coef_escort_fulltime_worker_departure_after_3_pm_linear,0.10265282779895883,F
coef_escort_fulltime_worker_duration_less_than_30_minutes,0.48717921412555765,F
coef_escort_fulltime_worker_duration_greater_than_30_minutes,0.06360020624220894,F
coef_escort_university_student_duration_less_than_30_minutes,0.0,F
coef_escort_non_driving_age_student_duration_greater_than_30_minutes,0.13619138148103171,F
coef_escort_driving_age_student_duration_less_than_30_minutes,0.0,F
coef_escort_driving_age_student_duration_greater_than_30_minutes,0.2898061598287889,F
coef_escort_pre_school_kid_duration_greater_than_30_minutes,0.0,F
coef_escort_med_high_income_duration_greater_than_30_minutes,0.0,F
coef_escort_households_with_no_kids_departure_before_7_30_am,0.0,F
coef_escort_households_with_no_kids_departure_after_8_00_am,0.0,F
coef_escort_households_with_no_kids_departure_before_2_30_pm,0.0,F
coef_escort_households_with_no_kids_departure_after_3_00_pm,0.0,F
coef_escort_households_with_no_kids_arrival_before_8_am,0.0,F
coef_escort_households_with_no_kids_arrival_after_8_30_am,0.0,F
coef_escort_households_with_no_kids_arrival_before_3_pm,0.0,F
coef_escort_households_with_no_kids_arrival_after_3_30_pm,0.0,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_departure_after_8_am,0.2193957525105046,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_departure_after_3_pm,-0.33725705669741124,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_arrival_before_8_am,-1.843839469217804,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_arrival_before_3_pm,0.2844617723897163,F
coef_escort_driving_age_school_child_in_hh_with_mandatory_tour_departure_after_8_am,0.0,F
coef_escort_driving_age_school_child_in_hh_with_mandatory_tour_arrival_after_8_30_am,0.0,F
coef_escort_driving_age_school_child_in_hh_with_mandatory_tour_arrival_after_3_30_pm,0.0,F
coef_escort_number_of_autos_greater_than_number_of_adults_duration_greater_than_30_minutes,0.0,F
coef_escort_number_of_individual_tours_duration_greater_than_30_minutes,-0.0620079827984566,F
coef_escort_number_of_joint_tours_duration_greater_than_30_minutes,0.0,F
coef_escort_departure_constant_shift_for_every_30_minutes_before_6_30_am_linear,-1.236018962947682,F
coef_escort_departure_constant_before_7_am,0.7319683480497287,F
coef_escort_departure_constant_7_am_to_7_30_am,0.0,F
coef_escort_departure_constant_7_30_am_to_8_am,4.122740011813239,T
coef_escort_departure_constant_8_am_to_8_30_am,4.835810362294344,F
coef_escort_departure_constant_8_30_am_to_9_am,5.122388952675412,F
coef_escort_departure_constant_after_9_am,4.283724261944397,F
coef_escort_departure_constant_1_30_pm_to_2_pm,0.0,F
coef_escort_departure_constant_2_pm_to_2_30_pm,0.7940143785524454,F
coef_escort_departure_constant_2_30_pm_to_3_pm,1.0810066025980387,F
coef_escort_departure_constant_3_pm_to_3_30_pm,1.326721246058783,F
coef_escort_departure_constant_after_3_30_pm,1.1856245248532122,F
coef_escort_departure_constant_shift_for_every_30_minutes_after_9_30_am_linear,0.19604399657492097,F
coef_escort_departure_constant_shift_for_every_30_minutes_after_4_pm_linear,0.0,F
coef_escort_arrival_constant_shift_for_every_30_minutes_before_6_30_am_linear,0.0,F
coef_escort_arrival_constant_before_7_am,4.009035240130145,F
coef_escort_arrival_constant_7_am_to_7_30_am,4.18385718813814,F
coef_escort_arrival_constant_7_30_am_to_8_am,2.9375790166530416,F
coef_escort_arrival_constant_8_am_to_8_30_am,0.0,T
coef_escort_arrival_constant_8_30_am_to_9_am,0.0,F
coef_escort_arrival_constant_after_9_am,-0.8516924916440327,F
coef_escort_arrival_constant_2_30_pm_to_3_pm,0.8821519927765968,F
coef_escort_arrival_constant_3_pm_to_3_30_pm,1.3755379509692238,F
coef_escort_arrival_constant_3_30_pm_to_4_pm,1.5074800730702913,F
coef_escort_arrival_constant_4_pm_to_4_30_pm,1.6943356568396335,F
coef_escort_arrival_constant_after_4_30_pm,1.2683991826495213,F
coef_escort_arrival_constant_shift_for_every_30_minutes_after_9_30_am_linear,-0.2792532861601614,F
coef_escort_arrival_constant_shift_for_every_30_minutes_after_5_pm_linear,-0.17999830126346059,F
coef_escort_duration_constant_0_hour,-0.2939194972058852,F
coef_escort_duration_constant_30_minutes,0.0,T
coef_escort_duration_constant_1_hour,0.0,F
coef_escort_duration_constant_1_hour_30_minutes,-0.717021512011088,F
coef_escort_duration_constant_2_hours,-1.1701511666645092,F
coef_escort_duration_constant_longer_than_2_hours,-1.1702599996232288,F
coef_escort_calibration_constant_duration_1,0.0,F
coef_escort_calibration_constant_duration_2,0.0,F
coef_escort_calibration_constant_departure_9,0.0,F
coef_escort_calibration_constant_departure_10,0.0,F
coef_escort_calibration_constant_departure_23,0.0,F
coef_escort_calibration_constant_departure_24,0.0,F
