coefficient_name,value,constrain
coef_maintenance_driving_age_student_duration_greater_than_reference,0,F
coef_maintenance_full_time_worker_duration_greater_than_reference,0.134548182,F
coef_maintenance_non_driving_student_duration_greater_than_reference,0,F
coef_maintenance_pre_school_child_duration_less_than_reference,-2.158781419,F
coef_maintenance_part_time_worker_duration_less_than_reference,0,F
coef_maintenance_part_time_worker_duration_greater_than_reference,0,F
coef_maintenance_retired_duration_less_than_reference,0,F
coef_maintenance_retired_duration_greater_than_reference,-0.035230993,F
coef_maintenance_university_student_duration_greater_than_reference,0,F
coef_maintenance_female_duration_less_than_reference,-0.33673289,F
coef_maintenance_female_duration_greater_than_reference,0,F
coef_maintenance_low_income_duration_greater_than_reference,0.039981716,F
coef_maintenance_medium_income_duration_less_than_reference,0,F
coef_maintenance_medium_income_duration_greater_than_reference,0,T
coef_maintenance_medium_high_income_duration_greater_than_reference,0,F
coef_maintenance_distance_duration_less_than_reference,-0.285294941,F
coef_maintenance_distance_duration_greater_than_reference,0.004262551,F
coef_maintenance_time_pressure_duration_greater_than_reference,0.215748222,F
coef_maintenance_number_of_additional_individual_shop_and_maint_tours_duration_less_than_reference,0,F
coef_maintenance_number_of_additional_individual_shop_and_maint_tours_duration_greater_than_reference,-0.038995943,F
coef_maintenance_departure_constant_shift_for_every_30_minutes_before_7_30_am_linear,-0.894749684,F
coef_maintenance_departure_constant_shift_for_every_30_minutes_before_7_30_am_square_root,0.949877711,F
coef_maintenance_departure_constant_before_8_am,-0.551863376,F
coef_maintenance_departure_constant_8_am_to_8_30_am,-0.144009892,F
coef_maintenance_departure_constant_8_30_am_to_9_00_am,0,F
coef_maintenance_departure_constant_9_am_to_9_30_am,0,F
coef_maintenance_departure_constant_9_30_am_to_10_am,0,F
coef_maintenance_departure_constant_10_am_to_10_30_am,0,T
coef_maintenance_departure_constant_10_30_am_to_11_am,-0.175380868,F
coef_maintenance_departure_constant_after_11_am,-0.388816014,F
coef_maintenance_departure_constant_shift_for_every_30_minutes_after_11_30_am_linear,0.022970491,F
coef_maintenance_arrival_constant_shift_for_every_30_minutes_before_10_am_linear,-0.236900146,F
coef_maintenance_arrival_constant_before_10_30_am,0,F
coef_maintenance_arrival_constant_10_30_am_to_11_am,0,T
coef_maintenance_arrival_constant_11_am_to_11_30_am,0,F
coef_maintenance_arrival_constant_11_30_am_to_1_30_pm,0,F
coef_maintenance_arrival_constant_1_30_pm_to_2_30_pm,0,F
coef_maintenance_arrival_constant_2_30_pm_to_4_pm,0,F
coef_maintenance_arrival_constant_4_pm_to_4_30_pm,0,F
coef_maintenance_arrival_constant_after_4_30_pm,0,F
coef_maintenance_arrival_constant_shift_for_every_30_minutes_after_5_pm_linear,-0.303621746,F
coef_maintenance_duration_constant_0_hr,6.023099557,F
coef_maintenance_duration_constant_30_minutes,6.292254209,T
coef_maintenance_duration_constant_longer_than_30_minutes,4.91445025,F
coef_maintenance_duration_constant_duration_greater_than_1_hr_linear,-0.738952132,F
coef_maintenance_duration_constant_duration_greater_than_1_hr_square_root,-0.129507431,F
coef_maintenance_calibration_constant_duration_1,0,F
coef_maintenance_calibration_constant_duration_2,0,F
coef_maintenance_calibration_constant_duration_3,0,F
coef_maintenance_calibration_constant_duration_4,0.253036722,F
coef_maintenance_calibration_constant_duration_5,0.215281783,F
coef_mode_choice_logsum,0.241330739,F
