coefficient_name,value,constrain
coef_shoppping_driving_age_student_duration_greater_than_reference,0,F
coef_shoppping_full_time_worker_duration_greater_than_reference,0.052013304,F
coef_shoppping_non_driving_student_duration_greater_than_reference,0,F
coef_shoppping_pre_school_child_duration_less_than_reference,0,F
coef_shoppping_part_time_worker_duration_less_than_reference,0,F
coef_shopping_part_time_worker_duration_greater_than_reference,0,F
coef_shopping_retired_duration_less_than_reference,-0.264488371,F
coef_shopping_retired_duration_greater_than_reference,0,F
coef_shopping_university_student_duration_greater_than_reference,0,F
coef_shopping_female_duration_less_than_reference,-0.706253687,F
coef_shopping_female_duration_greater_than_reference,0.061494712,F
coef_shopping_low_income_duration_greater_than_reference,0.078324543,F
coef_shopping_medium_income_duration_less_than_reference,0,F
coef_shopping_medium_high_income_duration_greater_than_reference,0,F
coef_shopping_distance_duration_less_than_reference,-0.266345479,F
coef_shopping_distance_duration_greater_than_reference,0.011024114,F
coef_shopping_time_pressure_duration_greater_than_reference,0.186025024,F
coef_shopping_number_of_additional_individual_shop_and_maint_tours_duration_less_than_reference,0,F
coef_shopping_number_of_additional_individual_shop_and_maint_tours_duration_greater_than_reference,-0.073347514,F
coef_shopping_departure_constant_shift_for_every_30_minutes_before_8_30_am_linear,-1.271759564,F
coef_shopping_departure_constant_shift_for_every_30_minutes_before_8_30_am_square_root,0.585672241,F
coef_shopping_departure_constant_before_9_am,-0.829474619,F
coef_shopping_departure_constant_9_am_to_9_30_am,0,F
coef_shopping_departure_constant_9_30_am_to_10_am,0.500429426,F
coef_shopping_departure_constant_10_am_to_10_30_am,0,T
coef_shopping_departure_constant_10_30_am_to_11_00_am,1.470959168,F
coef_shopping_departure_constant_after_11_am,2.157602106,F
coef_shopping_departure_constant_shift_for_every_30_minutes_after_11_30_am_linear,0.435436303,F
coef_shopping_arrival_constant_shift_for_every_30_minutes_before_12_pm_linear,0.410256343,F
coef_shopping_arrival_constant_before_12_30_pm,2.191026405,F
coef_shopping_arrival_constant_12_30_pm_to_3_pm,0,F
coef_shopping_arrival_constant_3_pm_to_3_30_pm,-0.985581618,F
coef_shopping_arrival_constant_3_30_pm_to_4_pm,-1.403508984,F
coef_shopping_arrival_constant_4_pm_to_4_30_pm,-1.921153952,T
coef_shopping_arrival_constant_4_30_pm_to_5_pm,-2.584015365,F
coef_shopping_arrival_constant_5_pm_to_5_30_pm,-3.02435605,F
coef_shopping_arrival_constant_5_30_pm_to_7_pm,-4.332791088,F
coef_shopping_arrival_constant_7_pm_to_9_30_pm,-6.506695028,F
coef_shopping_arrival_constant_after_9_30_pm,-9.0099778,F
coef_shopping_arrival_constant_shift_for_every_30_minutes_after_10_pm_linear,-0.820420778,F
coef_shopping_duration_constant_0_hr,0,F
coef_shopping_duration_constant_30_minutes,1.178015119,F
coef_shopping_duration_constant_1_hr,0,T
coef_shopping_duration_constant_1_hour_30_minutes,0,F
coef_shopping_duration_constant_2_hrs,-0.475594334,F
coef_shopping_duration_constant_longer_than_2_hrs,-1.099004049,F
coef_shopping_duration_constant_duration_greater_than_2_hr_30_minutes_linear,-0.434855764,F
coef_shopping_duration_constant_duration_greater_than_2_hr_30_minutes_square_root,0,F
coef_shopping_calibration_constant_duration_1,0,F
coef_shopping_calibration_constant_duration_2,0,F
coef_shopping_calibration_constant_duration_3,0,F
coef_mode_choice_logsum,0.2,F
