coefficient_name,coefficient_name.1,value,constrain
coef_ft_pass,Full-time worker,2.034739841,F
coef_pt_pass,Part-time worker,1.934451611,F
coef_un_pass,University/College,2.38777737,F
coef_nw_pass,Non-working adult,1.520740664,F
coef_rt_pass,Retired,1.963879497,F
coef_inc1_pass,0-$9k,0.609753946,F
coef_inc2_pass,$10-$24k,0.421989203,F
coef_inc3_pass,$25-$34k,0.2119704,F
coef_inc4_pass,$35-$49k,0.139201682,F
coef_inc10_pass,$250k+,-0.169998314,F
coef_wrkamt_pas,Auto minus transit time (work),0.001934995,F
coef_na20_pas,NAICS 20  (mining/utilities/construct),-0.324742563,F
coef_na30_pas,NAICS 30 (manufacturing),-0.473249951,F
coef_na50_pas,NAICS 50 (Info/Fin/insur/real estate/prof/sci/tech/manage/admin),0.2731,F
coef_na70_pas,NAICS 70 (Entertain/accom),0.219432837,F
coef_na80_pas,NAICS 80 (Other services),-0.585251651,F
coef_publ_pas,NAICS 90 (Public admin),0.30410587,F
coef_subs_pas,Subsidy offered,1.967569275,F
coef_pass_asc,Constant,-3.932862618,F
coef_ft_asc,ptype_ft calibration constant,-1.7556306647985378,F
coef_pt_asc,ptype_pt calibration constant,-0.9993175989158146,F
coef_un_asc,ptype_un calibration constant,-0.1879099307931272,F
coef_na_asc,ptype_na calibration constant,-0.8203511274990747,F
coef_da_asc,ptype_da calibration constant,1.0596420838216658,F
coef_nd_asc,ptype_nd calibration constant,-2.0998091820041402,F
coef_ps_asc,ptype_ps calibration constant,-2.0,F
