coefficient_name,value,constrain
coef_dist,-0.063338148,F
coef_dist_squared,0.001294031,F
coef_dist_cubed,-6.7e-05,F
coef_dist_logged,-0.47960366200000004,F
coef_dist_low_inc,-0.029396589,F
coef_dist_med_inc,-0.024858401000000002,F
coef_dist_high_inc,-0.013891636,F
coef_dist_part_time,-0.047762375999999995,F
coef_dist_student,-0.024044614,F
coef_mode_logsum,0.25,F
coef_Detroit_Detroit_asc,0.3614225021297297,F
coef_Detroit_Wayne_asc,-0.2716253801228931,F
coef_Detroit_Oakland_asc,-0.3415685018386156,F
coef_Detroit_Macomb_asc,-0.1978777638628789,F
coef_Wayne_Detroit_asc,-0.4851973885927375,F
coef_Wayne_Wayne_asc,0.168202664367836,F
coef_Wayne_Oakland_asc,-0.3865026146052553,F
coef_Wayne_Macomb_asc,-0.5717983734454497,F
coef_Oakland_Detroit_asc,-0.5611718256326389,F
coef_Oakland_Wayne_asc,0.1458903328023177,F
coef_Oakland_Oakland_asc,0.1407403155126548,F
coef_Oakland_Macomb_asc,-0.805369764039235,F
coef_Macomb_Detroit_asc,-0.5970868806566709,F
coef_Macomb_Oakland_asc,0.2856124690018894,F
coef_Macomb_Macomb_asc,-0.1343878584047892,F
coef_Washtenaw_Washtenaw_asc,0.1308598189297761,F
coef_StClair_Macomb_asc,0.6602057427329894,F
coef_Livingston_Oakland_asc,-0.3235102805765905,F
coef_Livingston_Livingston_asc,0.1133241576595546,F
coef_Detroit_Washtenaw_asc,0.0,F
coef_Detroit_Monroe_asc,0.0,F
coef_Detroit_StClair_asc,0.0,F
coef_Detroit_Livingston_asc,0.0,F
coef_Wayne_Washtenaw_asc,0.0,F
coef_Wayne_Monroe_asc,0.0,F
coef_Wayne_StClair_asc,0.0,F
coef_Wayne_Livingston_asc,0.0,F
coef_Oakland_Washtenaw_asc,0.0,F
coef_Oakland_Monroe_asc,0.0,F
coef_Oakland_StClair_asc,0.0,F
coef_Oakland_Livingston_asc,0.0,F
coef_Macomb_Wayne_asc,0.0,F
coef_Macomb_Washtenaw_asc,0.0,F
coef_Macomb_Monroe_asc,0.0,F
coef_Macomb_StClair_asc,0.0,F
coef_Macomb_Livingston_asc,0.0,F
coef_Washtenaw_Detroit_asc,0.0,F
coef_Washtenaw_Wayne_asc,0.0,F
coef_Washtenaw_Oakland_asc,0.0,F
coef_Washtenaw_Macomb_asc,0.0,F
coef_Washtenaw_Monroe_asc,0.0,F
coef_Washtenaw_StClair_asc,0.0,F
coef_Washtenaw_Livingston_asc,0.0,F
coef_Monroe_Detroit_asc,0.0,F
coef_Monroe_Wayne_asc,0.0,F
coef_Monroe_Oakland_asc,0.0,F
coef_Monroe_Macomb_asc,0.0,F
coef_Monroe_Washtenaw_asc,0.0,F
coef_Monroe_Monroe_asc,0.0,F
coef_Monroe_StClair_asc,0.0,F
coef_Monroe_Livingston_asc,0.0,F
coef_StClair_Detroit_asc,0.0,F
coef_StClair_Wayne_asc,0.0,F
coef_StClair_Oakland_asc,0.0,F
coef_StClair_Washtenaw_asc,0.0,F
coef_StClair_Monroe_asc,0.0,F
coef_StClair_StClair_asc,0.0,F
coef_StClair_Livingston_asc,0.0,F
coef_Livingston_Detroit_asc,0.0,F
coef_Livingston_Wayne_asc,0.0,F
coef_Livingston_Macomb_asc,0.0,F
coef_Livingston_Washtenaw_asc,0.0,F
coef_Livingston_Monroe_asc,0.0,F
coef_Livingston_StClair_asc,0.0,F
