coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-7.639140247,F
coef_total_number_of_tours_is_2,-10.45574703,F
coef_total_number_of_tours_is_3,-14.01755911,F
coef_total_number_of_tours_is_4,-16.9716694,F
coef_total_number_of_tours_is_5,-999,T
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-0.23899716,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-1.820827924,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-2.592339845,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-2.592339845,F
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-2.592339845,F
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,-1.198619886,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-1.198619886,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-1.198619886,F
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_shopping_tours,0,T
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,0,T
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.574771915,F
coef_logged_maximum_residual_window_tour_frequency_is_2,2.002605839,F
coef_logged_maximum_residual_window_tour_frequency_is_3,2.002605839,F
coef_logged_maximum_residual_window_tour_frequency_is_4,2.002605839,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,2.002605839,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.598090747,F
coef_mediumlow_income_group_and_tour_frequency_is_2,0.917790881,F
coef_mediumlow_income_group_and_tour_frequency_is_3,1.753903594,F
coef_mediumlow_income_group_and_tour_frequency_is_4,1.753903594,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,1.753903594,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.868151633,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,1.536215052,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.933120386,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.933120386,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,1.933120386,F
coef_high_income_group_and_tour_frequency_is_1,0.868151633,F
coef_high_income_group_and_tour_frequency_is_2,1.536215052,F
coef_high_income_group_and_tour_frequency_is_3,1.933120386,F
coef_high_income_group_and_tour_frequency_is_4,1.933120386,F
coef_high_income_group_and_tour_frequency_is_5_plus,1.933120386,F
coef_mediumlow_income_group_and_shopping_tour,0.44205866,F
coef_mediumhigh_income_group_and_shopping_tour,0.44205866,F
coef_high_income_group_and_shopping_tour,0.706625041,F
coef_mediumlow_income_group_and_maintenance_tour,0.676308174,F
coef_mediumhigh_income_group_and_maintenance_tour,0.676308174,F
coef_high_income_group_and_maintenance_tour,0.676308174,F
coef_mediumlow_income_group_and_eating_out_tour,0,T
coef_mediumhigh_income_group_and_eating_out_tour,0,T
coef_high_income_group_and_eating_out_tour,0,T
coef_mediumlow_income_group_and_discretionary_tour,0.296003074,F
coef_mediumhigh_income_group_and_discretionary_tour,0.296003074,F
coef_high_income_group_and_discretionary_tour,0.296003074,F
coef_mediumlow_income_group_and_visiting_tour,-0.686769736,F
coef_mediumhigh_income_group_and_visiting_tour,-0.686769736,F
coef_high_income_group_and_visiting_tour,-0.686769736,F
coef_female_and_tour_frequency_is_1,0,T
coef_female_and_tour_frequency_is_2,0,T
coef_female_and_tour_frequency_is_3,0,T
coef_female_and_tour_frequency_is_4,0,T
coef_female_and_tour_frequency_is_5,0,T
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0.452407513,F
coef_female_and_maintenance_tour,0,T
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0.307174556,F
coef_zero_car_ownership_and_tour_frequency_is_1,-0.549833035,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.549833035,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.549833035,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.549833035,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.549833035,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.549833035,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-0.549833035,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-0.549833035,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-0.549833035,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-0.549833035,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0,T
coef_presence_of_non_worker_and_tour_frequency_is_1,0,T
coef_presence_of_non_worker_and_tour_frequency_is_2,0,T
coef_presence_of_non_worker_and_tour_frequency_is_3,0,T
coef_presence_of_non_worker_and_tour_frequency_is_4,0,T
coef_presence_of_non_worker_and_tour_frequency_is_5,0,T
coef_presence_of_retiree_and_tour_frequency_is_1,0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,-0.155904718,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,-0.5681314,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,-0.5681314,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,-0.5681314,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,-0.5681314,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_full_time_worker_and_escorting_tour,0,T
coef_presence_of_part_time_worker_and_escorting_tour,0,T
coef_presence_of_non_worker_and_escorting_tour,-0.526311037,F
coef_presence_of_retiree_and_escorting_tour,-0.751605439,F
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.416401824,F
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.579480092,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.541368464,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,0,T
coef_at_home_pre_school_kid_and_escorting_tour,0,T
coef_presence_of_full_time_worker_and_shopping_tour,0,T
coef_presence_of_part_time_worker_and_shopping_tour,0,T
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,0,T
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,-0.313073888,F
coef_presence_of_part_time_worker_and_maintenance_tour,-0.562069855,F
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,0,T
coef_presence_of_part_time_worker_and_eating_out_tour,0,T
coef_presence_of_non_worker_and_eating_out_tour,-0.654454469,F
coef_presence_of_retiree_and_eating_out_tour,-1.388977032,F
coef_presence_of_university_student_and_eating_out_tour,-1.43178332,F
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_driving_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_school_kid_and_eating_out_tour,0,T
coef_presence_of_full_time_worker_and_discretionary_tour,0,T
coef_presence_of_part_time_worker_and_discretionary_tour,0,T
coef_presence_of_non_worker_and_discretionary_tour,-1.037124297,F
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,0,T
coef_presence_of_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0.089885738,F
coef_walk_access_to_retail_and_tour_frequency_is_2,0.144701085,F
coef_walk_access_to_retail_and_tour_frequency_is_3,0.347904007,F
coef_walk_access_to_retail_and_tour_frequency_is_4,0.347904007,F
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0.347904007,F
coef_transit_access_to_retail_and_tour_frequency_is_1,0,T
