Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Availability of the alternative. If not available it has a -999 value,1,,,,,,,,,,,,,,,,
No stops if tour mode is driveTransit,tour_mode_is_drive_transit,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alternative specific constant for outbound stops (individual tours),(~is_joint),,,,,-1.441945529,-1.441945529,,,,,,,,,,
Alternative specific constant for return  stops (individual tours),(~is_joint),,-1.315553681,,,,-1.315553681,,,,,,,,,,
Alternative specific constant for the total number of stops (individual tours),(~is_joint),,,,,,0.689435269,,,,,,,,,,
Alternative specific constant for outbound stops (joint tours),is_joint,,,,,-0.784435258,-0.784435258,,,,,,,,,,
Alternative specific constant for return  stops (joint tours),is_joint,,-1.682552968,,,,-1.682552968,,,,,,,,,,
Alternative specific constant for the total number of stops (joint tours),is_joint,,,,,,0.342555334,,,,,,,,,,
Middle to Low Income HH ,(income_in_thousands>19999) & (income_in_thousands<50000),,,,,,,,,,,,,,,,
Mid to High Income HH,(income_in_thousands>=50000) & (income_in_thousands<100000),,,,,,,,,,,,,,,,
High Income HH,(income_in_thousands>=100000),,,,,,,,,,,,,,,,
Number of HH Persons,hhsize,,,,,,,,,,,,,,,,
Number of full time workes in HH,num_full,,,,,,,,,,,,,,,,
Number of Students in HH,num_students,,,,,,,,,,,,,,,,
Num Kids between 0 and 4 (including) years old,num_age_0_4,,,,,,,,,,,,,,,,
Presence of Kids between 0 and 4 (including) years old,(num_age_0_4 > 0),,,,,,,,,,,,,,,,
Num kids between 4 and 15 (including) years old,num_age_5_15,,,,,,,,,,,,,,,,
Presence of kids between 5 and 15 (including) years old,(num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Adults (>= 16 years old),num_adult,,,,,,,,,,,,,,,,
Dummy for single parent household,(num_adult == 1) & (num_age_0_4 + num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Cars > Number of Workers,more_cars_than_workers,,,,,,,,,,,,,,,,
Number of Vehicles,auto_ownership,,-0.19,,,-0.19,-0.19,,,,,,,,,,
Dummy for female,(is_female) & (~is_joint),,,,,,,,,,,,,,,,
Dummy for all stops made by transit,tour_mode_is_transit,,,,,,,,,,,,,,,,
Dummy for walking to all stops,tour_mode_is_non_motorized,,-1.73,,,-1.73,-1.73,,,,,,,,,,
Number of work tours undertaken by the person,~is_joint * num_work_tours,,-0.28,,,-0.28,-0.28,,,,,,,,,,
Number of university tours tours undertaken by the person,~is_joint * num_univ_tours,,,,,,,,,,,,,,,,
Number of shool tours tours undertaken by the person,~is_joint * num_school_tours,,,,,,,,,,,,,,,,
Number of escort tours tours undertaken by the person,~is_joint * num_escort_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the person,~is_joint * num_shop_tours,,-0.24,,,-0.24,-0.24,,,,,,,,,,
Number of maintenace tours tours undertaken by the person,~is_joint * num_maint_tours,,,,,,,,,,,,,,,,
Number of eating tours tours undertaken by the person,~is_joint * num_eatout_tours,,,,,,,,,,,,,,,,
Number of visit tours tours undertaken by the person,~is_joint * num_social_tours,,,,,,,,,,,,,,,,
Dummy for an outbound visiting tour,primary_purpose == 'social',,,,,-0.69,-0.69,,,,,,,,,,
Dummy for a return visiting tour,primary_purpose == 'social',,-0.64,,,,-0.64,,,,,,,,,,
Dummy for a visiting tour with both outbound and return leg,primary_purpose == 'social',,,,,,0.44,,,,,,,,,,
Number of shop tours undertaken by the houshold,num_hh_shop_tours,,,,,,,,,,,,,,,,
Number of persons participating in the tour.Outgoing stops interaction,is_joint * number_of_participants,,,,,-0.46,-0.46,,,,,,,,,,
Number of persons participating in the tour.Return stops interaction,is_joint * number_of_participants,,,,,,,,,,,,,,,,
At least one kid and one adult participate in the tour,(is_joint) & (composition=='mixed'),,0.37,,,0.37,0.37,,,,,,,,,,
AM Peak departure between 6AM and 7 AM (including) Interacted with outbound tours,(start>5) & (start<8),,,,,,,,,,,,,,,,
Arrival later than 17:00.,(end > 16),,-0.45,,,-0.45,-0.45,,,,,,,,,,
Evening Arrival (>=19:00) Interacted with return tours,(end > 18),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 11 hours,(duration > 10),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 9 hours ,(duration > 8),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 3 hours ,(duration > 2),,1.31,,,1.31,1.31,,,,,,,,,,
dummy for origin at Urban Commercial. (AreaType = 2),(origin_area_type == 2),,,,,,,,,,,,,,,,
dummy for origin at Urban Residential (AreaType = 3),(origin_area_type == 3),,,,,,,,,,,,,,,,
dummy for origin at Suburban Commercial  (AreaType = 4),(origin_area_type == 4),,,,,,,,,,,,,,,,
dummy for origin at Suburban Residential  (AreaType = 5),(origin_area_type == 5),,,,,,,,,,,,,,,,
dummy for origin at Exurban  (AreaType = 6),(origin_area_type == 6),,,,,,,,,,,,,,,,
dummy for origin at Rural  (AreaType = 7),(origin_area_type == 7),,0.21,,,0.21,0.21,,,,,,,,,,
dummy for origin not urban  (AreaType = 4-7). Not interacted,(origin_area_type > 3),,,,,,,,,,,,,,,,
dummy for destination at Urban CBD (AreaType = 1),(destination_area_type == 1),,,,,,,,,,,,,,,,
dummy for destination at Urban Commercial. (AreaType = 2),(destination_area_type == 2),,,,,,,,,,,,,,,,
dummy for destination at Urban Residential (AreaType = 3),(destination_area_type == 3),,,,,,,,,,,,,,,,
dummy for destination at Suburban Commercial  (AreaType = 4),(destination_area_type == 4),,,,,,,,,,,,,,,,
dummy for destination at Suburban Residential  (AreaType = 5),(destination_area_type == 5),,,,,,,,,,,,,,,,
dummy for destination at Exurban  (AreaType = 6),(destination_area_type == 6),,-0.22,,,-0.22,-0.22,,,,,,,,,,
dummy for destination at Rural  (AreaType = 7),(destination_area_type == 7),,,,,,,,,,,,,,,,
HH accesibility for outbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
HH accesibility for inbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for outbound tours. Interaction,pracc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for return tours. Interaction,pracc,,,,,,,,,,,,,,,,
dummy for distance less than 20 Miles ,(distance_in_miles < 20),,,,,,,,,,,,,,,,
dummy for distance in miles,distance_in_miles,,-0.01,,,-0.01,-0.01,,,,,,,,,,
Calibration constants,1,0,-0.554395375,-3.78843955,-4.619892238,-0.18716442,-0.286846696,-4.8924897,-7.2122285,-3.52808679,-4.524888121,-5.103784157,-5.65776412,-4.214359603,-5.649181332,-6.081149122,-8.01814445
Calibration constants,1,-0.23,,,,,,,,,,,,,,,
