Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Availability of the alternative. If not available it has a -999 value,1,,,,,,,,,,,,,,,,
No stops if tour mode is driveTransit,tour_mode_is_drive_transit,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alternative specific constant for outbound stops (individual tours),(~is_joint),,,,,-1.74717613,-1.74717613,,,,,,,,,,
Alternative specific constant for return  stops (individual tours),(~is_joint),,-1.186024625,,,,-1.186024625,,,,,,,,,,
Alternative specific constant for the total number of stops (individual tours),(~is_joint),,,,,,0.257592223,,,,,,,,,,
Alternative specific constant for outbound stops (joint tours),is_joint,,,,,-2.104656564,-2.104656564,,,,,,,,,,
Alternative specific constant for return  stops (joint tours),is_joint,,-1.280661074,,,,-1.280661074,,,,,,,,,,
Alternative specific constant for the total number of stops (joint tours),is_joint,,,,,,-0.691565302,,,,,,,,,,
Middle to Low Income HH ,(income_in_thousands>19999) & (income_in_thousands<50000),,,,,,,,,,,,,,,,
Mid to High Income HH,(income_in_thousands>=50000) & (income_in_thousands<100000),,,,,,,,,,,,,,,,
High Income HH,(income_in_thousands>=100000),,,,,,,,,,,,,,,,
Number of HH Persons,hhsize,,,,,,,,,,,,,,,,
Number of full time workes in HH,num_full,,,,,,,,,,,,,,,,
Number of Students in HH,num_students,,,,,,,,,,,,,,,,
Num Kids between 0 and 4 (including) years old,num_age_0_4,,,,,,,,,,,,,,,,
Presence of Kids between 0 and 4 (including) years old,(num_age_0_4 > 0),,,,,,,,,,,,,,,,
Num kids between 4 and 15 (including) years old,num_age_5_15,,,,,,,,,,,,,,,,
Presence of kids between 5 and 15 (including) years old,(num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Adults (>= 16 years old),num_adult,,,,,,,,,,,,,,,,
Dummy for single parent household,(num_adult == 1) & (num_age_0_4 + num_age_5_15 > 0),,,,,,,,,,,,,,,,
Number of Cars > Number of Workers,more_cars_than_workers,,,,,,,,,,,,,,,,
Number of Vehicles,auto_ownership,,,,,,,,,,,,,,,,
Dummy for female,(is_female) & (~is_joint),,,,,,,,,,,,,,,,
Dummy for all stops made by transit,tour_mode_is_transit,,,,,,,,,,,,,,,,
Dummy for walking to all stops,tour_mode_is_non_motorized,,-2.457804653,,,-2.457804653,-2.457804653,,,,,,,,,,
Number of work tours undertaken by the person,~is_joint * num_work_tours,,-0.615285,,,-0.615285,-0.615285,,,,,,,,,,
Number of university tours tours undertaken by the person,~is_joint * num_univ_tours,,,,,,,,,,,,,,,,
Number of shool tours tours undertaken by the person,~is_joint * num_school_tours,,-0.817631669,,,-0.817631669,-0.817631669,,,,,,,,,,
Number of escort tours tours undertaken by the person,~is_joint * num_escort_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the person,~is_joint * num_shop_tours,,-0.629022742,,,-0.629022742,-0.629022742,,,,,,,,,,
Number of maintenace tours tours undertaken by the person,~is_joint * num_maint_tours,,-0.371528643,,,-0.371528643,-0.371528643,,,,,,,,,,
Number of eating tours tours undertaken by the person,~is_joint * num_eatout_tours,,,,,,,,,,,,,,,,
Number of visit tours tours undertaken by the person,~is_joint * num_social_tours,,,,,,,,,,,,,,,,
Number of shop tours undertaken by the houshold,num_hh_shop_tours,,,,,,,,,,,,,,,,
Number of persons participating in the tour.Outgoing stops interaction,is_joint * number_of_participants,,,,,,,,,,,,,,,,
Number of persons participating in the tour.Return stops interaction,is_joint * number_of_participants,,,,,,,,,,,,,,,,
AM Peak departure between 6AM and 7 AM (including) Interacted with outbound tours,(start>5) & (start<8),,,,,,,,,,,,,,,,
Arrival later than 17:00.,(end > 16),,-0.638340458,,,-0.638340458,-0.638340458,,,,,,,,,,
Evening Arrival (>=19:00) Interacted with return tours,(end > 18),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 11 hours,(duration > 10),,,,,,,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 9 hours ,(duration > 8),,0.833471131,,,0.833471131,0.833471131,,,,,,,,,,
Dummy for the duration of the tour being equal or greater than or equal to 3 hours ,(duration > 2),,,,,,,,,,,,,,,,
dummy for origin at Urban Commercial. (AreaType = 2),(origin_area_type == 2),,,,,,,,,,,,,,,,
dummy for origin at Urban Residential (AreaType = 3),(origin_area_type == 3),,,,,,,,,,,,,,,,
dummy for origin at Suburban Commercial  (AreaType = 4),(origin_area_type == 4),,,,,,,,,,,,,,,,
dummy for origin at Suburban Residential  (AreaType = 5),(origin_area_type == 5),,,,,,,,,,,,,,,,
dummy for origin at Exurban  (AreaType = 6),(origin_area_type == 6),,,,,,,,,,,,,,,,
dummy for origin at Rural  (AreaType = 7),(origin_area_type == 7),,,,,,,,,,,,,,,,
dummy for origin not urban  (AreaType = 4-7). Not interacted,(origin_area_type > 3),,,,,,,,,,,,,,,,
dummy for destination at Urban CBD (AreaType = 1),(destination_area_type == 1),,,,,,,,,,,,,,,,
dummy for destination at Urban Commercial. (AreaType = 2),(destination_area_type == 2),,,,,,,,,,,,,,,,
dummy for destination at Urban Residential (AreaType = 3),(destination_area_type == 3),,,,,,,,,,,,,,,,
dummy for destination at Suburban Commercial  (AreaType = 4),(destination_area_type == 4),,,,,,,,,,,,,,,,
dummy for destination at Suburban Residential  (AreaType = 5),(destination_area_type == 5),,,,,,,,,,,,,,,,
dummy for destination at Exurban  (AreaType = 6),(destination_area_type == 6),,,,,,,,,,,,,,,,
dummy for destination at Rural  (AreaType = 7),(destination_area_type == 7),,,,,,,,,,,,,,,,
HH accesibility for outbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
HH accesibility for inbound tours. Interaction,hhacc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for outbound tours. Interaction,pracc,,,,,,,,,,,,,,,,
Primary Destination Accessibility for return tours. Interaction,pracc,,,,,,,,,,,,,,,,
dummy for distance less than 20 Miles ,(distance_in_miles < 10),,0.375618511,,,0.375618511,0.375618511,,,,,,,,,,
dummy for distance in miles,distance_in_miles,,-0.022520449,,,-0.022520449,-0.022520449,,,,,,,,,,
Calibration constants,1,0,-0.030538434,-3.243129996,-4.067474545,-0.005276746,0.183316109,-4.20130452,-5.164455385,-3.888073474,-4.516170914,-6.255382953,-5.633922608,-4.344370811,-5.331633285,-7.579171983,-6.525195724
Calibration constants,1,-0.2,,,,,,,,,,,,,,,
