Description,Expression,stage_one
Alternative is Invalid if leg time is longer than total time,@(df['main_leg_duration']>df['duration']).astype(int),-999
Discretionary tour-ASC for Legtime = 0,@(df['main_leg_duration'] == 0) & (df['tour_type']=='othdiscr'),-6.5884
"Discretionary tour,ASC for Legtime = 1",@(df['main_leg_duration'] == 1) & (df['tour_type']=='othdiscr'),-5.0326
"Discretionary tour,ASC for Legtime = 2",@(df['main_leg_duration'] == 2) & (df['tour_type']=='othdiscr'),-2.0526
"Discretionary tour,ASC for Legtime = 3",@(df['main_leg_duration'] == 3) & (df['tour_type']=='othdiscr'),-1.0313
"Discretionary tour,ASC for Legtime = 4",@(df['main_leg_duration'] == 4) & (df['tour_type']=='othdiscr'),-0.46489
Discretionary tour - Main Leg time,"@np.where(df['tour_type']=='othdiscr', df['main_leg_duration'], 0)",0.060382
Eatout tour - Shift,"@np.where(df['tour_type']=='eatout', np.absolute(df['main_leg_duration'] - 4.5), 0)",-0.7508
Eatout tour - Main leg time,"@np.where(df['tour_type']=='eatout', df['main_leg_duration'], 0)",0.53247
"Maintenance tour,ASC for Legtime = 0",@(df['main_leg_duration'] == 0) & (df['tour_type']=='othmaint'),-3.6079
"Maintenance tour,ASC for Legtime = 1",@(df['main_leg_duration'] == 1) & (df['tour_type']=='othmaint'),-1.9376
"Maintenance tour,ASC for Legtime = 2",@(df['main_leg_duration'] == 2) & (df['tour_type']=='othmaint'),-0.99484
"Maintenance tour,ASC for Legtime = 3",@(df['main_leg_duration'] == 3) & (df['tour_type']=='othmaint'),-0.29166
"Maintenance tour,ASC for Legtime = 4",@(df['main_leg_duration'] == 4) & (df['tour_type']=='othmaint'),0.18669
Maintenance tour - Main leg time,"@np.where(df['tour_type']=='othmaint', df['main_leg_duration'], 0)",-0.03572
"School tour,ASC for Legtime = 14",@(df['main_leg_duration'] == 14) & (df['tour_type']=='school'),1.2449
"School tour,ASC for Legtime = 15",@(df['main_leg_duration'] == 15) & (df['tour_type']=='school'),1.8492
"School tour,ASC for Legtime = 16",@(df['main_leg_duration'] == 16) & (df['tour_type']=='school'),2.0672
"School tour,ASC for Legtime = 17",@(df['main_leg_duration'] == 17) & (df['tour_type']=='school'),1.8571
"School tour,ASC for Legtime = 18",@(df['main_leg_duration'] == 18) & (df['tour_type']=='school'),1.3826
"School tour,ASC for Legtime = 19",@(df['main_leg_duration'] == 19) & (df['tour_type']=='school'),0.92034
"School tour,ASC for Legtime = 20",@(df['main_leg_duration'] == 20) & (df['tour_type']=='school'),0.37001
School tour - Main Leg time,"@np.where(df['tour_type']=='school', df['main_leg_duration'], 0)",1.7393
School tour - Shift,"@np.where(df['tour_type']=='school', np.maximum((df['main_leg_duration']-3), 0), 0)",-1.5696
School tour - Shift,"@np.where(df['tour_type']=='school', np.maximum((df['main_leg_duration']-23), 0), 0)",-0.43764
"Escort tour,ASC for Legtime = 0",@(df['main_leg_duration'] == 0) & (df['tour_type']=='escort'),-1.2273
"Escort tour,ASC for Legtime = 1",@(df['main_leg_duration'] == 1) & (df['tour_type']=='escort'),0.48815
"Escort tour,ASC for Legtime = 2",@(df['main_leg_duration'] == 2) & (df['tour_type']=='escort'),0.37136
"Escort tour,ASC for Legtime = 3",@(df['main_leg_duration'] == 3) & (df['tour_type']=='escort'),-0.29005
Escort tour - Main Leg time,"@np.where(df['tour_type']=='escort', df['main_leg_duration'], 0)",-0.005499
"Shopping tour,ASC for Legtime = 0",@(df['main_leg_duration'] == 0) & (df['tour_type']=='shopping'),-4.5136
"Shopping tour,ASC for Legtime = 1",@(df['main_leg_duration'] == 1) & (df['tour_type']=='shopping'),-1.8461
"Shopping tour,ASC for Legtime = 2",@(df['main_leg_duration'] == 2) & (df['tour_type']=='shopping'),-0.81101
"Shopping tour,ASC for Legtime = 3",@(df['main_leg_duration'] == 3) & (df['tour_type']=='shopping'),-0.42265
"Shopping tour,ASC for Legtime = 4",@(df['main_leg_duration'] == 4) & (df['tour_type']=='shopping'),-0.25089
Shopping tour - Main Leg time,"@np.where(df['tour_type']=='shopping', df['main_leg_duration'], 0)",-0.30597
Social tour - Main Leg time,"@np.where(df['tour_type']=='social', df['main_leg_duration'], 0)",1.1482
Social tour - Shift,"@np.where(df['tour_type']=='social', np.maximum(df['main_leg_duration']-5, 0), 0)",-0.94185
University tour - Main Leg time,"@np.where(df['tour_type']=='univ', df['main_leg_duration'], 0)",0.56244
University tour - Shift,"@np.where(df['tour_type']=='univ', np.maximum(df['main_leg_duration']-8, 0), 0)",-0.55984
University tour - Shift,"@np.where(df['tour_type']=='univ', np.maximum(df['main_leg_duration']-16, 0), 0)",-0.22445
Work tour - Main Leg time,"@np.where(df['tour_type']=='work', df['main_leg_duration'], 0)",0.45055
Work tour - Shift,"@np.where(df['tour_type']=='work', np.maximum(df['main_leg_duration']-9, 0), 0)",-0.27206
Work tour - Shift,"@np.where(df['tour_type']=='work', np.maximum(df['main_leg_duration']-14, 0), 0)",0.009149
"Work tour,ASC for Legtime = 17",@(df['main_leg_duration'] == 17) & (df['tour_type']=='work'),0.12954
"Work tour,ASC for Legtime = 18",@(df['main_leg_duration'] == 18) & (df['tour_type']=='work'),0.54498
"Work tour,ASC for Legtime = 19",@(df['main_leg_duration'] == 19) & (df['tour_type']=='work'),0.64445
"Work tour,ASC for Legtime = 20",@(df['main_leg_duration'] == 20) & (df['tour_type']=='work'),0.56793
"Work tour,ASC for Legtime = 21",@(df['main_leg_duration'] == 21) & (df['tour_type']=='work'),0.16153
"Work tour,ASC for Legtime = 22",@(df['main_leg_duration'] == 22) & (df['tour_type']=='work'),-0.15183
Work tour - Shift,"@np.where((df['tour_type']=='work'), np.maximum(df['main_leg_duration']-22,0), 0)",-0.57964
Main leg time - Main leg free flow travel time,@(df['main_leg_duration'] * df['main_leg_fft']),0.00387
