"checkpoint_name","timestamp","land_use","accessibility","households","persons","school_destination_size","workplace_destination_size","person_windows","school_modeled_size","workplace_modeled_size","tours","joint_tour_participants","trips","__index_level_0__"
"initialize_landuse",2025-10-13 12:36:33.690040000,"initialize_landuse","initialize_landuse","","","","","","","","","","",0
"initialize_households",2025-10-13 12:36:34.512928000,"initialize_landuse","initialize_landuse","initialize_households","initialize_households","initialize_households","initialize_households","initialize_households","","","","","",1
"compute_accessibility",2025-10-13 12:36:35.706869000,"initialize_landuse","compute_accessibility","initialize_households","initialize_households","initialize_households","initialize_households","initialize_households","","","","","",2
"school_location",2025-10-13 12:36:43.786333000,"initialize_landuse","compute_accessibility","initialize_households","school_location","initialize_households","initialize_households","initialize_households","school_location","","","","",3
"workplace_location",2025-10-13 12:36:49.026029000,"initialize_landuse","compute_accessibility","workplace_location","workplace_location","initialize_households","initialize_households","initialize_households","school_location","workplace_location","","","",4
"auto_ownership_simulate",2025-10-13 12:36:49.838898000,"initialize_landuse","compute_accessibility","auto_ownership_simulate","workplace_location","initialize_households","initialize_households","initialize_households","school_location","workplace_location","","","",5
"free_parking",2025-10-13 12:36:49.973524000,"initialize_landuse","compute_accessibility","auto_ownership_simulate","free_parking","initialize_households","initialize_households","initialize_households","school_location","workplace_location","","","",6
"cdap_simulate",2025-10-13 12:36:59.474651000,"initialize_landuse","compute_accessibility","cdap_simulate","cdap_simulate","initialize_households","initialize_households","initialize_households","school_location","workplace_location","","","",7
"mandatory_tour_frequency",2025-10-13 12:36:59.993124000,"initialize_landuse","compute_accessibility","cdap_simulate","mandatory_tour_frequency","initialize_households","initialize_households","initialize_households","school_location","workplace_location","mandatory_tour_frequency","","",8
"mandatory_tour_scheduling",2025-10-13 12:37:08.988323000,"initialize_landuse","compute_accessibility","cdap_simulate","mandatory_tour_frequency","initialize_households","initialize_households","mandatory_tour_scheduling","school_location","workplace_location","mandatory_tour_scheduling","","",9
"joint_tour_frequency",2025-10-13 12:37:09.928299000,"initialize_landuse","compute_accessibility","joint_tour_frequency","mandatory_tour_frequency","initialize_households","initialize_households","mandatory_tour_scheduling","school_location","workplace_location","joint_tour_frequency","","",10
"joint_tour_composition",2025-10-13 12:37:10.390158000,"initialize_landuse","compute_accessibility","joint_tour_frequency","mandatory_tour_frequency","initialize_households","initialize_households","mandatory_tour_scheduling","school_location","workplace_location","joint_tour_composition","","",11
"joint_tour_participation",2025-10-13 12:37:11.039934000,"initialize_landuse","compute_accessibility","joint_tour_frequency","joint_tour_participation","initialize_households","initialize_households","mandatory_tour_scheduling","school_location","workplace_location","joint_tour_participation","joint_tour_participation","",12
"joint_tour_destination",2025-10-13 12:37:16.461004000,"initialize_landuse","compute_accessibility","joint_tour_frequency","joint_tour_participation","initialize_households","initialize_households","mandatory_tour_scheduling","school_location","workplace_location","joint_tour_destination","joint_tour_participation","",13
"joint_tour_scheduling",2025-10-13 12:37:18.821740000,"initialize_landuse","compute_accessibility","joint_tour_frequency","joint_tour_participation","initialize_households","initialize_households","joint_tour_scheduling","school_location","workplace_location","joint_tour_scheduling","joint_tour_participation","",14
"non_mandatory_tour_frequency",2025-10-13 12:37:21.744939000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","joint_tour_scheduling","school_location","workplace_location","non_mandatory_tour_frequency","joint_tour_participation","",15
"non_mandatory_tour_destination",2025-10-13 12:37:28.097671000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","joint_tour_scheduling","school_location","workplace_location","non_mandatory_tour_destination","joint_tour_participation","",16
"non_mandatory_tour_scheduling",2025-10-13 12:37:32.928856000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","non_mandatory_tour_scheduling","school_location","workplace_location","non_mandatory_tour_scheduling","joint_tour_participation","",17
"tour_mode_choice_simulate",2025-10-13 12:37:41.594839000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","non_mandatory_tour_scheduling","school_location","workplace_location","tour_mode_choice_simulate","joint_tour_participation","",18
"atwork_subtour_frequency",2025-10-13 12:37:41.895855000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","non_mandatory_tour_scheduling","school_location","workplace_location","atwork_subtour_frequency","joint_tour_participation","",19
"atwork_subtour_destination",2025-10-13 12:37:43.012991000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","non_mandatory_tour_scheduling","school_location","workplace_location","atwork_subtour_destination","joint_tour_participation","",20
"atwork_subtour_scheduling",2025-10-13 12:37:43.727622000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","non_mandatory_tour_scheduling","school_location","workplace_location","atwork_subtour_scheduling","joint_tour_participation","",21
"atwork_subtour_mode_choice",2025-10-13 12:37:44.756296000,"initialize_landuse","compute_accessibility","joint_tour_frequency","non_mandatory_tour_frequency","initialize_households","initialize_households","non_mandatory_tour_scheduling","school_location","workplace_location","atwork_subtour_mode_choice","joint_tour_participation","",22
