"household_id","home_zone_id","PNUM","agep","pecasOcc","sex","esr","wkw","wkhp","schg","age","is_age1617","is_ageless19","is_age1622","is_ageless40","is_age4059","is_age6079","is_age60plus","is_adult","adult","is_male","is_female","is_fulltime_worker","is_parttime_worker","is_worker","work_segment","is_nonworker_adult","is_k12","is_university","is_student","is_predrive","is_driving_age","is_nondriving_age","school_segment","ptype","PreSchoolStudent","student_is_employed","nonstudent_goes_to_school","preschoolChildren","PARKRATE","hh_income","is_no_income","is_low_income","is_medium_income","is_high_income","is_very_high_income","is_income_less10K","is_income_10K_20K","is_income_20K_40K","is_income_less50K","is_income_less25K","is_income_25K_to_60K","is_income_60K_to_120K","is_income_greater60K","is_income_greater120K","I_PCTLT10K","I_PCTLT10TO20","I_PCTLT20TO40","I_PCTGT40","hhsize","is_hhsize1","is_hh_with_child_less16","is_hh_with_child_16plus","is_non_worker_in_HH","is_pre_drive_child_in_HH","num_workers","num_non_workers","num_full","num_part","num_students","num_adults","is_all_adults_full_time_workers","CBDFlag","is_CBD","is_exurban","is_rural","is_rural_or_exurban","is_urban","is_suburban","school_zone_id","chose_school_location","noUsualSchoolLocation","distance_to_school","auto_time_home_to_school","auto_time_school_to_home","roundtrip_auto_time_to_school","workplace_zone_id","work_zone_area_type","auto_time_home_to_work","auto_time_work_to_home","roundtrip_auto_time_to_work","work_auto_savings_ratio","workers_prmTrn_ivt","workers_totalTrn_ivt","students_prmTrn_ivt","students_totalTrn_ivt","usualWorkLocationIsHome","noUsualWorkLocation","distance_to_work","free_parking_at_work","cdap_activity","travel_active","under16_not_at_school","mandatory_tour_frequency","work_and_school_and_worker","work_and_school_and_student","num_mand_tours","num_work_tours","has_pre_school_child_with_mandatory","has_driving_age_child_with_mandatory","num_joint_tours","non_mandatory_tour_frequency","num_non_mand","num_escort_tours","num_eatout_tours","num_shop_tours","num_maint_tours","num_discr_tours","num_social_tours","num_non_escort_tours","num_shop_maint_tours","num_shop_maint_escort_tours","num_add_shop_maint_tours","num_soc_discr_tours","num_add_soc_discr_tours","person_id"
40062,100,1,53,1,1,1,1,40,-9,53,false,false,false,false,true,false,false,true,true,true,false,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,113034.57416439311,false,false,false,false,true,false,false,false,false,false,false,true,true,false,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,106,5,9.18,9.22,18.400002,0.66,0,3.1,,,0,0,2.44,true,"N",true,false,"",false,false,0,0,false,true,0,32,1,1,0,0,0,0,0,0,0,1,0,0,0,105655
40062,100,2,47,4,2,1,4,25,-9,47,false,false,false,false,true,false,false,true,true,false,true,false,true,true,4,false,false,false,false,false,true,false,0,2,0,true,false,false,0,113034.57416439311,false,false,false,false,true,false,false,false,false,false,false,true,true,false,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,100,5,4.42,4.42,8.84,0.11966666,0,0,,,1,0,0.58,false,"M",true,false,"work1",false,false,1,1,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105656
40062,100,3,16,0,2,6,-9,-9,5,16,true,true,true,true,false,false,false,false,false,false,true,false,false,false,0,true,true,false,true,false,true,false,2,6,0,false,false,false,0,113034.57416439311,false,false,false,false,true,false,false,false,false,false,false,true,true,false,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,102,true,0,0.91,5.75,5.73,11.48,-1,,,,0,0,,,0,1.08,0,1,,false,"M",true,false,"school1",false,false,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105657
40062,100,4,14,0,1,-9,-9,-9,5,14,false,true,false,true,false,false,false,false,false,true,false,false,false,false,0,false,true,false,true,true,false,true,1,7,0,false,false,false,0,113034.57416439311,false,false,false,false,true,false,false,false,false,false,false,true,true,false,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,106,true,0,2.44,9.18,9.22,18.400002,-1,,,,0,0,,,0,3.1,0,1,,false,"M",true,false,"school1",false,false,1,0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105658
40194,100,1,37,1,2,1,1,50,-9,37,false,false,false,true,false,false,false,true,true,false,true,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,206777.65582560078,false,false,false,false,true,false,false,false,false,false,false,false,true,true,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,2,0,2,2,true,false,false,false,false,false,false,false,-1,false,1,,,,0,135,3,29.93,29.78,59.71,1,32,93.06,,,0,0,12.07,true,"M",true,false,"work1",false,false,1,1,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106097
40194,100,2,39,4,1,1,1,40,-9,39,false,false,false,true,false,false,false,true,true,true,false,true,false,true,4,false,false,false,false,false,true,false,0,1,0,true,false,false,0,206777.65582560078,false,false,false,false,true,false,false,false,false,false,false,false,true,true,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,2,0,2,2,true,false,false,false,false,false,false,false,-1,false,1,,,,0,100,5,4.42,4.42,8.84,0.11966666,0,0,,,1,0,0.58,false,"M",true,false,"work1",false,false,1,1,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106098
40194,100,3,11,0,2,-9,-9,-9,4,11,false,true,false,true,false,false,false,false,false,false,true,false,false,false,0,false,true,false,true,true,false,true,1,7,0,false,false,false,0,206777.65582560078,false,false,false,false,true,false,false,false,false,false,false,false,true,true,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,2,0,2,2,true,false,false,false,false,false,false,false,104,true,0,3.45,12.71,12.73,25.439999,-1,,,,0,0,,,0,1.08,0,1,,false,"M",true,false,"school1",false,false,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106099
40194,100,4,4,0,2,-9,-9,-9,1,4,false,true,false,true,false,false,false,false,false,false,true,false,false,false,0,false,true,false,true,true,false,true,1,8,1,false,false,true,0,206777.65582560078,false,false,false,false,true,false,false,false,false,false,false,false,true,true,0.51,0.41,4.6,94.48,4,false,true,true,false,true,2,2,2,0,2,2,true,false,false,false,false,false,false,false,102,true,0,0.91,5.75,5.73,11.48,-1,,,,0,0,,,0,1.08,0,1,,false,"H",false,true,"",false,false,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106100
40414,100,1,43,1,1,1,1,40,-9,43,false,false,false,false,true,false,false,true,true,true,false,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,189618.89113683786,false,false,false,false,true,false,false,false,false,false,false,false,true,true,0.51,0.41,4.6,94.48,6,false,true,true,true,true,2,4,1,1,2,4,false,false,false,false,false,false,false,false,-1,false,1,,,,0,128,2,28.68,28.91,57.59,1,32,81.74,,,0,0,11.22,false,"N",true,false,"",false,false,0,0,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106874
40414,100,2,42,0,2,6,4,32,-9,42,false,false,false,false,true,false,false,true,true,false,true,false,false,false,0,true,false,false,false,false,true,false,0,4,0,false,false,false,0,189618.89113683786,false,false,false,false,true,false,false,false,false,false,false,false,true,true,0.51,0.41,4.6,94.48,6,false,true,true,true,true,2,4,1,1,2,4,false,false,false,false,false,false,false,false,-1,false,1,,,,0,-1,,,,0,0,,,,,0,1,,false,"N",true,false,"",false,false,0,0,false,true,1,16,1,0,0,1,1,0,0,1,2,2,1,0,0,106875
