"person_id","tour_type","tour_type_count","tour_type_num","tour_num","tour_count","tour_category","number_of_participants","destination","origin","household_id","tdd","start","end","duration","composition","destination_logsum","tour_mode","atwork_subtour_frequency","parent_tour_id","stop_frequency","primary_purpose","tour_outbound_dist","tour_inbound_dist","main_leg_dist","outbound_leg_fft","inbound_leg_fft","main_leg_fft","ptype","num_work_stops_ob","num_school_stops_ob","num_escort_stops_ob","num_shopping_stops_ob","num_maint_stops_ob","num_eat_out_stops_ob","num_social_visit_stops_ob","num_discr_stops_ob","num_work_stops_ib","num_school_stops_ib","num_escort_stops_ib","num_shopping_stops_ib","num_maint_stops_ib","num_eat_out_stops_ib","num_social_visit_stops_ib","num_discr_stops_ib","has_outbound_stops","has_inbound_stops","main_leg_duration","inbound_duration","outbound_duration","tour_id"
105656,"work",1,1,1,1,"mandatory",1,100,100,40062,589,15,23,8,"",,"DRIVEALONEFREE","eat",,"1out_0in","work",0.58,0.58,0.58,4.42,4.42,4.42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,6,0,2,4331935
105657,"school",1,1,1,1,"mandatory",1,102,100,40062,373,9,26,17,"",,"SHARED2FREE","",,"0out_0in","school",0.91,0.91,0.58,5.75,5.73,4.42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,17,0,0,4331968
105658,"school",1,1,1,1,"mandatory",1,106,100,40062,410,10,24,14,"",,"SCHOOL_BUS","",,"0out_0in","school",2.44,2.44,0.58,9.18,9.22,4.42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,14,0,0,4332009
106097,"work",1,1,1,1,"mandatory",1,135,100,40194,455,11,31,20,"",,"SHARED2FREE","eat",,"3out_0in","work",12.07,12.07,12.07,29.93,29.78,29.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,17,0,3,4350016
106098,"work",1,1,1,1,"mandatory",1,100,100,40194,412,10,26,16,"",,"DRIVEALONEFREE","no_subtours",,"0out_2in","work",0.58,0.58,0.58,4.42,4.42,4.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,14,2,0,4350057
106099,"school",1,1,1,1,"mandatory",1,104,100,40194,373,9,26,17,"",,"SHARED3FREE","",,"0out_1in","school",3.45,3.3,3.45,12.71,12.73,12.71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,16,1,0,4350090
106876,"school",1,1,1,1,"mandatory",1,102,100,40414,452,11,28,17,"",,"SHARED2FREE","",,"0out_0in","school",0.91,0.91,0.58,5.75,5.73,4.42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,17,0,0,4381947
106877,"school",1,1,1,1,"mandatory",1,102,100,40414,455,11,31,20,"",,"SHARED3FREE","",,"0out_1in","school",0.91,0.91,0.58,5.75,5.73,4.42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,16,4,0,4381988
109608,"work",1,1,1,1,"mandatory",1,101,101,41290,559,14,27,13,"",,"WALK","no_subtours",,"0out_0in","work",0.71,0.71,0.71,8.96,8.96,8.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,13,0,0,4493967
110779,"work",1,1,1,1,"mandatory",1,101,101,41645,374,9,27,18,"",,"DRIVEALONEFREE","no_subtours",,"0out_0in","work",0.71,0.71,0.71,8.96,8.96,8.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,18,0,0,4541978
