process_name,model_name,seconds,minutes,notes
MainProcess,initialize_landuse,0.9,0.0,
MainProcess,initialize_households,0.9,0.0,
MainProcess,compute_accessibility,1.2,0.0,
MainProcess,school_location,8.1,0.1,
MainProcess,workplace_location,5.3,0.1,
MainProcess,auto_ownership_simulate,0.8,0.0,
MainProcess,free_parking,0.2,0.0,
MainProcess,cdap_simulate,9.5,0.2,
MainProcess,mandatory_tour_frequency,0.5,0.0,
MainProcess,mandatory_tour_scheduling,9.0,0.1,
MainProcess,joint_tour_frequency,0.9,0.0,
MainProcess,joint_tour_composition,0.5,0.0,
MainProcess,joint_tour_participation,0.7,0.0,
MainProcess,joint_tour_destination,5.4,0.1,
MainProcess,joint_tour_scheduling,2.4,0.0,
MainProcess,non_mandatory_tour_frequency,2.9,0.0,
MainProcess,non_mandatory_tour_destination,6.3,0.1,
MainProcess,non_mandatory_tour_scheduling,4.8,0.1,
MainProcess,tour_mode_choice_simulate,8.6,0.1,
MainProcess,atwork_subtour_frequency,0.3,0.0,
MainProcess,atwork_subtour_destination,1.1,0.0,
MainProcess,atwork_subtour_scheduling,0.7,0.0,
MainProcess,atwork_subtour_mode_choice,1.0,0.0,
MainProcess,stop_frequency,1.2,0.0,
MainProcess,trip_purpose,0.2,0.0,
MainProcess,trip_destination,52.8,0.9,
MainProcess,trip_purpose_and_destination,0.1,0.0,
MainProcess,trip_scheduling_choice,0.6,0.0,
MainProcess,trip_departure_choice,0.4,0.0,
MainProcess,trip_mode_choice,6.9,0.1,
MainProcess,write_data_dictionary,0.5,0.0,
MainProcess,track_skim_usage,0.1,0.0,
MainProcess,write_trip_matrices,0.4,0.0,
MainProcess,write_tables,0.2,0.0,
