MAZ,TAP,DDIST,DTIME,WDIST
100004,483,5.13,8.8,314.0
100004,603,4.65,7.94,662.91
100004,616,5.15,8.95,1579.21
100004,682,5.06,8.63,609.4
100004,686,5.44,9.87,417.0
100004,736,5.15,8.95,609.4
100004,739,5.44,9.87,417.0
100004,742,5.21,8.86,1707.78
100027,483,0.38,0.86,314.0
100027,603,0.36,0.8,662.91
100027,616,0.6,1.36,1579.21
100027,682,0.41,0.8800000000000001,609.4
100027,739,0.91,1.96,417.0
100027,742,0.57,1.11,1707.78
100028,270,0.03,0.08,173.0
100028,611,1.07,2.63,608.0
100028,615,0.57,1.44,1789.67
100028,686,1.07,2.63,417.0
100028,739,1.07,2.63,417.0
100028,742,1.97,3.9,1707.78
100029,430,0.03,0.08,178.0
100029,611,0.67,1.51,608.0
100029,616,1.16,2.74,1579.21
100029,686,0.67,1.51,417.0
100029,739,0.67,1.51,417.0
100030,404,0.14,0.33,132.0
100030,611,0.51,1.22,608.0
100030,616,0.98,2.24,1579.21
100030,686,0.51,1.22,417.0
100030,739,0.51,1.22,417.0
100031,127,0.2,0.48,177.0
100031,611,0.13,0.3,608.0
100031,616,1.01,2.24,1579.21
100031,686,0.13,0.3,417.0
100031,739,0.13,0.3,417.0
100032,127,0.09,0.21,177.0
100032,611,0.3,0.75,608.0
100032,616,1.19,2.46,1579.21
100032,686,0.3,0.75,417.0
100032,739,0.3,0.75,417.0
100033,127,0.18,0.4,177.0
100033,611,0.39,0.86,608.0
100033,616,1.22,2.51,1579.21
100033,686,0.39,0.86,417.0
100033,739,0.39,0.86,417.0
100034,127,0.24,0.55,177.0
100034,611,0.34,0.82,608.0
100034,616,1.01,2.5,1579.21
100034,686,0.34,0.82,417.0
100034,739,0.34,0.82,417.0
100035,127,0.03,0.08,177.0
100035,611,0.18,0.4400000000000001,608.0
100035,616,1.21,2.5,1579.21
100035,686,0.18,0.4400000000000001,417.0
100035,739,0.18,0.4400000000000001,417.0
100036,554,0.03,0.08,169.0
100036,611,0.18,0.4400000000000001,608.0
100036,616,1.27,2.63,1579.21
100036,686,0.18,0.4400000000000001,417.0
100036,739,0.18,0.4400000000000001,417.0
100037,554,0.3,0.7,169.0
100037,611,0.24,0.58,608.0
100037,616,1.1,2.32,1579.21
100037,686,0.24,0.58,417.0
100037,739,0.24,0.58,417.0
100038,483,0.61,1.24,314.0
100038,603,0.24,0.58,662.91
100038,616,0.63,1.52,1579.21
100038,682,0.54,1.06,609.4
100038,736,0.63,1.52,609.4
100038,742,0.69,1.3,1707.78
100039,534,0.32,0.66,377.0
100039,603,0.58,1.13,662.91
100039,616,1.07,2.15,1579.21
100039,682,0.22000000000000008,0.53,609.4
100039,739,1.11,2.34,417.0
100039,742,0.32,0.66,1707.78
100080,483,0.71,1.42,314.0
100080,603,0.12,0.29,662.91
100080,616,0.32,0.73,1579.21
100080,675,0.32,0.73,609.4
100080,736,0.32,0.73,609.4
100080,742,0.79,1.48,1707.78
100286,534,0.38,0.8699999999999999,377.0
100286,603,1.23,2.31,662.91
100286,616,1.58,3.19,1579.21
100286,711,0.15,0.36,609.4
100286,739,1.6200000000000003,3.34,417.0
100287,605,1.23,2.59,740.49
100287,616,2.53,5.01,1579.21
100287,711,1.16,2.45,609.4
100288,534,0.13,0.32,377.0
100288,603,0.77,1.45,662.91
100288,616,1.16,2.45,1579.21
100288,682,0.26,0.63,609.4
100288,739,1.42,2.94,417.0
100288,742,0.13,0.32,1707.78
100321,268,0.21,0.4900000000000001,328.0
100321,603,1.7899999999999998,3.6800000000000006,662.91
100321,615,0.1,0.25,1789.67
100321,618,0.1,0.25,1040.17
100321,736,1.6299999999999997,3.35,609.4
100321,742,2.52,5.21,1707.78
100322,268,0.38,0.99,328.0
100322,603,1.96,4.09,662.91
100322,615,0.3,0.72,1789.67
100322,618,0.3,0.72,1040.17
100322,736,1.8,3.7599999999999993,609.4
100322,742,2.69,5.62,1707.78
100330,430,0.07,0.16,178.0
100330,611,0.6,1.35,608.0
100330,616,1.07,2.52,1579.21
100330,686,0.6,1.35,417.0
100330,739,0.6,1.35,417.0
100331,430,0.24,0.57,178.0
100331,611,0.4400000000000001,1.07,608.0
100331,616,0.9399999999999998,2.2,1579.21
100331,686,0.4400000000000001,1.07,417.0
100331,739,0.4400000000000001,1.07,417.0
100332,584,0.16,0.39,175.0
100332,611,0.51,1.12,608.0
100332,616,1.34,2.77,1579.21
100332,686,0.51,1.12,417.0
100332,739,0.51,1.12,417.0
100333,127,0.19,0.4699999999999999,177.0
100333,611,0.5,1.08,608.0
100333,616,1.33,2.73,1579.21
100333,686,0.5,1.08,417.0
100333,739,0.5,1.08,417.0
100333,749,0.34,0.73,527.0
100334,584,0.23000000000000004,0.56,175.0
100334,616,1.51,3.1,1579.21
100334,686,0.68,1.45,417.0
100334,739,0.68,1.45,417.0
100335,518,0.11,0.27,300.0
100335,616,1.51,3.2400000000000007,1579.21
100335,735,0.21,0.51,592.0
100335,749,0.21,0.51,527.0
100336,554,0.15,0.37,169.0
100336,611,0.33,0.89,608.0
100336,616,1.4,2.96,1579.21
100336,686,0.33,0.89,417.0
100336,739,0.33,0.89,417.0
100337,554,0.36,0.8699999999999999,169.0
100337,616,1.46,3.03,1579.21
100337,735,0.09,0.22000000000000008,592.0
100337,749,0.09,0.22000000000000008,527.0
100338,585,0.2,0.4900000000000001,141.0
100338,615,0.8100000000000002,2.11,1789.67
100338,739,1.6800000000000002,3.87,417.0
100339,585,0.4400000000000001,1.06,141.0
100339,615,0.82,1.9,1789.67
100339,739,2.16,4.13,417.0
100341,585,0.53,1.34,141.0
100341,615,0.56,1.32,1789.67
100341,618,0.56,1.32,1040.17
100341,739,1.8400000000000003,4.24,417.0
100341,742,2.77,5.54,1707.78
100342,530,0.14,0.34,293.0
100342,603,1.22,2.66,662.91
100342,616,1.07,2.33,1579.21
100342,663,0.95,2.23,609.4
100342,738,0.95,2.23,609.4
100342,742,1.86,3.95,1707.78
100343,585,0.4600000000000001,1.11,141.0
100343,611,1.32,3.37,608.0
100343,615,0.53,1.26,1789.67
100343,686,1.32,3.37,417.0
100343,739,1.32,3.37,417.0
100343,742,2.37,4.8,1707.78
