TAP,LINES
3,SF_80X SF_41 SF_1c SF_1d SF_82Xa SF_1b SF_1
13,SF_21a GG_101_SB SF_21b SF_14Xb SF_5h SF_LOWL SM_292 SF_71L SF_31a SF_14La SF_6 SF_5i SF_5j SM_292a SF_14L SM_292c SM_292b SF_6a SF_NOWL SF_71a SM_KX SF_KOWL SF_NOWLa SF_91 SF_45e SF_45d SF_45c SF_38La SM_292d SM_397a SF_14g SF_14f SF_14 SM_KXa SM_391c SM_397 SM_391a SF_14Xa SF_KOWLa SM_391d SF_30i AD_800c SF_71 SF_30c SF_30b SF_30a SF_30e SF_30d SF_6e SF_6d SM_391f SF_9La SF_8BXa SF_38h SF_14X SF_81X GG_101X_SB GG_101_NB SF_8Xc SF_9L SM_292e SF_LOWLa GG_101X_NB SF_8AXa SF_38g SF_38f SF_38e SF_14a SF_71La SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
26,SF_108 SF_108a
27,SF_108 SF_108a
40,SF_NOWL
49,SF_8Xc SF_14Xb SF_14Xa SF_27 SF_8BXa SF_8AXa
51,GG_054c_SB SF_LOWL GG_72XaSB GG_027b_NB SF_NOWL SF_10 SF_9L SF_KOWL SF_38La GG_024a_NB GG_054a_NB SF_1BXa AD_800c SF_1AXa SF_81X SF_31AXa SF_LOWLa SF_71La GG_024a_SB SF_38BXa GG_054c_NB SF_38AXa SF_31BXa SF_71L SF_31a SF_31c GG_008_NB GG_72cSB GG_002_SB SF_71a SF_NOWLa GG_058_NB GG_044_SB SF_12 GG_038_NB SF_71 SF_KOWLa SF_6e SF_6d SF_6a GG_027c_SB GG_018_NB GG_097_SB GG_027a_SB SF_9La SF_9b GG_056_SB SF_9d SF_9e SF_9f SF_5h SF_5i SF_5j SF_5e SF_5f SF_5g GG_76SB GG_024X_NB GG_058_SB SF_10a SF_10e SF_10d GG_027c_NB GG_018_SB SF_38L GG_004_SB SF_38c SF_38b SF_38a SF_30X SF_38g SF_38f SF_38e SF_38h SF_21a SF_12a SF_21b GG_002_NB SF_21 GG_024X_SB SF_2 SF_3 SF_6 SF_3a GG_008_SB GG_004_NB SF_38 SF_31 GG_027a_NB SF_2a SF_2b SF_9c GG_054a_SB SF_30Xa
73,SF_90a SF_12a SF_9 SF_47a SF_90 SM_292e SM_KXa SM_397a SF_12 SM_292a SF_9a SF_9b SF_9c SF_9d SF_9e SF_9f
88,SF_1b SF_1d SF_27 SF_27a
97,SF_12a GG_054c_NB GG_002_NB SF_41 GG_008_NB SF_41c GG_056_NB GG_058_NB GG_024X_NB SF_41b GG_024a_NB GG_038_NB GG_004_NB SF_10e GG_054a_NB SF_82Xa GG_027c_NB SF_8AX GG_027a_NB SF_8BXa GG_027b_NB GG_018_NB SF_1b SF_8Xc SF_1d SF_30Xa SF_8AXa
