TAZ,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
1,1,1,1,46,74,82,37,1,60,15,13,9,9,20.3,1.0,15.0,0.23800000000000002,27318,3,7,31,27,14,224,21927,2137,2254,18,758,284.01965,932.83514,0,0.0,0.0,0.0,3,5.89564,0,46,1,8
2,1,1,1,134,214,240,107,5,147,57,32,24,21,31.1,1.0,24.79297,0.23800000000000002,42078,8,19,89,81,43,453,33422,4399,2948,56,800,269.6431,885.61682,0,0.0,0.0,0.0,1,5.84871,0,134,2,26
3,1,1,1,267,427,476,214,9,285,101,86,40,40,14.7,1.0,2.31799,0.23800000000000002,2445,16,38,177,160,85,93,1159,950,211,0,32,218.08298,716.27252,0,0.0,0.0,0.0,1,5.53231,0,267,3,49
4,1,1,1,151,239,253,117,6,210,52,47,30,22,19.3,1.0,18.0,0.23800000000000002,22434,8,20,95,85,45,403,15430,3200,1907,116,1378,191.0,314.0,0,0.0,0.0,0.0,2,5.6433,0,151,4,14
5,1,1,1,611,974,1069,476,22,671,223,180,104,104,52.7,1.0,15.0,0.23800000000000002,15662,37,86,396,359,191,2175,6356,5443,1292,5,391,191.0087,314.01431,0,0.0,72.14684,0.0,1,5.52555,0,611,5,95
6,1,1,1,2240,3311,3963,2052,0,2406,843,699,399,299,29.0,7.0,8.0,0.142,3789,77,226,2311,944,405,151,924,1997,672,1,44,150.0,546.0,0,0.0,0.0,0.0,1,5.00004,0,2240,6,652
7,1,1,1,3762,5561,6032,3375,0,4174,1489,1036,647,590,45.0,13.0,14.0,0.191,11300,173,425,2689,1909,836,252,5535,4593,799,1,120,318.85754,933.2415800000001,0,0.0,0.0,0.0,1,5.35435,0,3762,7,471
8,1,1,1,4582,7565,9907,3594,19,4898,2704,864,529,485,51.0,8.33042,15.0,0.25,4171,390,876,3159,3621,1861,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,0,4582,8,2342
9,1,1,1,5545,9494,10171,4672,35,6032,2605,1318,846,776,112.0,9.79332,47.0,0.163,31248,416,1034,4851,2661,1209,123,8750,9500,12434,4,437,181.05391,299.21539,0,26.928929999999998,2035.5811800000001,20.60887,2,5.22542,0,5545,9,677
10,1,1,1,5344,9205,9308,5137,5,5663,3825,585,481,453,73.5,10.376660000000001,35.0,0.14800000000000002,11172,266,822,4041,3280,899,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,0,5344,10,103
