Description,Expression,M,N,H
Full-time worker alternative-specific constants,ptype == 1,0.885080091,0.531583624,
Part-time worker alternative-specific constants,ptype == 2,-0.920808727,1.117988879,
University student alternative-specific constants,ptype == 3,1.898468936,-0.380144113,
Non-working adult alternative-specific constants,ptype == 4,-4.352,-0.332324197,
Retired alternative-specific constants,ptype == 5,-7.499,-1.143572039,
Driving-age child who is in school alternative-specific constants,ptype == 6,2.280255693,-1.53934846,
Pre-driving-age child who is in school alternative-specific constants,ptype == 7,2.929262562,-0.332594988,
Pre-driving-age child who is in school interaction with age 6 to 9,(ptype == 7) & (age >= 6) & (age <= 9),-0.2943,,
Pre-driving-age child who is in school interaction with age 13 to 15,(ptype == 7) & (age >= 13) & (age <= 15),-0.7141,-0.672,
Pre-driving-age child who is too young for school alternative-specific constants,ptype == 8,-0.997870508,-3.794877974,
Pre-driving-age child who is too young for school interaction with age 0 to 1,(ptype == 8) * age,-0.4515,,
Pre-driving-age child who is too young for school interaction with age 4 to 5,(ptype == 8) & (age >= 4) & (age <= 5),0.6107,,
#,,,,
Full-time worker interaction with age less than 40,(ptype == 1) & (age < 40),0.2091,,
Retired interaction with age more than 80,(ptype == 5) & (age > 80),,,0.7666
Full-time worker interaction with female gender,(ptype == 1) & (sex == 2),-0.1259,,
Non-working adult interaction with female gender,(ptype == 4) & (sex == 2),-0.743,,
Retired interaction with female,(ptype == 5) & (sex == 2),0.4769,,
Non-working adult interaction with more cars than workers,(ptype == 4) & (auto_ownership > num_workers),0.6515,0.8168,
Retired interaction with more cars than workers,(ptype == 5) & (auto_ownership > num_workers),2.992,1.056,
Pre-driving-age child who is too young for school interaction with more cars than workers,(ptype == 8) & (auto_ownership > num_workers),,0.2991,
Full-time worker interaction with fewer cars than workers,(ptype == 1) & (auto_ownership < num_workers),,,0.5039
Non-working adult interaction with fewer cars than workers,(ptype == 4) & (auto_ownership < num_workers),,,0.8965
Retired interaction with fewer cars than workers,(ptype == 5) & (auto_ownership < num_workers),,,0.5496
Driving-age child who is in school interaction with fewer cars than workers,(ptype == 6) & (auto_ownership < num_workers),,,0.6475
