Description,Expression,participate,not_participate
Dummy for full-time worker in mixed party,person_is_full & tour_composition_is_mixed,-3.566,0.5
Dummy for part-time worker in adult party,person_is_part & tour_composition_is_adults,-0.3655,
Dummy for part-time worker in mixed party,person_is_part & tour_composition_is_mixed,-3.041,
Dummy for university student in mixed party,person_is_univ & tour_composition_is_mixed,-3.164,
Dummy for nonworker in adult party,person_is_nonwork & tour_composition_is_adults,0.7152,
Dummy for nonworker in mixed party,person_is_nonwork & tour_composition_is_mixed,-2.786,
Dummy for preschool child in children party,person_is_preschool & tour_composition_is_children,-1.893,
Dummy for preschool child in mixed party,person_is_preschool & tour_composition_is_mixed,-0.7217,
Dummy for pre-driving school child in children party,person_is_school & tour_composition_is_children,-1.752,
Dummy for pre-driving school child in mixed party,person_is_school & tour_composition_is_mixed,-1.822,
Dummy for driving school child in children party,person_is_driving & tour_composition_is_children,-1.353,
Dummy for driving school child in mixed party,person_is_driving & tour_composition_is_mixed,-2.041,
#,,,
Dummy for full-time worker on eating-out joint tour ,person_is_full & tour_type_is_eat,0.7157,0.5
Dummy for full-time worker on discretionary joint tour ,person_is_full & tour_type_is_disc,0.4392,0.5
Dummy for part-time worker on eating-out joint tour ,person_is_part & tour_type_is_eat,2.188,
Dummy for part-time worker on discretionary joint tour ,person_is_part & tour_type_is_disc,0.285,
Dummy for university student on eating-out joint tour ,person_is_univ & tour_type_is_eat,-0.82,
Dummy for non-worker on eating-out joint tour ,person_is_nonwork & tour_type_is_eat,0.1617,
Dummy for non-worker on discretionary joint tour ,person_is_nonwork & tour_type_is_disc,-0.1835,
Dummy for preschool child on eating-out joint tour ,person_is_preschool & tour_type_is_eat,0.6589,
Dummy for preschool child on discretionary joint tour ,person_is_preschool & tour_type_is_disc,0.1284,
Dummy for pre-driving school child on eating-out joint tour ,person_is_school & tour_type_is_eat,1.391,
Dummy for pre-driving school child on discretionary joint tour ,person_is_school & tour_type_is_disc,0.6626,
Dummy for driving school child on eating-out joint tour ,person_is_driving & tour_type_is_eat,2.344,
Dummy for driving school child on discretionary joint tour ,person_is_driving & tour_type_is_disc,-0.6675,
#,,,
Dummy for urban area for adult in adult party,home_is_urban & adult & tour_composition_is_adults,0,
Dummy for urban area for adult in mixed party,home_is_urban & adult & tour_composition_is_mixed,-0.137,
