coefficient_name,value,constrain
coef_escort_sov_distance_op,-0.2,F
coef_escortkids_sov_distance_op,-0.2,F
coef_escortnokids_sov_distance_op,-0.2,F
coef_shopping_sov_distance_op,-0.2,F
coef_eatout_sov_distance_op,-0.2,F
coef_othmaint_sov_distance_op,-0.2,F
coef_social_sov_distance_op,-0.2,F
coef_othdiscr_sov_distance_op,-0.2,F
coef_shopping_mode_logsum,0.6529,F
coef_eatout_mode_logsum,0.3771,F
coef_othmaint_mode_logsum,0.7423,F
coef_shopping_cbd,-0.5719,F
coef_eatout_cbd,-0.6056,F
coef_othmaint_cbd,-0.6179,F
coef_social_cbd,-0.432,F
coef_shopping_urban,0.06509,F
coef_eatout_urban,-0.1792,F
coef_othmaint_urban,-0.1244,F
coef_social_urban,0.714,F
coef_othdiscr_urban,-0.1284,F
coef_escort_distance,0.2652547,F
coef_escortkids_distance,0.2652547,F
coef_escortnokids_distance,0.2652547,F
coef_shopping_distance,-0.0896571,F
coef_eatout_distance,-0.5736904,F
coef_othmaint_distance,-0.1407219,F
coef_social_distance,-0.230406,F
coef_othdiscr_distance,0.0398318,F
coef_escort_distance_squared,-0.0100092,F
coef_escortkids_distance_squared,-0.0100092,F
coef_escortnokids_distance_squared,-0.0100092,F
coef_shopping_distance_squared,-0.0034606,F
coef_eatout_distance_squared,0.0161118,F
coef_othmaint_distance_squared,0.0016544,F
coef_social_distance_squared,-0.0004962,F
coef_othdiscr_distance_squared,-0.0058886,F
coef_escort_distance_cubed,0.00013838,F
coef_escortkids_distance_cubed,0.00013838,F
coef_escortnokids_distance_cubed,0.00013838,F
coef_shopping_distance_cubed,0.00009333,F
coef_eatout_distance_cubed,-0.000155015,F
coef_othmaint_distance_cubed,0.0000163,F
coef_social_distance_cubed,0.000198,F
coef_othdiscr_distance_cubed,0.00013051,F
coef_escort_log_distance,-2.5290686,F
coef_escortkids_log_distance,-2.5290686,F
coef_escortnokids_log_distance,-2.5290686,F
coef_shopping_log_distance,-0.9567383,F
coef_eatout_log_distance,-0.230311,F
coef_othmaint_log_distance,-0.5925517,F
coef_social_log_distance,0.1102365,F
coef_othdiscr_log_distance,-0.9934395,F
coef_eatout_distance_high_income,0.008183,F
coef_escort_distance_nondrive,-0.0155,F
coef_escortnokids_distance_nondrive,-0.0155,F
coef_escortkids_distance_nondrive,-0.0155,F
coef_shopping_distance_nondrive,-0.02022,F
coef_social_distance_nondrive,-0.02203,F
coef_othdiscr_distance_nondrive,-0.00959,F
coef_shopping_dist_0_1,-0.017240188,F
coef_eatout_dist_0_1,-0.267037889,F
coef_othmaint_dist_0_1,-0.268265439,F
coef_othdiscr_dist_0_1,-0.282249313,F
coef_shopping_dist_1_2,0.317434608,F
coef_eatout_dist_1_2,-0.169811771,F
coef_othmaint_dist_1_2,0.242864915,F
coef_othdiscr_dist_1_2,0.024857522,F
coef_shopping_dist_2_3,0.138968349,F
coef_eatout_dist_2_3,-0.499131111,F
coef_othmaint_dist_2_3,0.331639805,F
coef_othdiscr_dist_2_3,0.166880974,F
coef_shopping_dist_3_4,0.160534381,F
coef_eatout_dist_3_4,-0.238513672,F
coef_othdiscr_dist_3_4,0.224017965,F
coef_eatout_dist_4_5,-0.110972331,F
coef_othdiscr_dist_4_5,0.504712161,F
