coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-8.568426188,F
coef_total_number_of_tours_is_2,-12.74161796,F
coef_total_number_of_tours_is_3,-15.09784547,F
coef_total_number_of_tours_is_4,-19.5439007,F
coef_total_number_of_tours_is_5,-20.78966136,F
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-5.019578837,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-5.019578837,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.95002466,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-7.142963015,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_shopping_tours,-0.807229352,F
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,0,T
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.835707936,F
coef_logged_maximum_residual_window_tour_frequency_is_2,2.270676372,F
coef_logged_maximum_residual_window_tour_frequency_is_3,4.402338117,F
coef_logged_maximum_residual_window_tour_frequency_is_4,4.402338117,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,4.402338117,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0,T
coef_mediumlow_income_group_and_tour_frequency_is_2,0,T
coef_mediumlow_income_group_and_tour_frequency_is_3,0,T
coef_mediumlow_income_group_and_tour_frequency_is_4,0,T
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_1,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_2,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_3,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_4,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,0,T
coef_high_income_group_and_tour_frequency_is_1,0,T
coef_high_income_group_and_tour_frequency_is_2,0,T
coef_high_income_group_and_tour_frequency_is_3,0,T
coef_high_income_group_and_tour_frequency_is_4,0,T
coef_high_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumlow_income_group_and_shopping_tour,1.09485844,F
coef_mediumhigh_income_group_and_shopping_tour,1.09485844,F
coef_high_income_group_and_shopping_tour,1.09485844,F
coef_mediumlow_income_group_and_maintenance_tour,0.764796395,F
coef_mediumhigh_income_group_and_maintenance_tour,0.764796395,F
coef_high_income_group_and_maintenance_tour,1.379477519,F
coef_mediumlow_income_group_and_eating_out_tour,0.976892941,F
coef_mediumhigh_income_group_and_eating_out_tour,1.181031147,F
coef_high_income_group_and_eating_out_tour,1.484248546,F
coef_mediumlow_income_group_and_discretionary_tour,1.009484907,F
coef_mediumhigh_income_group_and_discretionary_tour,1.009484907,F
coef_high_income_group_and_discretionary_tour,1.009484907,F
coef_mediumlow_income_group_and_visiting_tour,0,T
coef_mediumhigh_income_group_and_visiting_tour,-0.436848545,F
coef_high_income_group_and_visiting_tour,-0.513667278,F
coef_female_and_tour_frequency_is_1,-0.934807299,F
coef_female_and_tour_frequency_is_2,-1.302764445,F
coef_female_and_tour_frequency_is_3,-2.265968015,F
coef_female_and_tour_frequency_is_4,-2.265968015,F
coef_female_and_tour_frequency_is_5,-2.265968015,F
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0.968802881,F
coef_female_and_maintenance_tour,0.742362018,F
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0.495363724,F
coef_zero_car_ownership_and_tour_frequency_is_1,0,T
coef_zero_car_ownership_and_tour_frequency_is_2,0,T
coef_zero_car_ownership_and_tour_frequency_is_3,0,T
coef_zero_car_ownership_and_tour_frequency_is_4,0,T
coef_zero_car_ownership_and_tour_frequency_is_5_plus,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_1,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_2,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_3,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_4,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.79652991,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,2.130154051,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,2.130154051,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,2.130154051,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,2.130154051,F
coef_presence_of_non_worker_and_tour_frequency_is_1,0.224005762,F
coef_presence_of_non_worker_and_tour_frequency_is_2,0.24360375,F
coef_presence_of_non_worker_and_tour_frequency_is_3,0.619960013,F
coef_presence_of_non_worker_and_tour_frequency_is_4,3.374219207,F
coef_presence_of_non_worker_and_tour_frequency_is_5,3.374219207,F
coef_presence_of_retiree_and_tour_frequency_is_1,-0.445831432,F
coef_presence_of_retiree_and_tour_frequency_is_2,-0.53146349,F
coef_presence_of_retiree_and_tour_frequency_is_3,-0.53146349,F
coef_presence_of_retiree_and_tour_frequency_is_4,-0.53146349,F
coef_presence_of_retiree_and_tour_frequency_is_5,-0.53146349,F
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_full_time_worker_and_escorting_tour,0,T
coef_presence_of_part_time_worker_and_escorting_tour,0,T
coef_presence_of_non_worker_and_escorting_tour,0,T
coef_presence_of_retiree_and_escorting_tour,0,T
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.490340788,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.502673681,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,0,T
coef_at_home_pre_school_kid_and_escorting_tour,0,T
coef_presence_of_full_time_worker_and_shopping_tour,-0.360949185,F
coef_presence_of_part_time_worker_and_shopping_tour,0,T
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,0,T
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,0,T
coef_presence_of_part_time_worker_and_maintenance_tour,0,T
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,-0.788006687,F
coef_presence_of_part_time_worker_and_eating_out_tour,-0.788006687,F
coef_presence_of_non_worker_and_eating_out_tour,-0.788006687,F
coef_presence_of_retiree_and_eating_out_tour,-0.928174452,F
coef_presence_of_university_student_and_eating_out_tour,0,T
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_driving_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_school_kid_and_eating_out_tour,0,T
coef_presence_of_full_time_worker_and_discretionary_tour,-0.483527704,F
coef_presence_of_part_time_worker_and_discretionary_tour,0,T
coef_presence_of_non_worker_and_discretionary_tour,-0.560266819,F
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,0,T
coef_presence_of_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0.061610118,F
coef_walk_access_to_retail_and_tour_frequency_is_2,0.061610118,F
coef_walk_access_to_retail_and_tour_frequency_is_3,0.061610118,F
coef_walk_access_to_retail_and_tour_frequency_is_4,0.061610118,F
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0.061610118,F
coef_transit_access_to_retail_and_tour_frequency_is_1,0,T
coef_transit_access_to_retail_and_tour_frequency_is_2,0,T
