coefficient_name,value,constrain
coef_ivt_work,-0.0247,f
coef_ivt_univ,-0.0247,f
coef_ivt_school,-0.0064,f
coef_ivt_nonmandatory,-0.02142,f
coef_ivt_atwork,-0.02142,f
coef_ovt_work,0,f
coef_ovt_univ,-0.0457,f
coef_ovt_school,-0.0128,f
coef_ovt_nonmandatory,-0.05432,f
coef_ovt_atwork,-0.05432,f
coef_cost_low_work,-0.0103,f
coef_cost_low_univ,-0.0103,f
coef_cost_low_school,-0.004,f
coef_cost_low_nonmandatory,-0.0103,f
coef_cost_low_atwork,-0.0103,f
coef_cost_med_work,-0.0023,f
coef_cost_med_univ,-0.0023,f
coef_cost_med_school,-0.0009,f
coef_cost_med_nonmandatory,-0.0023,f
coef_cost_med_atwork,-0.0023,f
coef_cost_high_work,-0.0014,f
coef_cost_high_univ,-0.0014,f
coef_cost_high_school,-0.0005,f
coef_cost_high_nonmandatory,-0.0014,f
coef_cost_high_atwork,-0.0014,f
coef_firstWaitShort_work,-0.0494,f
coef_firstWaitShort_univ,-0.0494,f
coef_firstWaitShort_school,-0.0128,f
coef_firstWaitShort_nonmandatory,-0.0284,f
coef_firstWaitShort_atwork,-0.04284,f
coef_firstWaitLong_work,-0.0494,f
coef_firstWaitLong_univ,-0.0494,f
coef_firstWaitLong_school,-0.0128,f
coef_firstWaitLong_nonmandatory,-0.0284,f
coef_firstWaitLong_atwork,-0.04284,f
coef_xferWait_work,-0.03705,f
coef_xferWait_univ,-0.03705,f
coef_xferWait_school,-0.0096,f
coef_xferWait_nonmandatory,-0.03213,f
coef_xferWait_atwork,-0.03213,f
coef_walkTimeShort_work,-0.0494,f
coef_walkTimeShort_univ,-0.0457,f
coef_walkTimeShort_school,-0.0127,f
coef_walkTimeShort_nonmandatory,-0.05871,f
coef_walkTimeShort_atwork,-0.05871,f
coef_walkTimeLong_work,-0.06175,f
coef_walkTimeLong_univ,-0.0457,f
coef_walkTimeLong_school,-0.0127,f
coef_walkTimeLong_nonmandatory,-0.04058,f
coef_walkTimeLong_atwork,-0.04058,f
coef_bikeTime_work,-0.11115,f
coef_bikeTime_univ,-0.0457,f
coef_bikeTime_school,-0.0128,f
coef_bikeTime_nonmandatory,-0.04058,f
coef_bikeTime_atwork,-0.04058,f
coef_pnrTime_work,-0.0494,f
coef_pnrTime_univ,-0.0494,f
coef_pnrTime_school,-0.0128,f
coef_pnrTime_nonmandatory,-0.0284,f
coef_pnrTime_atwork,0,f
coef_knrTime_work,-0.06175,f
coef_knrTime_univ,-0.06175,f
coef_knrTime_school,-0.016,f
coef_knrTime_nonmandatory,-0.05355,f
coef_knrTime_atwork,0,f
CBD_sub_work,-10,f
CBD_sub_univ,-10,f
CBD_sub_school,-10,f
CBD_sub_nonmandatory,-15,f
CBD_sub_atwork,-15,f
cost_parking_work,7.1,f
cost_parking_univ,5.1,f
cost_parking_school,7.3,f
cost_parking_nonmandatory,1.9,f
cost_parking_atwork,0.9,f
costPerMile_work,17.29,f
costPerMile_univ,17.29,f
costPerMile_school,17.29,f
costPerMile_nonmandatory,17.29,f
costPerMile_atwork,17.29,f
firstWaitThresh_work,7.5,f
firstWaitThresh_univ,7.5,f
firstWaitThresh_school,7.5,f
firstWaitThresh_nonmandatory,7.5,f
firstWaitThresh_atwork,7.5,f
walkThresh_work,0.6667,f
walkThresh_univ,0.6667,f
walkThresh_school,0.6667,f
walkThresh_nonmandatory,0.6667,f
walkThresh_atwork,0.6667,f
walkSpeed_work,3,f
walkSpeed_univ,3,f
walkSpeed_school,3,f
walkSpeed_nonmandatory,3,f
walkSpeed_atwork,3,f
bikeSpeed_work,12,f
bikeSpeed_univ,12,f
bikeSpeed_school,12,f
bikeSpeed_nonmandatory,12,f
bikeSpeed_atwork,12,f
schoolBusSpeed_work,20,f
schoolBusSpeed_univ,20,f
schoolBusSpeed_school,20,f
schoolBusSpeed_nonmandatory,20,f
schoolBusSpeed_atwork,20,f
schoolBusOvt_work,0,f
schoolBusOvt_univ,0,f
schoolBusOvt_school,10,f
schoolBusOvt_nonmandatory,0,f
schoolBusOvt_atwork,0,f
expr_work,0.95,f
expr_univ,0.95,f
expr_school,0.95,f
expr_nonmandatory,0.95,f
expr_atwork,0.95,f
hrt_work,0.75,f
hrt_univ,0.75,f
hrt_school,0.75,f
hrt_nonmandatory,0.75,f
hrt_atwork,0.75,f
lrt_work,0.8,f
lrt_univ,0.8,f
lrt_school,0.8,f
lrt_nonmandatory,0.8,f
lrt_atwork,0.8,f
brt_work,0.85,f
brt_univ,0.85,f
brt_school,0.85,f
brt_nonmandatory,0.85,f
brt_atwork,0.85,f
crl_work,0.75,f
crl_univ,0.75,f
crl_school,0.75,f
crl_nonmandatory,0.75,f
crl_atwork,0.75,f
coef_da_age1622_work,-0.4227,f
coef_da_age1622_univ,0,f
coef_da_age1622_school,0,f
coef_da_age1622_nonmandatory,0,f
coef_da_age1622_atwork,0,f
coef_da_hmmake_work,-0.6893,f
coef_da_hmmake_univ,0,f
coef_da_hmmake_school,0,f
coef_da_hmmake_nonmandatory,0,f
coef_da_hmmake_atwork,0,f
coef_da_age1617_work,0,f
coef_da_age1617_univ,-2.241,f
coef_da_age1617_school,-2.241,f
coef_da_age1617_nonmandatory,-2.241,f
coef_da_age1617_atwork,-2.241,f
coef_da_unversity_work,0,f
coef_da_unversity_univ,2.505,f
coef_da_unversity_school,0,f
coef_da_unversity_nonmandatory,0,f
coef_da_unversity_atwork,0,f
coef_da_worker_work,0,f
coef_da_worker_univ,1.92,f
coef_da_worker_school,1.92,f
coef_da_worker_nonmandatory,1.92,f
coef_da_worker_atwork,0,f
coef_da_age4059_work,0,f
coef_da_age4059_univ,0,f
coef_da_age4059_school,0,f
coef_da_age4059_nonmandatory,0.3017,f
coef_da_age4059_atwork,0.3017,f
coef_da_age6079_work,0,f
coef_da_age6079_univ,0,f
coef_da_age6079_school,0,f
coef_da_age6079_nonmandatory,0.4468,f
coef_da_age6079_atwork,0.4468,f
coef_da_nonWrkAdlt_work,0,f
coef_da_nonWrkAdlt_univ,0,f
coef_da_nonWrkAdlt_school,0,f
coef_da_nonWrkAdlt_nonmandatory,-0.1479,f
coef_da_nonWrkAdlt_atwork,0,f
coef_da_odDistLess5Mile_work,0,f
coef_da_odDistLess5Mile_univ,0,f
coef_da_odDistLess5Mile_school,0,f
coef_da_odDistLess5Mile_nonmandatory,0.3875,f
coef_da_odDistLess5Mile_atwork,0.3875,f
coef_da_tourPur_Shp_work,0,f
coef_da_tourPur_Shp_univ,0,f
coef_da_tourPur_Shp_school,0,f
coef_da_tourPur_Shp_nonmandatory,0,f
coef_da_tourPur_Shp_atwork,0.1724,f
coef_hov_hhsize1_work,-0.7019,f
coef_hov_hhsize1_univ,-2.993,f
coef_hov_hhsize1_school,-2.993,f
coef_hov_hhsize1_nonmandatory,-0.7493,f
coef_hov_hhsize1_atwork,-0.7493,f
coef_hov_ChU16_work,0,f
coef_hov_ChU16_univ,0,f
coef_hov_ChU16_school,0,f
coef_hov_ChU16_nonmandatory,1.275,f
coef_hov_ChU16_atwork,1.275,f
coef_hov_mlChU16_work,0.2215,f
coef_hov_mlChU16_univ,0,f
coef_hov_mlChU16_school,0,f
coef_hov_mlChU16_nonmandatory,0,f
coef_hov_mlChU16_atwork,0,f
coef_hov_fmlChU16_work,0.9644,f
coef_hov_fmlChU16_univ,0,f
coef_hov_fmlChU16_school,0,f
coef_hov_fmlChU16_nonmandatory,0,f
coef_hov_fmlChU16_atwork,0,f
coef_hov_mlCh16P_work,0.1003,f
coef_hov_mlCh16P_univ,0,f
coef_hov_mlCh16P_school,0,f
coef_hov_mlCh16P_nonmandatory,0,f
coef_hov_mlCh16P_atwork,0,f
coef_hov_fmlCh16P_work,0.3513,f
coef_hov_fmlCh16P_univ,0,f
coef_hov_fmlCh16P_school,0,f
coef_hov_fmlCh16P_nonmandatory,0,f
coef_hov_fmlCh16P_atwork,0,f
coef_hov_mlAdChU16_work,0,f
coef_hov_mlAdChU16_univ,0,f
coef_hov_mlAdChU16_school,0,f
coef_hov_mlAdChU16_nonmandatory,0.7186,f
coef_hov_mlAdChU16_atwork,0.7186,f
coef_hov_fmlAdChU16_work,0,f
coef_hov_fmlAdChU16_univ,0,f
coef_hov_fmlAdChU16_school,0,f
coef_hov_fmlAdChU16_nonmandatory,1.144,f
coef_hov_fmlAdChU16_atwork,1.144,f
coef_hov_OthfmlAd_work,0,f
coef_hov_OthfmlAd_univ,0,f
coef_hov_OthfmlAd_school,0,f
coef_hov_OthfmlAd_nonmandatory,0.4521,f
coef_hov_OthfmlAd_atwork,0.4521,f
coef_hov_tourPur_Esc_work,0,f
coef_hov_tourPur_Esc_univ,0,f
coef_hov_tourPur_Esc_school,0,f
coef_hov_tourPur_Esc_nonmandatory,2.068,f
coef_hov_tourPur_Esc_atwork,0,f
coef_hov_tourPur_Eat_work,0,f
coef_hov_tourPur_Eat_univ,0,f
coef_hov_tourPur_Eat_school,0,f
coef_hov_tourPur_Eat_nonmandatory,0.9919,f
coef_hov_tourPur_Eat_atwork,0.9919,f
coef_hov_dep_wk_bef_6_work,-0.3082,f
coef_hov_dep_wk_bef_6_univ,0,f
coef_hov_dep_wk_bef_6_school,0,f
coef_hov_dep_wk_bef_6_nonmandatory,0,f
coef_hov_dep_wk_bef_6_atwork,0,f
coef_hov_dep_wk_after_4_work,0.5427,f
coef_hov_dep_wk_after_4_univ,0,f
coef_hov_dep_wk_after_4_school,0,f
coef_hov_dep_wk_after_4_nonmandatory,0,f
coef_hov_dep_wk_after_4_atwork,0,
coef_hov_dep_after_4_work,0,f
coef_hov_dep_after_4_univ,0,f
coef_hov_dep_after_4_school,0,f
coef_hov_dep_after_4_nonmandatory,0.4036,f
coef_hov_dep_after_4_atwork,0.4036,f
coef_hov_arr_after_7_work,0,f
coef_hov_arr_after_7_univ,0,f
coef_hov_arr_after_7_school,0,f
coef_hov_arr_after_7_nonmandatory,0.4206,f
coef_hov_arr_after_7_atwork,0.4206,f
coef_nm_U40_work,0.7449,f
coef_nm_U40_univ,0,f
coef_nm_U40_school,0,f
coef_nm_U40_nonmandatory,0.5114,f
coef_nm_U40_atwork,0.5114,f
coef_nm_male_work,0.9845,f
coef_nm_male_univ,1.094,f
coef_nm_male_school,1.094,f
coef_nm_male_nonmandatory,0,f
coef_nm_male_atwork,0,f
coef_nm_UnvStudent_work,0,f
coef_nm_UnvStudent_univ,4.087,f
coef_nm_UnvStudent_school,0,f
coef_nm_UnvStudent_nonmandatory,0,f
coef_nm_UnvStudent_atwork,0,f
coef_nm_incLess50K_work,0,f
coef_nm_incLess50K_univ,2.524,f
coef_nm_incLess50K_school,2.524,f
coef_nm_incLess50K_nonmandatory,0,f
coef_nm_incLess50K_atwork,0,f
coef_nm_60plus_work,0,f
coef_nm_60plus_univ,0,f
coef_nm_60plus_school,0,f
coef_nm_60plus_nonmandatory,-1.044,f
coef_nm_60plus_atwork,-1.044,f
coef_nm_incVeryhigh_work,0,f
coef_nm_incVeryhigh_univ,0,f
coef_nm_incVeryhigh_school,0,f
coef_nm_incVeryhigh_nonmandatory,-0.945,f
coef_nm_incVeryhigh_atwork,-0.945,f
