coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-7.150570603,F
coef_total_number_of_tours_is_2,-11.12137389,F
coef_total_number_of_tours_is_3,-13.17498584,F
coef_total_number_of_tours_is_4,-999,T
coef_total_number_of_tours_is_5,-999,T
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,-0.234015942,F
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-0.923144774,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-6.583461107,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,-0.21615283,F
coef_number_of_joint_tours_and_tour_frequency_is_2,-0.358713392,F
coef_number_of_joint_tours_and_tour_frequency_is_3,-4.270061689,F
coef_number_of_joint_tours_and_tour_frequency_is_4,-999,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,-999,T
coef_number_of_joint_shopping_tours,0,T
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,0,T
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.329839243,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.375920482,F
coef_logged_maximum_residual_window_tour_frequency_is_3,3.280771992,F
coef_logged_maximum_residual_window_tour_frequency_is_4,3.280771992,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,3.280771992,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0,T
coef_mediumlow_income_group_and_tour_frequency_is_2,0,T
coef_mediumlow_income_group_and_tour_frequency_is_3,0,T
coef_mediumlow_income_group_and_tour_frequency_is_4,0,T
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_1,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_2,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_3,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_4,0,T
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,0,T
coef_high_income_group_and_tour_frequency_is_1,0,T
coef_high_income_group_and_tour_frequency_is_2,0,T
coef_high_income_group_and_tour_frequency_is_3,0,T
coef_high_income_group_and_tour_frequency_is_4,0,T
coef_high_income_group_and_tour_frequency_is_5_plus,0,T
coef_mediumlow_income_group_and_shopping_tour,0,T
coef_mediumhigh_income_group_and_shopping_tour,0.244330403,F
coef_high_income_group_and_shopping_tour,0.244330403,F
coef_mediumlow_income_group_and_maintenance_tour,0,T
coef_mediumhigh_income_group_and_maintenance_tour,0.398180419,F
coef_high_income_group_and_maintenance_tour,0.398180419,F
coef_mediumlow_income_group_and_eating_out_tour,0,T
coef_mediumhigh_income_group_and_eating_out_tour,0.491567668,F
coef_high_income_group_and_eating_out_tour,0.491567668,F
coef_mediumlow_income_group_and_discretionary_tour,0.91691607,F
coef_mediumhigh_income_group_and_discretionary_tour,1.405019566,F
coef_high_income_group_and_discretionary_tour,2.326959744,F
coef_mediumlow_income_group_and_visiting_tour,0,T
coef_mediumhigh_income_group_and_visiting_tour,0.285806011,F
coef_high_income_group_and_visiting_tour,0.285806011,F
coef_female_and_tour_frequency_is_1,0,T
coef_female_and_tour_frequency_is_2,0,T
coef_female_and_tour_frequency_is_3,0,T
coef_female_and_tour_frequency_is_4,0,T
coef_female_and_tour_frequency_is_5,0,T
coef_female_and_escorting_tour,0,T
coef_female_and_shopping_tour,0,T
coef_female_and_maintenance_tour,0,T
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.63689407,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.63689407,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.63689407,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.63689407,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.63689407,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,-0.63689407,F
coef_car_shortage_vs_workers_and_tour_frequency_is_2,-0.63689407,F
coef_car_shortage_vs_workers_and_tour_frequency_is_3,-0.63689407,F
coef_car_shortage_vs_workers_and_tour_frequency_is_4,-0.63689407,F
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,-0.63689407,F
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.290178123,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,2.0351777,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,2.0351777,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,2.0351777,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,2.0351777,F
coef_presence_of_non_worker_and_tour_frequency_is_1,0,T
coef_presence_of_non_worker_and_tour_frequency_is_2,-0.657148945,F
coef_presence_of_non_worker_and_tour_frequency_is_3,-1.40436627,F
coef_presence_of_non_worker_and_tour_frequency_is_4,-1.40436627,F
coef_presence_of_non_worker_and_tour_frequency_is_5,-1.40436627,F
coef_presence_of_retiree_and_tour_frequency_is_1,0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,-0.321905493,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,-1.087445842,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,-1.087445842,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,-1.087445842,F
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,-1.087445842,F
coef_presence_of_full_time_worker_and_escorting_tour,0,T
coef_presence_of_part_time_worker_and_escorting_tour,0,T
coef_presence_of_non_worker_and_escorting_tour,0,T
coef_presence_of_retiree_and_escorting_tour,0,T
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_driving_school_kid_and_escorting_tour,0,T
coef_presence_of_pre_school_kid_and_escorting_tour,0,T
coef_at_home_pre_driving_school_kid_and_escorting_tour,0,T
coef_at_home_pre_school_kid_and_escorting_tour,0,T
coef_presence_of_full_time_worker_and_shopping_tour,0,T
coef_presence_of_part_time_worker_and_shopping_tour,0,T
coef_presence_of_non_worker_and_shopping_tour,0,T
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,0,T
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,0,T
coef_presence_of_part_time_worker_and_maintenance_tour,0,T
coef_presence_of_non_worker_and_maintenance_tour,0,T
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,0,T
coef_presence_of_part_time_worker_and_eating_out_tour,0,T
coef_presence_of_non_worker_and_eating_out_tour,0,T
coef_presence_of_retiree_and_eating_out_tour,0,T
coef_presence_of_university_student_and_eating_out_tour,0,T
coef_presence_of_driving_school_kid_and_eating_out_tour,-0.637685967,F
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,-1.569765907,F
coef_presence_of_pre_school_kid_and_eating_out_tour,-0.298715131,F
coef_at_home_pre_driving_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_school_kid_and_eating_out_tour,0,T
coef_presence_of_full_time_worker_and_discretionary_tour,0,T
coef_presence_of_part_time_worker_and_discretionary_tour,0,T
coef_presence_of_non_worker_and_discretionary_tour,0,T
coef_presence_of_retiree_and_discretionary_tour,0,T
coef_presence_of_university_student_and_discretionary_tour,-1.2834368,F
coef_presence_of_driving_school_kid_and_discretionary_tour,-0.920160817,F
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,0,T
coef_presence_of_pre_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_driving_school_kid_and_discretionary_tour,0,T
coef_at_home_pre_school_kid_and_discretionary_tour,0,T
coef_walk_access_to_retail_and_tour_frequency_is_1,0,T
coef_walk_access_to_retail_and_tour_frequency_is_2,0,T
coef_walk_access_to_retail_and_tour_frequency_is_3,0,T
coef_walk_access_to_retail_and_tour_frequency_is_4,0,T
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0,T
coef_transit_access_to_retail_and_tour_frequency_is_1,0,T
coef_transit_access_to_retail_and_tour_frequency_is_2,0,T
coef_transit_access_to_retail_and_tour_frequency_is_3,0,T
coef_transit_access_to_retail_and_tour_frequency_is_4,0,T
