coefficient_name,value,constrain
coef_escorting_tour,0,T
coef_discretionary_tour,0,T
coef_shopping_tour,0,T
coef_maintenance_tour,0,T
coef_visiting_or_social_tour,0,T
coef_eating_out_tour,0,T
coef_total_number_of_tours_is_0_no_prior_tours,-999,T
coef_total_number_of_tours_is_0_prior_tours,0,T
coef_total_number_of_tours_is_1,-7.35718217,F
coef_total_number_of_tours_is_2,-10.6469827,F
coef_total_number_of_tours_is_3,-13.50045813,F
coef_total_number_of_tours_is_4,-16.3964748,F
coef_total_number_of_tours_is_5,-19.68428506,F
coef_total_number_of_tours_is_6_plus,-999,T
coef_number_of_mandatory_tours_and_tour_frequency_is_0,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_1,0,T
coef_number_of_mandatory_tours_and_tour_frequency_is_2,-0.888713276,F
coef_number_of_mandatory_tours_and_tour_frequency_is_3,-2.334318417,F
coef_number_of_mandatory_tours_and_tour_frequency_is_4,-2.334318417,F
coef_number_of_mandatory_tours_and_tour_frequency_is_5_plus,-2.334318417,F
coef_number_of_joint_tours_and_tour_frequency_is_0,0,T
coef_number_of_joint_tours_and_tour_frequency_is_1,0,T
coef_number_of_joint_tours_and_tour_frequency_is_2,0,T
coef_number_of_joint_tours_and_tour_frequency_is_3,0,T
coef_number_of_joint_tours_and_tour_frequency_is_4,0,T
coef_number_of_joint_tours_and_tour_frequency_is_5_plus,0,T
coef_number_of_joint_shopping_tours,0,T
coef_number_of_joint_maintenance_tours,0,T
coef_number_of_joint_eating_out_tours,-0.586555592,F
coef_number_of_joint_visit_tours,0,T
coef_number_of_joint_discretionary_tours,0,T
coef_logged_maximum_residual_window_tour_frequency_is_0,0,T
coef_logged_maximum_residual_window_tour_frequency_is_1,1.256209414,F
coef_logged_maximum_residual_window_tour_frequency_is_2,1.286796405,F
coef_logged_maximum_residual_window_tour_frequency_is_3,1.399316992,F
coef_logged_maximum_residual_window_tour_frequency_is_4,1.399316992,F
coef_logged_maximum_residual_window_tour_frequency_is_5_plus,1.399316992,F
coef_mediumlow_income_group_and_tour_frequency_is_1,0.498149129,F
coef_mediumlow_income_group_and_tour_frequency_is_2,0.834502073,F
coef_mediumlow_income_group_and_tour_frequency_is_3,1.021340764,F
coef_mediumlow_income_group_and_tour_frequency_is_4,1.021340764,F
coef_mediumlow_income_group_and_tour_frequency_is_5_plus,1.021340764,F
coef_mediumhigh_income_group_and_tour_frequency_is_1,0.498149129,F
coef_mediumhigh_income_group_and_tour_frequency_is_2,0.834502073,F
coef_mediumhigh_income_group_and_tour_frequency_is_3,1.021340764,F
coef_mediumhigh_income_group_and_tour_frequency_is_4,1.021340764,F
coef_mediumhigh_income_group_and_tour_frequency_is_5_plus,1.021340764,F
coef_high_income_group_and_tour_frequency_is_1,0.518919407,F
coef_high_income_group_and_tour_frequency_is_2,1.133562335,F
coef_high_income_group_and_tour_frequency_is_3,1.38994202,F
coef_high_income_group_and_tour_frequency_is_4,1.38994202,F
coef_high_income_group_and_tour_frequency_is_5_plus,1.38994202,F
coef_mediumlow_income_group_and_shopping_tour,0,T
coef_mediumhigh_income_group_and_shopping_tour,0,T
coef_high_income_group_and_shopping_tour,0,T
coef_mediumlow_income_group_and_maintenance_tour,0,T
coef_mediumhigh_income_group_and_maintenance_tour,0,T
coef_high_income_group_and_maintenance_tour,0,T
coef_mediumlow_income_group_and_eating_out_tour,0,T
coef_mediumhigh_income_group_and_eating_out_tour,0.558053592,F
coef_high_income_group_and_eating_out_tour,0.558053592,F
coef_mediumlow_income_group_and_discretionary_tour,0,T
coef_mediumhigh_income_group_and_discretionary_tour,0.256510888,F
coef_high_income_group_and_discretionary_tour,0.256510888,F
coef_mediumlow_income_group_and_visiting_tour,0,T
coef_mediumhigh_income_group_and_visiting_tour,-0.242324771,F
coef_high_income_group_and_visiting_tour,-0.242324771,F
coef_female_and_tour_frequency_is_1,-0.07664646,F
coef_female_and_tour_frequency_is_2,-0.106173205,F
coef_female_and_tour_frequency_is_3,-0.327414649,F
coef_female_and_tour_frequency_is_4,-0.327414649,F
coef_female_and_tour_frequency_is_5,-0.327414649,F
coef_female_and_escorting_tour,0.182354611,F
coef_female_and_shopping_tour,0,T
coef_female_and_maintenance_tour,0,T
coef_female_and_eatingout_tour,0,T
coef_female_and_discretionary_tour,0,T
coef_zero_car_ownership_and_tour_frequency_is_1,-0.348591134,F
coef_zero_car_ownership_and_tour_frequency_is_2,-0.348591134,F
coef_zero_car_ownership_and_tour_frequency_is_3,-0.348591134,F
coef_zero_car_ownership_and_tour_frequency_is_4,-0.348591134,F
coef_zero_car_ownership_and_tour_frequency_is_5_plus,-0.348591134,F
coef_car_shortage_vs_workers_and_tour_frequency_is_1,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_2,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_3,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_4,0,T
coef_car_shortage_vs_workers_and_tour_frequency_is_5_plus,0,T
coef_car_surplus_vs_workers_and_tour_frequency_is_1,0.130417026,F
coef_car_surplus_vs_workers_and_tour_frequency_is_2,0.130417026,F
coef_car_surplus_vs_workers_and_tour_frequency_is_3,0.130417026,F
coef_car_surplus_vs_workers_and_tour_frequency_is_4,0.130417026,F
coef_car_surplus_vs_workers_and_tour_frequency_is_5_plus,0.130417026,F
coef_presence_of_non_worker_and_tour_frequency_is_1,0,T
coef_presence_of_non_worker_and_tour_frequency_is_2,0,T
coef_presence_of_non_worker_and_tour_frequency_is_3,0,T
coef_presence_of_non_worker_and_tour_frequency_is_4,0,T
coef_presence_of_non_worker_and_tour_frequency_is_5,0,T
coef_presence_of_retiree_and_tour_frequency_is_1,0,T
coef_presence_of_retiree_and_tour_frequency_is_2,0,T
coef_presence_of_retiree_and_tour_frequency_is_3,0,T
coef_presence_of_retiree_and_tour_frequency_is_4,0,T
coef_presence_of_retiree_and_tour_frequency_is_5,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_preschool_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_1,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_2,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_3,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_4,0,T
coef_presence_of_predriving_school_kid_in_household_and_tour_frequency_is_5,0,T
coef_presence_of_full_time_worker_and_escorting_tour,0,T
coef_presence_of_part_time_worker_and_escorting_tour,0,T
coef_presence_of_non_worker_and_escorting_tour,-0.481549134,F
coef_presence_of_retiree_and_escorting_tour,-0.807957481,F
coef_presence_of_university_student_and_escorting_tour,0,T
coef_presence_of_driving_school_kid_and_escorting_tour,0.360075784,F
coef_presence_of_pre_driving_school_kid_and_escorting_tour,1.39737659,F
coef_presence_of_pre_school_kid_and_escorting_tour,0.684206052,F
coef_at_home_pre_driving_school_kid_and_escorting_tour,-0.274619509,F
coef_at_home_pre_school_kid_and_escorting_tour,-1.567511866,F
coef_presence_of_full_time_worker_and_shopping_tour,-0.305912592,F
coef_presence_of_part_time_worker_and_shopping_tour,-0.154145245,F
coef_presence_of_non_worker_and_shopping_tour,-0.416021952,F
coef_presence_of_retiree_and_shopping_tour,0,T
coef_presence_of_university_student_and_shopping_tour,0,T
coef_presence_of_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_driving_school_kid_and_shopping_tour,0,T
coef_presence_of_pre_school_kid_and_shopping_tour,-0.207952327,F
coef_at_home_pre_driving_school_kid_and_shopping_tour,0,T
coef_at_home_pre_school_kid_and_shopping_tour,0,T
coef_presence_of_full_time_worker_and_maintenance_tour,-0.168482958,F
coef_presence_of_part_time_worker_and_maintenance_tour,-0.158391269,F
coef_presence_of_non_worker_and_maintenance_tour,-0.323715497,F
coef_presence_of_retiree_and_maintenance_tour,0,T
coef_presence_of_university_student_and_maintenance_tour,0,T
coef_presence_of_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_driving_school_kid_and_maintenance_tour,0,T
coef_presence_of_pre_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_driving_school_kid_and_maintenance_tour,0,T
coef_at_home_pre_school_kid_and_maintenance_tour,0,T
coef_presence_of_full_time_worker_and_eating_out_tour,-0.357141777,F
coef_presence_of_part_time_worker_and_eating_out_tour,0,T
coef_presence_of_non_worker_and_eating_out_tour,-0.201449552,F
coef_presence_of_retiree_and_eating_out_tour,-0.570757738,F
coef_presence_of_university_student_and_eating_out_tour,0,T
coef_presence_of_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_driving_school_kid_and_eating_out_tour,0,T
coef_presence_of_pre_school_kid_and_eating_out_tour,-0.422538566,F
coef_at_home_pre_driving_school_kid_and_eating_out_tour,0,T
coef_at_home_pre_school_kid_and_eating_out_tour,0,T
coef_presence_of_full_time_worker_and_discretionary_tour,-0.667006098,F
coef_presence_of_part_time_worker_and_discretionary_tour,-0.210247533,F
coef_presence_of_non_worker_and_discretionary_tour,-0.428120004,F
coef_presence_of_retiree_and_discretionary_tour,-0.910392178,F
coef_presence_of_university_student_and_discretionary_tour,-0.855105552,F
coef_presence_of_driving_school_kid_and_discretionary_tour,-0.396343021,F
coef_presence_of_pre_driving_school_kid_and_discretionary_tour,-0.39586237,F
coef_presence_of_pre_school_kid_and_discretionary_tour,-0.508069779,F
coef_at_home_pre_driving_school_kid_and_discretionary_tour,-0.47032086,F
coef_at_home_pre_school_kid_and_discretionary_tour,-0.47032086,F
coef_walk_access_to_retail_and_tour_frequency_is_1,0,T
coef_walk_access_to_retail_and_tour_frequency_is_2,0,T
coef_walk_access_to_retail_and_tour_frequency_is_3,0,T
coef_walk_access_to_retail_and_tour_frequency_is_4,0,T
coef_walk_access_to_retail_and_tour_frequency_is_5_plus,0,T
