proto_household_id,HHT,bldgsz,hinccat1,hworkers,persons,veh,income,num_workers,hhsize
1,1,2,1,1,1,0,15000,1,1
2,1,2,1,1,1,1,15000,1,1
3,1,2,1,1,1,2,15000,1,1
4,1,2,2,1,1,0,45000,1,1
5,1,2,2,1,1,1,45000,1,1
6,1,2,2,1,1,2,45000,1,1
7,1,2,3,1,1,0,80000,1,1
8,1,2,3,1,1,1,80000,1,1
9,1,2,3,1,1,2,80000,1,1
10,1,2,4,1,1,0,150000,1,1
11,1,2,4,1,1,1,150000,1,1
12,1,2,4,1,1,2,150000,1,1
13,1,2,1,1,2,0,15000,1,2
14,1,2,1,1,2,1,15000,1,2
15,1,2,1,1,2,2,15000,1,2
16,1,2,2,1,2,0,45000,1,2
17,1,2,2,1,2,1,45000,1,2
18,1,2,2,1,2,2,45000,1,2
19,1,2,3,1,2,0,80000,1,2
20,1,2,3,1,2,1,80000,1,2
21,1,2,3,1,2,2,80000,1,2
22,1,2,4,1,2,0,150000,1,2
23,1,2,4,1,2,1,150000,1,2
24,1,2,4,1,2,2,150000,1,2
