Alt,bundle1,bundle2,bundle3,chauf1,chauf2,chauf3,nbund1,nbund2,nbundles,nrs1,npe1,nrs2,npe2,Description
1,0,0,0,0,0,0,0,0,0,0,0,0,0,no one is escorted
2,1,0,0,1,0,0,1,0,1,1,0,0,0,child 1 is escorted in bundle 1 by chauffeur 1 as ride sharing
3,1,0,0,2,0,0,1,0,1,0,1,0,0,child 1 is escorted in bundle 1 by chauffeur 1 as pure escort
4,1,0,0,3,0,0,0,1,1,0,0,1,0,child 1 is escorted in bundle 1 by chauffeur 2 as ride sharing
5,1,0,0,4,0,0,0,1,1,0,0,0,1,child 1 is escorted in bundle 1 by chauffeur 2 as pure escort
6,0,1,0,0,1,0,1,0,1,1,0,0,0,child 2 is escorted in bundle 1 by chauffeur 1 as ride sharing
7,0,1,0,0,2,0,1,0,1,0,1,0,0,child 2 is escorted in bundle 1 by chauffeur 1 as pure escort
8,0,1,0,0,3,0,0,1,1,0,0,1,0,child 2 is escorted in bundle 1 by chauffeur 2 as ride sharing
9,0,1,0,0,4,0,0,1,1,0,0,0,1,child 2 is escorted in bundle 1 by chauffeur 2 as pure escort
10,0,0,1,0,0,1,1,0,1,1,0,0,0,child 3 is escorted in bundle 1 by chauffeur 1 as ride sharing
11,0,0,1,0,0,2,1,0,1,0,1,0,0,child 3 is escorted in bundle 1 by chauffeur 1 as pure escort
12,0,0,1,0,0,3,0,1,1,0,0,1,0,child 3 is escorted in bundle 1 by chauffeur 2 as ride sharing
13,0,0,1,0,0,4,0,1,1,0,0,0,1,child 3 is escorted in bundle 1 by chauffeur 2 as pure escort
14,1,1,0,1,1,0,1,0,1,1,0,0,0,child 1 and 2 are escorted in bundle 1 by chauffeur 1 as ride sharing
15,1,1,0,2,2,0,1,0,1,0,1,0,0,child 1 and 2 are escorted in bundle 1 by chauffeur 1 as pure escort
16,1,1,0,3,3,0,0,1,1,0,0,1,0,child 1 and 2 are escorted in bundle 1 by chauffeur 2 as ride sharing
17,1,1,0,4,4,0,0,1,1,0,0,0,1,child 1 and 2 are escorted in bundle 1 by chauffeur 2 as pure escort
18,1,0,1,1,0,1,1,0,1,1,0,0,0,child 1 and 3 are escorted in bundle 1 by chauffeur 1 as ride sharing
