coefficient_name,value,constrain
coef_unavail,-999,T
coef_child_age_16p_noes,1.07391,F
coef_child_age_10_to_15_noes,0.46127,F
coef_child_age_u9_noes,0.13590,F
coef_ln_dist_to_school_noes,-0.33583,F
coef_ln_dist_to_school_u6_noes,-1.00920,F
coef_ln_dist_to_school_6to9_noes,-0.11156,F
coef_child_age_16p_rs,0.34244,F
coef_child_age_10to15_rs,.27494,F
coef_child_age_6to9_rs,0.20757,F
coef_child_age_u6_rs,0.33051,F
coef_child_dist_pe,-0.04593,F
coef_hh_inc_u25k_noes,0.18901,F
coef_hh_inc_25to50k_noes,0.12172,F
coef_zero_auto_hh_noes,9.0,F
coef_cars_lt_workers_rs,-0.88274,F
coef_cars_lt_workers_pe,-0.55291,F
coef_chauf_female_rs,-0.27828,F
coef_chauf_male_rs,-0.67320,F
coef_chauf_female_pe,-0.84859,F
coef_chauf_male_pe,-0.80965,F
coef_chauf_pt_worker_rs,-0.11422,F
coef_chauf_pt_worker_pe,0.51792,F
coef_chauf_non_worker_pe,0.51577,F
coef_chauf_univ_stud_re,0.0,F
coef_chauf_age_u35_pe,-0.33715,F
coef_chauf_time_to_work_or_univ_rs,0.0,F
coef_chauf_walk_dist_to_work_or_univ_rs,0.77326,F
coef_chauf_walk_dist_to_work_or_univ_pe,0.0,F
coef_abs_dev_distance,-0.07136,F
coef_rel_dev_distance,-0.09951,F
coef_same_taz_escort,2.77591,F
coef_same_taz_no_escort,2.62969,F
coef_same_taz_no_escort_23,2.21201,F
coef_calib_child_age_u6_rs,8.55400,F
coef_calib_child_age_16p_rs,-0.2000,F
coef_calib_child_age_6to15_noes,-4.53067,F
coef_calib_child_age_6to15_rs,-2.41923,F
coef_calib_child_age_u6_noes,-0.67902,F
