coefficient_name,value,constrain
coef_cars1_drivers_2,0,T
coef_cars1_drivers_3,0,T
coef_cars1_persons_16_17,0,T
coef_cars234_asc_marin,0,T
coef_cars1_persons_25_34,0,T
coef_cars1_num_workers_clip_3,0,T
coef_cars1_hh_income_30_up,0,T
coef_cars1_density_0_10_no_workers,0,T
coef_cars1_density_10_up_workers,-0.000691606,F
coef_retail_non_motor,-0.03,T
coef_cars4_asc,-2.261638434,F
coef_cars3_asc,-0.673762698,F
coef_cars34_persons_16_17,-1.013171309,F
coef_cars2_asc,0.565146715,F
coef_cars34_persons_18_24,-0.226330826,F
coef_cars2_persons_18_24,-0.277986366,F
coef_cars2_persons_16_17,-0.849990546,F
coef_cars34_persons_25_34,-0.507269783,F
coef_cars1_asc_county,-0.566,F
coef_retail_transit_workers,-0.265994069,F
coef_cars2_persons_25_34,-0.284585751,F
coef_cars2_asc_county,-0.4429,F
coef_cars1_persons_18_24,0.312283469,F
coef_cars34_density_0_10_no_workers,-1.061191084,F
coef_retail_transit_no_workers,-0.461089186,F
coef_cars1_asc_marin,-0.2434,F
coef_cars34_asc_county,-0.2372,F
coef_cars2_density_0_10_no_workers,-0.433456601,F
coef_cars34_density_10_up_no_workers,-0.1766,T
coef_cars2_density_10_up_no_workers,0.223494727,F
coef_cars2_density_10_up_workers,-0.1106,F
coef_cars1_density_10_up_no_workers,-0.627879618,F
coef_cars2_hh_income_30_up,0.013802348,F
coef_cars3_hh_income_30_up,0.017568266,F
coef_cars4_hh_income_30_up,0.020241067,F
coef_cars1_presence_children_5_17,0.220192925,F
coef_cars1_hh_income_0_30k,0.087548177,F
coef_cars2_hh_income_0_30k,0.113631992,F
coef_cars3_hh_income_0_30k,0.109196449,F
coef_cars4_hh_income_0_30k,0.123715611,F
coef_retail_auto_no_workers,-0.27201648,F
coef_cars34_asc_san_francisco,0.1458,F
coef_retail_auto_workers,-0.344050452,F
coef_cars2_presence_children_5_17,0.326754993,F
coef_cars2_num_workers_clip_3,0.713126665,F
coef_cars1_presence_children_0_4,-0.134103303,F
coef_cars1_asc_san_francisco,0.4259,F
coef_cars2_asc_san_francisco,0.4683,F
coef_cars1_auto_time_saving_per_worker,1.313894714,F
coef_cars34_presence_children_5_17,0.092889725,F
coef_cars3_auto_time_saving_per_worker,0.983048236,F
coef_cars2_auto_time_saving_per_worker,1.090225147,F
coef_cars3_num_workers_clip_3,1.000861535,F
coef_cars234_presence_children_0_4,0.049938988,F
coef_cars4_auto_time_saving_per_worker,0.899014851,F
coef_cars4_num_workers_clip_3,1.079450658,F
coef_cars1_asc,3.525287666,F
coef_cars1_drivers_4_up,-1.451519292,F
coef_cars4_drivers_2,2.405668371,F
coef_cars2_drivers_2,2.817372734,F
coef_cars3_drivers_2,2.680131012,F
coef_cars2_drivers_3,2.581972363,F
coef_cars4_drivers_3,3.964857311,F
coef_cars3_drivers_3,4.277120564,F
coef_cars2_drivers_4_up,1.518205653,F
coef_cars3_drivers_4_up,3.49162912,F
coef_cars4_drivers_4_up,4.509213244,F
