coefficient_name,value,constrain
coef_univ_dist_0_1,-3.2451,F
coef_univ_dist_1_2,-2.7011,F
coef_univ_dist_2_5,-0.5707,F
coef_univ_dist_5_15,-0.5002,F
coef_univ_dist_15_up,-0.073,F
coef_mode_logsum_uni,0.5358,F
coef_dist,-0.075971485,F
coef_dist_squared,0,F
coef_dist_cubed,0,F
coef_dist_logged,-2.073546963,F
coef_dist_part_time,-0.049133509,F
coef_dist_child_0_5,0,F
coef_dist_child_6_12,-0.051582555,F
coef_dist_low_inc,-0.028471563,F
coef_dist_very_high_inc,-0.018662186,F
coef_mode_logsum,0.3,F
coef_dist_calib,-0.035,F
