coefficient_name,value,constrain
coef_ivt_work,-0.025,F
coef_cost_work,-0.000659341,F
coef_walk_work,-0.0344,F
coef_bike_work,-0.0367,F
coef_wlk_acc_work,-0.0457,F
coef_wlk_aux_work,-0.05,F
coef_drvacc_pnr_work,-0.05,F
coef_drvacc_knr_work,-0.05,F
coef_iwait_work,-0.0372,F
coef_xwait_work,-0.0382,F
coef_xfers_wlktrn_work,0.0,T
coef_xfers_pnr_work,0.0,T
coef_xfers_knr_work,0.0,T
walk_transit_CBD_ASC_work,0.479,F
drive_transit_CBD_ASC_work,1.17,F
coef_density_walk_work,0.058,F
coef_density_bike_work,0.0145,F
coef_density_wlktrn_work,0.0,T
coef_distpen_drvtrn_work,0.0,T
coef_drvratio_knr_work,0.0,T
coef_drvratio_pnr_work,0.0,T
coef_age010_wlktrn_work,0.0,T
coef_age1619_da_work,-0.205,F
coef_age16p_sr_work,-0.454,F
coef_hhsize1_sr_work,-1.5,F
coef_hhsize2_sr_work,-0.895,F
coef_topology_bike_work,0.0,T
coef_topology_knr_work,0.0,T
coef_topology_pnr_work,0.0,T
coef_topology_walk_work,0.0,T
coef_topology_wlktrn_work,0.0,T
walk_MR_ASC_work,1.01,F
walk_BM_ASC_work,0.149,F
walk_CR_ASC_work,1.2,F
PNR_MR_ASC_work,-0.8759999999999999,F
PNR_BM_ASC_work,-1.89,F
PNR_CR_ASC_work,2.08,F
KNR_MR_ASC_work,0.43,F
KNR_BM_ASC_work,0.5579999999999999,F
KNR_CR_ASC_work,-8.88,F
coef_ivt_school_univ,-0.01,T
coef_cost_school_univ,-0.001,F
coef_walk_school_univ,-0.0138,F
coef_bike_school_univ,-0.0147,F
coef_wlk_acc_school_univ,-0.0183,F
coef_wlk_aux_school_univ,-0.0183,F
coef_drvacc_pnr_school_univ,-0.0182,F
coef_drvacc_knr_school_univ,-0.0182,F
coef_iwait_school_univ,-0.0149,F
coef_xwait_school_univ,-0.0153,F
coef_xfers_wlktrn_school_univ,0.0,T
coef_xfers_pnr_school_univ,0.0,T
coef_xfers_knr_school_univ,0.0,T
walk_transit_CBD_ASC_school_univ,0.1916,F
drive_transit_CBD_ASC_school_univ,0.468,F
coef_density_walk_school_univ,0.0232,F
coef_density_bike_school_univ,0.0058,F
coef_density_wlktrn_school_univ,0.0,T
coef_distpen_drvtrn_school_univ,0.0,T
coef_drvratio_knr_school_univ,0.0,T
coef_drvratio_pnr_school_univ,0.0,T
coef_age010_wlktrn_school_univ,-0.7140000000000001,F
