coefficient_name,value,constrain
coef_eatout_distance_to_destination_duration_less_than_1_hr,-0.134981987,F
coef_eatout_distance_to_destination_duration_greater_than_1_hr,0.017860742,F
coef_eatout_low_income_duration_less_than_1_hr,1.002485807,F
coef_eatout_medium_income_duration_less_than_1_hr,0.499822018,F
coef_eatout_zeroauto_HH_duration_greater_than_1_hr,0.259409942,F
coef_eatout_university_student_departure_after_7_pm_linear,0.293827759,F
coef_eatout_female_duration_less_than_1_hr,-0.399414247,F
coef_eatout_female_duration_greater_than_1_hr,0.064593482,F
coef_eatout_time_pressure_departure_before_6_30_pm,0.083673557,F
coef_eatout_time_pressure_duration_less_than_1_hr,1.69632588,F
coef_eatout_departure_constant_7_30_am_to_9_am,1.222417262,F
coef_eatout_departure_constant_10_30_am_to_11_am,0.519559134,F
coef_eatout_departure_constant_11_am_to_11_30_am,1.191543552,F
coef_eatout_departure_constant_11_30_am_to_12_pm,1.66870995,F
coef_eatout_departure_constant_12_pm_to_12_30_pm,1.164106986,F
coef_eatout_departure_constant_12_30_pm_to_1_pm,1.057346496,F
coef_eatout_departure_constant_1_pm_to_1_30_pm,0.728959087,F
coef_eatout_departure_constant_shift_for_every_30_minutes_before_5_30_pm_linear,-0.477439748,F
coef_eatout_departure_constant_before_6_pm,-1.21554671,F
coef_eatout_departure_constant_6_pm_to_6_30_pm,-0.425984037,F
coef_eatout_departure_constant_6_30_pm_to_7_pm,0,T
coef_eatout_departure_constant_7_pm_to_7_30_pm,-0.227800647,F
coef_eatout_departure_constant_after_7_30_pm,-0.293904097,F
coef_eatout_departure_constant_shift_for_every_30_minutes_after_8_pm_linear,-0.55440861,F
coef_eatout_arrival_constant_9_30_am_to_11_am,0.486337344,F
coef_eatout_arrival_constant_12_30_pm_to_1_pm,0.629299404,F
coef_eatout_arrival_constant_1_pm_to_1_30_pm,0.938528731,F
coef_eatout_arrival_constant_1_30_pm_to_2_pm,0.584420106,F
coef_eatout_arrival_constant_2_pm_to_2_30_pm,0.842550215,F
coef_eatout_arrival_constant_2_30_pm_to_3_pm,0.298486505,F
coef_eatout_arrival_constant_shift_for_every_30_minutes_before_6_pm_linear,0.125034982,F
coef_eatout_arrival_constant_before_6_30_pm,-0.029062996,F
coef_eatout_arrival_constant_6_30_pm_to_7_pm,-0.509075598,F
coef_eatout_arrival_constant_7_pm_to_7_30_pm,-0.124885931,F
coef_eatout_arrival_constant_7_30_pm_to_8_pm,-0.605455664,F
coef_eatout_arrival_constant_8_pm_to_8_30_pm,0,T
coef_eatout_arrival_constant_8_30_pm_to_9_pm,-0.657382835,F
coef_eatout_arrival_constant_after_9_pm,-0.813629712,F
coef_eatout_arrival_constant_shift_for_every_30_minutes_after_9_30_pm_linear,-0.204722406,F
coef_eatout_duration_constant_0_hour,-11.72660422,F
coef_eatout_duration_constant_30_minutes,-5.08873115,F
coef_eatout_duration_constant_1_hour,-0.125521065,F
coef_eatout_duration_constant_1_hour_30_minutes,0,T
coef_eatout_duration_constant_2_hours,-0.124807752,F
coef_eatout_duration_constant_2_hour_30_minutes_or_more,-0.156019835,F
coef_eatout_duration_constant_shift_for_every_30_minutes_more_than_3_hrs_linear,-0.3357414,F
coef_eatout_calibration_constant_duration_1,-0.333697861,F
coef_eatout_calibration_constant_duration_2,-0.245716,F
coef_eatout_calibration_constant_duration_3,0.052708833,F
coef_eatout_calibration_constant_duration_4,0.041571499,F
coef_eatout_calibration_constant_departure_1,-10,F
coef_eatout_calibration_constant_departure_2,-10,F
coef_eatout_calibration_constant_departure_3,-10,F
coef_eatout_calibration_constant_departure_17,0.706568704,F
coef_eatout_calibration_constant_departure_18,0.634353544,F
coef_eatout_calibration_constant_departure_19,0.584387268,F
coef_eatout_calibration_constant_departure_20,0.469777884,F
coef_eatout_calibration_constant_departure_21,0.39548931,F
