puma_geoid,TAZ,household_id,per_num,AGEP,SEX,WKHP,WKW,ESR,RAC1P,HISP,SCHG,MIL,NAICSP,INDP,person_id
1100105,11,1,1,37,1,45,1,1,9,1,-9,4,92MP,9470.0,101
1100105,11,1,2,37,2,50,1,1,6,1,-9,4,5416,7390.0,102
1100105,11,1,3,5,2,-9,-9,-9,9,1,1,-9,0,0.0,103
1100105,11,1,4,1,2,-9,-9,-9,9,1,-9,-9,0,0.0,104
1100105,11,2,1,52,2,-9,-9,6,9,1,-9,4,6214,8090.0,201
1100105,11,2,2,26,2,37,1,1,9,1,-9,4,6111,7860.0,202
1100105,11,2,3,4,2,-9,-9,-9,2,3,1,-9,0,0.0,203
1100105,11,2,4,4,2,-9,-9,-9,9,1,1,-9,0,0.0,204
1100105,11,3,1,37,2,-9,-9,6,2,1,-9,4,0,0.0,301
1100105,11,3,2,14,1,-9,-9,-9,2,1,10,-9,0,0.0,302
1100105,11,3,3,2,2,-9,-9,-9,2,1,-9,-9,0,0.0,303
1100105,11,3,4,2,1,-9,-9,-9,2,1,-9,-9,0,0.0,304
1100105,11,4,1,23,2,40,3,1,1,1,-9,4,5411,7270.0,401
1100105,11,4,2,29,1,50,1,1,1,1,16,4,928P,9590.0,402
1100105,11,4,3,25,2,50,1,1,1,1,-9,4,813M,9170.0,403
1100105,11,5,1,27,1,60,1,1,1,1,-9,4,5415,7380.0,501
1100105,11,5,2,28,1,60,1,1,1,1,-9,4,5415,7380.0,502
1100105,11,5,3,23,1,60,1,1,1,1,-9,4,923,9480.0,503
1100105,11,6,1,31,2,40,3,1,2,1,-9,4,6111,7860.0,601
1100105,11,6,2,12,1,-9,-9,-9,2,1,8,-9,0,0.0,602
1100105,11,6,3,9,2,-9,-9,-9,2,1,6,-9,0,0.0,603
1100105,11,7,1,53,2,-9,-9,6,2,1,-9,4,0,0.0,701
1100105,11,7,2,19,1,-9,-9,6,2,1,14,4,6244,8470.0,702
1100105,11,7,3,14,2,-9,-9,-9,2,1,11,-9,0,0.0,703
1100105,11,8,1,34,2,-9,-9,6,2,1,-9,4,6216,8170.0,801
1100105,11,8,2,12,2,-9,-9,-9,2,1,8,-9,0,0.0,802
1100105,11,8,3,0,2,-9,-9,-9,2,1,-9,-9,0,0.0,803
1100105,11,9,1,81,2,25,1,1,1,1,-9,4,51111,6470.0,901
1100105,11,9,2,48,2,40,1,1,1,1,-9,4,622M,8191.0,902
1100105,11,10,1,37,1,40,1,1,1,1,-9,4,23,770.0,1001
1100105,11,10,2,49,1,40,1,1,1,1,-9,2,23,770.0,1002
1100105,11,11,1,49,1,50,1,1,1,1,-9,4,5411,7270.0,1101
1100105,11,11,2,46,2,40,1,1,8,2,-9,4,5417,7460.0,1102
1100105,11,12,1,34,2,50,1,1,1,1,-9,4,52M2,6970.0,1201
1100105,11,12,2,49,1,40,1,1,1,1,-9,4,92M2,9570.0,1202
1100105,11,13,1,32,1,50,1,1,1,1,-9,4,5411,7270.0,1301
1100105,11,13,2,32,2,24,1,1,1,1,-9,4,6213ZM,8080.0,1302
1100105,11,14,1,31,1,50,3,1,1,1,-9,4,5411,7270.0,1401
1100105,11,14,2,31,2,40,1,1,1,1,-9,4,5416,7390.0,1402
1100105,11,15,1,79,1,50,1,1,1,1,-9,2,5241,6991.0,1501
1100105,11,15,2,79,2,-9,-9,6,1,1,-9,4,611M3,7890.0,1502
1100105,11,16,1,73,1,40,1,1,1,1,-9,2,92M2,9570.0,1601
1100105,11,16,2,61,2,40,6,6,1,1,-9,3,813M,9170.0,1602
1100105,11,17,1,67,1,5,5,1,2,1,-9,4,5411,7270.0,1701
1100105,11,17,2,66,2,60,1,1,2,1,-9,4,712,8570.0,1702
1100105,11,18,1,39,2,40,1,1,1,1,-9,4,5413,7290.0,1801
1100105,11,18,2,46,1,40,1,1,1,1,-9,4,5416,7390.0,1802
1100105,11,19,1,32,1,40,1,1,1,1,15,4,5415,7380.0,1901
1100105,11,19,2,24,2,40,1,1,1,1,-9,4,5418,7470.0,1902
1100105,11,20,1,30,1,40,1,1,1,1,-9,4,4234,4170.0,2001
1100105,11,20,2,29,2,40,1,1,1,1,-9,4,6111,7860.0,2002
1100105,11,21,1,74,1,16,3,6,1,1,-9,4,5417,7460.0,2101
1100105,11,21,2,72,2,18,1,1,1,1,-9,4,5112,6490.0,2102
1100105,11,22,1,70,2,40,1,1,2,1,-9,4,51912,6770.0,2201
1100105,11,22,2,36,1,40,1,1,2,1,-9,4,23,770.0,2202
1100105,11,23,1,43,1,40,1,1,1,1,-9,4,5415,7380.0,2301
1100105,11,23,2,36,2,50,1,1,1,1,-9,4,5413,7290.0,2302
1100105,11,24,1,31,1,50,1,1,8,2,-9,4,928P,9590.0,2401
