Description,value,coefficient_name
,-1.820052295115933,coef_asc_dur_0_4_stops_0out_0in
,-1.9858859256772827,coef_asc_dur_0_4_stops_0out_1in
,-2.104110247555975,coef_asc_dur_0_4_stops_0out_2in
,-2.5930596608342786,coef_asc_dur_0_4_stops_0out_3in
,-2.1670064973204024,coef_asc_dur_0_4_stops_1out_0in
,-1.714070332107039,coef_asc_dur_0_4_stops_1out_1in
,-3.5664375987418535,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-2.2325829030403908,coef_asc_dur_0_4_stops_2out_0in
,-3.6704101859343057,coef_asc_dur_0_4_stops_2out_1in
,-999.0,coef_asc_dur_0_4_stops_2out_2in
,-999.0,coef_asc_dur_0_4_stops_2out_3in
,-3.880980013878519,coef_asc_dur_0_4_stops_3out_0in
,-3.5854661570563153,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-3.8670857303028265,coef_asc_dur_4_8_stops_0out_0in
,-3.182654846809417,coef_asc_dur_4_8_stops_0out_1in
,-1.4371319740828354,coef_asc_dur_4_8_stops_0out_2in
,-1.4185096828668984,coef_asc_dur_4_8_stops_0out_3in
,-2.7325821487248887,coef_asc_dur_4_8_stops_1out_0in
,-2.6422298206474566,coef_asc_dur_4_8_stops_1out_1in
,-2.7151260862356437,coef_asc_dur_4_8_stops_1out_2in
,-3.032964178498046,coef_asc_dur_4_8_stops_1out_3in
,-2.620650966838938,coef_asc_dur_4_8_stops_2out_0in
,-3.0003262899062135,coef_asc_dur_4_8_stops_2out_1in
,-999.0,coef_asc_dur_4_8_stops_2out_2in
,-4.054783829958792,coef_asc_dur_4_8_stops_2out_3in
,-3.418671234060722,coef_asc_dur_4_8_stops_3out_0in
,-4.054783829958792,coef_asc_dur_4_8_stops_3out_1in
,-999.0,coef_asc_dur_4_8_stops_3out_2in
,-4.054783829958792,coef_asc_dur_4_8_stops_3out_3in
,-2.0342894004314176,coef_asc_dur_8_24_stops_0out_0in
,-2.5338161476774177,coef_asc_dur_8_24_stops_0out_1in
,-2.5609136140402566,coef_asc_dur_8_24_stops_0out_2in
,-2.1801021591820566,coef_asc_dur_8_24_stops_0out_3in
,-1.8738489871893373,coef_asc_dur_8_24_stops_1out_0in
,-999.0,coef_asc_dur_8_24_stops_1out_1in
,-3.8761669849715092,coef_asc_dur_8_24_stops_1out_2in
,-4.036810848815845,coef_asc_dur_8_24_stops_1out_3in
,-3.027330996018737,coef_asc_dur_8_24_stops_2out_0in
,-1.9899429876143384,coef_asc_dur_8_24_stops_2out_1in
,-999.0,coef_asc_dur_8_24_stops_2out_2in
,-999.0,coef_asc_dur_8_24_stops_2out_3in
,-2.266729053241825,coef_asc_dur_8_24_stops_3out_0in
,-2.1295326705369644,coef_asc_dur_8_24_stops_3out_1in
,-999.0,coef_asc_dur_8_24_stops_3out_2in
,-999.0,coef_asc_dur_8_24_stops_3out_3in
