Description,value,coefficient_name
,-0.4473344277300039,coef_asc_dur_0_4_stops_0out_0in
,-1.3133017590603668,coef_asc_dur_0_4_stops_0out_1in
,-999.0,coef_asc_dur_0_4_stops_0out_2in
,-999.0,coef_asc_dur_0_4_stops_0out_3in
,-999.0,coef_asc_dur_0_4_stops_1out_0in
,-999.0,coef_asc_dur_0_4_stops_1out_1in
,-999.0,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-2.388804501916671,coef_asc_dur_0_4_stops_2out_0in
,-999.0,coef_asc_dur_0_4_stops_2out_1in
,-999.0,coef_asc_dur_0_4_stops_2out_2in
,-999.0,coef_asc_dur_0_4_stops_2out_3in
,-999.0,coef_asc_dur_0_4_stops_3out_0in
,-999.0,coef_asc_dur_0_4_stops_3out_1in
,-999.0,coef_asc_dur_0_4_stops_3out_2in
,-999.0,coef_asc_dur_0_4_stops_3out_3in
,-1.7175556605822224,coef_asc_dur_4_8_stops_0out_0in
,-2.3743178401632257,coef_asc_dur_4_8_stops_0out_1in
,-3.5736572680018264,coef_asc_dur_4_8_stops_0out_2in
,-1.9224583877291361,coef_asc_dur_4_8_stops_0out_3in
,-1.9796325817024178,coef_asc_dur_4_8_stops_1out_0in
,-2.3472512114567037,coef_asc_dur_4_8_stops_1out_1in
,-4.469461589434796,coef_asc_dur_4_8_stops_1out_2in
,-999.0,coef_asc_dur_4_8_stops_1out_3in
,-999.0,coef_asc_dur_4_8_stops_2out_0in
,-2.0469075311238556,coef_asc_dur_4_8_stops_2out_1in
,-999.0,coef_asc_dur_4_8_stops_2out_2in
,-999.0,coef_asc_dur_4_8_stops_2out_3in
,-2.269389808358896,coef_asc_dur_4_8_stops_3out_0in
,-999.0,coef_asc_dur_4_8_stops_3out_1in
,-999.0,coef_asc_dur_4_8_stops_3out_2in
,-999.0,coef_asc_dur_4_8_stops_3out_3in
,-0.5339887248949106,coef_asc_dur_8_24_stops_0out_0in
,-3.04226581690923,coef_asc_dur_8_24_stops_0out_1in
,-2.3166478447860275,coef_asc_dur_8_24_stops_0out_2in
,-4.301681135859724,coef_asc_dur_8_24_stops_0out_3in
,-2.7020919194305937,coef_asc_dur_8_24_stops_1out_0in
,-2.502520192741234,coef_asc_dur_8_24_stops_1out_1in
,-999.0,coef_asc_dur_8_24_stops_1out_2in
,-999.0,coef_asc_dur_8_24_stops_1out_3in
,-999.0,coef_asc_dur_8_24_stops_2out_0in
,-3.877665989417515,coef_asc_dur_8_24_stops_2out_1in
,-999.0,coef_asc_dur_8_24_stops_2out_2in
,-999.0,coef_asc_dur_8_24_stops_2out_3in
,-4.33315400984293,coef_asc_dur_8_24_stops_3out_0in
,-999.0,coef_asc_dur_8_24_stops_3out_1in
,-999.0,coef_asc_dur_8_24_stops_3out_2in
,-999.0,coef_asc_dur_8_24_stops_3out_3in
