coefficient_name,value,constrain
coef_shoppping_driving_age_student_duration_greater_than_1_hour_30_minutes,0.122149101,F
coef_shoppping_full_time_worker_duration_greater_than_1_hour_30_minutes,-0.037886459,F
coef_shoppping_non_driving_student_duration_greater_than_1_hour_30_minutes,0.10247157,F
coef_shoppping_pre_school_child_duration_less_than_1_hour_30_minutes,-1.882944033,F
coef_shoppping_part_time_worker_duration_less_than_1_hour_30_minutes,-0.197455071,F
coef_shopping_part_time_worker_duration_greater_than_1_hour_30_minutes,-0.045152663,F
coef_shopping_retired_duration_less_than_1_hour_30_minutes,-0.264728908,F
coef_shopping_retired_duration_greater_than_1_hour_30_minutes,-0.042981757,F
coef_shopping_university_student_duration_greater_than_1_hour_30_minutes,0.045926523,F
coef_shopping_female_duration_less_than_1_hour_30_minutes,-0.417208254,F
coef_shopping_female_duration_greater_than_1_hour_30_minutes,0.045801918,F
coef_shopping_low_income_duration_greater_than_1_hour_30_minutes,0.040776383,F
coef_shopping_medium_income_duration_less_than_1_hour_30_minutes,0.108462927,F
coef_shopping_medium_high_income_duration_greater_than_1_hour_30_minutes,-0.037893416,F
coef_shopping_distance_duration_less_than_1_hour_30_minutes,-0.214802537,F
coef_shopping_distance_duration_greater_than_1_hour_30_minutes,0.007991656,F
coef_shopping_time_pressure_duration_greater_than_1_hour_30_minutes,0.013503327,F
coef_shopping_number_of_additional_individual_shop_and_maint_tours_duration_less_than_1_hour_30_minutes,0.078844289,F
coef_shopping_number_of_additional_individual_shop_and_maint_tours_duration_greater_than_1_hour_30_minutes,-0.115431492,F
coef_shopping_departure_constant_shift_for_every_30_minutes_before_8_30_am_linear,-0.959875456,F
coef_shopping_departure_constant_shift_for_every_30_minutes_before_8_30_am_square_root,1.112594898,F
coef_shopping_departure_constant_before_9_am,-0.446394064,F
coef_shopping_departure_constant_9_am_to_9_30_am,-0.021669265,F
coef_shopping_departure_constant_9_30_am_to_10_am,-0.282978638,F
coef_shopping_departure_constant_10_am_to_10_30_am,0,T
coef_shopping_departure_constant_10_30_am_to_11_00_am,-0.309421311,F
coef_shopping_departure_constant_after_11_am,-0.541073357,F
coef_shopping_departure_constant_shift_for_every_30_minutes_after_11_30_am_linear,-0.072013428,F
coef_shopping_departure_constant_shift_for_every_30_minutes_after_11_30_am_squared,-0.000653398,F
coef_shopping_arrival_constant_shift_for_every_30_minutes_before_12_pm_linear,-0.18376635,F
coef_shopping_arrival_constant_before_12_30_pm,-0.716195343,F
coef_shopping_arrival_constant_12_30_pm_to_3_pm,-0.502714001,F
coef_shopping_arrival_constant_3_pm_to_3_30_pm,-0.167868872,F
coef_shopping_arrival_constant_3_30_pm_to_4_pm,-0.156786941,F
coef_shopping_arrival_constant_4_pm_to_4_30_pm,0,T
coef_shopping_arrival_constant_4_30_pm_to_5_pm,-0.057314044,F
coef_shopping_arrival_constant_5_pm_to_5_30_pm,-0.580040851,F
coef_shopping_arrival_constant_5_30_pm_to_7_pm,-0.32239566,F
coef_shopping_arrival_constant_7_pm_to_9_30_pm,-0.347828147,F
coef_shopping_arrival_constant_after_9_30_pm,-1.123574723,F
coef_shopping_arrival_constant_shift_for_every_30_minutes_after_10_pm_linear,-0.499770654,F
coef_shopping_duration_constant_0_hr,-0.131743185,F
coef_shopping_duration_constant_30_minutes,0.888857137,F
coef_shopping_duration_constant_1_hr,0,T
coef_shopping_duration_constant_1_hour_30_minutes,-0.333413031,F
coef_shopping_duration_constant_2_hrs,-0.850897912,F
coef_shopping_duration_constant_longer_than_2_hrs,-1.203783479,F
coef_shopping_duration_constant_duration_greater_than_2_hr_30_minutes_linear,-0.293581223,F
coef_shopping_duration_constant_duration_greater_than_2_hr_30_minutes_square_root,-0.215759138,F
coef_shopping_calibration_constant_duration_1,-0.138450424,F
coef_shopping_calibration_constant_duration_2,-0.092704403,F
coef_shopping_calibration_constant_duration_3,-0.087738073,F
