Description,Expression,work1,work2,school1,school2,work_and_school
Full-time worker alternative-specific constants,ptype == 1,0,-3.3781,,,
Part-time worker alternative-specific constants,ptype == 2,0,-3.0476,,,
University student alternative-specific constants,ptype == 3,2.166,-1.3965,0,-3.7429,0.1073
Non-working adult alternative-specific constants,ptype == 4,,,,,
Retired alternative-specific constants,ptype == 5,,,,,
Driving-age child alternative-specific constants,ptype == 6,,,0,-3.136,-4.4362
Pre-driving age child who is in school alternative-specific constants,ptype == 7,,,0,-3.9703,
Female - Full-time worker interaction,(ptype == 1) & female,0,-0.2255,0.1592,,-0.3442
Female - Part-time worker interaction,(ptype == 2) & female,0,-0.2255,0.1592,,-0.3442
Female - University student interaction,(ptype == 3) & female,0.1737,-0.2255,0.1592,0.114,-0.3442
Female - Non-working adult interaction,(ptype == 4) & female,0,-0.2255,0.1592,,
Female - Retired interaction,(ptype == 5) & female,0,-0.2255,0.1592,,
Female - Driving-age child interaction,(ptype == 6) & female,0.1737,,0,0.114,-0.3442
Female - Pre-driving age child who is in school interaction,(ptype == 7) & female,0.1737,,0,0.114,
Under 35 - Full-time worker interaction,(ptype == 1) & (age <= 35),0,-0.1375,0.7218,,0.9761
Under 35 - Part-time worker interaction,(ptype == 2) & (age <= 35),0,-0.1375,0.7218,,0.9761
Under 35 - University student interaction,(ptype == 3) & (age <= 35),-0.4629,-0.1375,0,1.275,0.9761
Under 35 - Non-working adult interaction,(ptype == 4) & (age <= 35),0,-0.1375,0.7218,,
Can walk to work - Full-time worker interaction,(ptype == 1) & (distance_to_work < 3),,0.5268,,,
Can walk to work - Part-time worker interaction,(ptype == 2) & (distance_to_work < 3),,0.5268,,,
Can walk to work - University student interaction,(ptype == 3) & (distance_to_work < 3),,0.5268,,,
Can walk to work - Non-working adult interaction,(ptype == 4) & (distance_to_work < 3),,0.5268,,,
Can walk to work - Retired interaction,(ptype == 5) & (distance_to_work < 3),,0.5268,,,
Can walk to school - University student interaction,(ptype == 3) & (distance_to_school < 3),,,,0.7114,
Can walk to school - Driving-age child interaction,(ptype == 6) & (distance_to_school < 3),,,,0.7114,
Can walk to school - Pre-driving age child who is in school interaction,(ptype == 7) & (distance_to_school < 3),,,,0.7114,
Can walk to work or school - Full-time worker interaction,(ptype == 1) & (distance_to_work < 3 | distance_to_school < 3),,,,,0.1391
Can walk to work or school - Part-time worker interaction,(ptype == 2) & (distance_to_work < 3 | distance_to_school < 3),,,,,0.1391
Can walk to work or school - University student interaction,(ptype == 3) & (distance_to_work < 3 | distance_to_school < 3),,,,,0.1391
Can walk to work or school - Driving-age child interaction,(ptype == 6) & (distance_to_work < 3 | distance_to_school < 3),,,,,0.1391
Round trip auto time to work - Full-time worker interaction,(ptype == 1) * roundtrip_auto_time_to_work,,-0.0035,,,-0.0031
Round trip auto time to work - Part-time worker interaction,(ptype == 2) * roundtrip_auto_time_to_work,,-0.0035,,,-0.0031
Round trip auto time to work - University student interaction,(ptype == 3) * roundtrip_auto_time_to_work,,-0.0035,,,-0.0031
Round trip auto time to work - Non-working adult interaction,(ptype == 4) * roundtrip_auto_time_to_work,,-0.0035,,,
Round trip auto time to work - Retired,(ptype == 5) * roundtrip_auto_time_to_work,,-0.0035,,,
Round trip auto time to school - University student interaction,(ptype == 3) * roundtrip_auto_time_to_school,,,,-0.0034,-0.0031
Round trip auto time to school - Driving-age child interaction,(ptype == 6) * roundtrip_auto_time_to_school,,,,-0.0034,-0.0031
Round trip auto time to school - Pre-driving age child who is in school interaction,(ptype == 7) * roundtrip_auto_time_to_school,,,,-0.0034,
Student is employed - University student interaction,(ptype == 3) & student_is_employed,3.014,3.014,,,3.014
Student is employed - Driving-age child interaction,(ptype == 6) & student_is_employed,3.014,3.014,,,3.014
Non-student goes to school - Full-time worker interaction,(ptype == 1) & nonstudent_to_school,,,3.883,,3.883
Non-student goes to school - Part-time worker interaction,(ptype == 2) & nonstudent_to_school,,,3.883,,3.883
Non-student goes to school - Non-working adult interaction,(ptype == 4) & nonstudent_to_school,,,3.883,,
Non-student goes to school - Retired interaction,(ptype == 5) & nonstudent_to_school,,,3.883,,
No cars in household - Full-time worker interaction,(ptype == 1) & (auto_ownership == 0),,-1.306,,,-1.302
No cars in household - Part-time worker interaction,(ptype == 2) & (auto_ownership == 0),,-1.306,,,-1.302
No cars in household - University student interaction,(ptype == 3) & (auto_ownership == 0),,-1.306,,-1.413,-1.302
No cars in household - Non-working adult interaction,(ptype == 4) & (auto_ownership == 0),,-1.306,,,
No cars in household - Retired interaction,(ptype == 5) & (auto_ownership == 0),,-1.306,,,
No cars in household - Driving-age student interaction,(ptype == 6) & (auto_ownership == 0),,,,-1.413,-1.302
No cars in household - Pre-driving age child who is in school interaction,(ptype == 7) & (auto_ownership == 0),,,,-1.413,
Fewer cars than drivers in household - University student interaction,(ptype == 3) & (auto_ownership < num_drivers),,,,-0.5759,
Fewer cars than drivers in household - Driving-age student interaction,(ptype == 6) & (auto_ownership < num_drivers),,,,-0.5759,
Fewer cars than drivers in household - Pre-driving age child who is in school interaction,(ptype == 7) & (auto_ownership < num_drivers),,,,-0.5759,
Number of preschool children in household - Full-time worker interaction,(ptype == 1) * (num_young_children),0,-0.1478,-0.1335,,-0.1251
Number of preschool children in household - Part-time worker interaction,(ptype == 2) * (num_young_children),0,-0.1478,-0.1335,,-0.1251
Number of preschool children in household - University student interaction,(ptype == 3) * (num_young_children),0.2191,-0.1478,0,-0.5577,-0.1251
Number of preschool children in household - Non-working adult interaction,(ptype == 4) * (num_young_children),0,-0.1478,-0.1335,,
Number of preschool children in household - Retired interaction,(ptype == 5) * (num_young_children),0,-0.1478,-0.1335,,
Number of preschool children in household - Driving-age student interaction,(ptype == 6) * (num_young_children),0.2191,,0,-0.5577,-0.1251
