household_id,serialno,hhsize,building_type,VEHICL,income,race_of_head,hispanic_head,age_of_head,num_workers,state,county,tract,block_group,children,tenure,recent_mover,block_group_id,single_family,unit_id,building_id,TAZ,HHT,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,auto_ownership,hh_work_auto_savings_ratio,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,joint_tour_frequency,num_hh_joint_tours
2537555,2009000514463,4,1.0,2.0,58000.0,1,no,44,1.0,6,97,151201,5,2.0,1,0,60971512015,True,2087165,1336271.0,1337,4,0,58.0,2,8.81,1.357039312140321,3.0,2,2,2,0,2,0,0,0,True,False,False,False,2,1.0,2,2,1,0,1,2,True,0_tours,0
1028131,2010000710856,3,2.0,4.0,51800.0,1,no,74,0.0,6,1,430200,4,0.0,1,0,60014302004,True,511648,1723419.0,845,4,2,51.8,2,8.81,23.29400781288267,3.0,3,3,0,0,0,0,0,0,True,False,False,False,3,0.0,0,3,3,0,0,3,True,1_Visit,1
2272676,2009001202916,2,4.0,2.0,82700.0,1,no,71,0.0,6,75,30201,1,0.0,2,0,60750302011,False,2586849,603266.0,176,1,4,82.7,3,10.44,8.11978005882993,2.0,2,2,0,0,0,0,0,0,False,True,True,False,2,0.0,0,2,2,0,0,2,True,0_tours,0
924048,2012001350477,1,2.0,1.0,83000.0,2,no,55,1.0,6,1,410000,2,0.0,1,0,60014100002,True,391339,4316.0,883,4,6,83.0,3,10.44,12.907555755343493,0.0,1,1,0,0,0,0,0,0,True,False,False,False,0,0.8946667,0,1,1,0,0,1,False,,0
2467322,2012000331206,1,5.0,1.0,58000.0,1,no,66,1.0,6,41,125000,1,0.0,2,0,60411250001,False,36427,1623890.0,1444,1,8,58.0,2,8.81,2.4906395095134872,0.0,1,1,0,0,0,0,0,0,False,True,False,False,0,1.0,0,1,1,0,0,1,False,,0
2173093,2013001451847,1,6.0,1.0,470000.0,1,yes,31,1.0,6,75,20100,2,0.0,2,1,60750201002,False,1218053,120773.0,106,1,10,470.0,4,12.86,25.376960225832107,0.0,1,1,0,0,0,0,0,1,False,True,True,False,1,0.22040834,0,1,1,0,0,1,False,,0
2257814,2011000573350,3,2.0,3.0,78200.0,6,no,48,2.0,6,75,26004,2,1.0,1,0,60750260042,True,1267685,608547.0,161,4,12,78.2,3,10.44,2.964144968522849,1.0,3,2,1,0,0,1,0,0,True,False,True,False,3,0.7386768,0,2,1,0,1,2,True,0_tours,0
368537,2010000111689,1,2.0,1.0,19000.0,1,no,81,0.0,6,85,507600,4,0.0,1,0,60855076004,True,1737059,417287.0,495,4,14,19.0,1,6.01,2.1748272399737925,1.0,1,1,0,0,0,0,0,0,True,False,False,False,0,0.0,0,0,0,0,0,0,False,,0
589304,2010001406972,2,2.0,3.0,418020.0,1,no,47,2.0,6,85,512200,2,0.0,1,0,60855122002,True,1837226,1594997.0,704,4,16,418.02,4,12.86,10.210120543203546,0.0,2,2,0,0,0,0,0,0,True,False,False,False,2,2.0,0,2,2,0,0,2,True,1_Visit,1
1871068,2010000847735,2,2.0,2.0,120800.0,6,no,72,0.0,6,13,346203,2,0.0,1,0,60133462032,True,1067564,1559107.0,1166,4,18,120.8,4,12.86,2.34794452487289,2.0,2,2,0,0,0,0,0,0,True,False,False,False,3,0.0,0,1,1,0,0,1,False,,0
