person_id,PNUM,age,primary_commute_mode,relate,edu,sex,hours,hispanic,earning,race_id,student,work_at_home,worker,household_id,TAZ,ptype,pemploy,pstudent,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_taz,value_of_time,school_taz,distance_to_school,roundtrip_auto_time_to_school,workplace_taz,distance_to_work,workplace_in_cbd,work_taz_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,cdap_activity,cdap_rank,travel_active,under16_not_at_school,has_preschool_kid_at_home,has_school_kid_at_home,mandatory_tour_frequency,work_and_school_and_worker,work_and_school_and_student,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_non_escort_tours
273445,1,55,1.0,0,16.0,1,40.0,1,40000.0,1,0,0,1,79447,686,1,1,3,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,686,4.618696779921552,-1,,0.0,511,8.02,False,5.0,26.05,294.75003,1.0,True,M,1,True,False,False,False,work2,False,False,2,2,0,0,0,0,0,0,0,0,0,0
273446,2,55,,1,16.0,2,,1,0.0,1,0,0,0,79447,686,4,3,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,686,4.618696779921552,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,N,2,True,False,False,False,,False,False,0,0,0,14,3,0,1,0,1,0,1,3
425030,1,43,1.0,0,21.0,1,40.0,1,100000.0,6,0,0,1,539971,656,1,1,3,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0,True,656,6.894349227366027,-1,,0.0,378,21.69,False,3.0,54.46,813.54,1.0,False,M,2,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
425031,2,41,1.0,1,22.0,2,40.0,1,100000.0,6,0,0,1,539971,656,1,1,3,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0,True,656,6.894349227366027,-1,,0.0,516,10.69,False,4.0,31.96,395.63998,1.0,False,M,1,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
425032,3,9,,2,6.0,1,,1,,6,1,0,0,539971,656,7,4,1,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,1,False,656,4.598530934653141,679,5.77,22.17,-1,,False,,0.0,0.0,0.0,False,M,4,True,False,False,False,school1,False,False,1,0,0,0,0,0,0,0,0,0,0,0
425033,4,7,,2,4.0,2,,1,,6,1,0,0,539971,656,7,4,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,1,False,656,4.598530934653141,655,2.65,13.22,-1,,False,,0.0,0.0,0.0,False,M,3,True,False,False,False,school1,False,False,1,0,0,0,0,0,0,0,0,0,0,0
683712,1,60,,0,21.0,1,,1,0.0,6,0,0,0,130420,644,4,3,3,False,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0,False,644,2.870216084910598,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,H,2,False,False,False,False,,False,False,0,0,0,0,0,0,0,0,0,0,0,0
683713,2,63,,1,21.0,2,,1,0.0,6,0,0,0,130420,644,4,3,3,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0,False,644,2.870216084910598,-1,,0.0,-1,,False,,0.0,0.0,0.0,False,H,3,False,False,False,False,,False,False,0,0,0,0,0,0,0,0,0,0,0,0
683714,3,24,1.0,2,19.0,1,17.0,1,5000.0,6,1,0,1,130420,644,3,1,2,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,3,True,644,2.870216084910598,653,2.85,14.44,590,3.21,False,4.0,14.46,52.601204,0.43834338,False,M,1,True,False,False,False,work_and_school,True,True,2,1,0,0,0,0,0,0,0,0,0,0
939056,1,54,1.0,0,22.0,1,70.0,1,150000.0,1,0,0,1,426909,394,1,1,3,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,True,394,14.038214815632763,-1,,0.0,401,6.09,False,3.0,24.93,218.67001,1.0,True,N,2,True,False,False,False,,False,False,0,0,0,8,1,0,0,0,1,0,0,1
