trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,depart,trip_mode
89690273,273445,79447,11211284,work,1,True,1,work,511,686,8,DRIVEALONEFREE
89690277,273445,79447,11211284,work,1,False,2,work,528,511,13,DRIVEALONEFREE
89690278,273445,79447,11211284,work,2,False,2,Home,686,528,13,DRIVEALONEFREE
89690281,273445,79447,11211285,work,1,True,1,work,511,686,13,DRIVEALONEFREE
89690285,273445,79447,11211285,work,1,False,2,eatout,478,511,19,DRIVEALONEFREE
89690286,273445,79447,11211285,work,2,False,2,Home,686,478,19,DRIVEALONEFREE
89690337,273446,79447,11211292,eatout,1,True,1,eatout,465,686,14,DRIVEALONEFREE
89690341,273446,79447,11211292,eatout,1,False,2,social,435,465,20,DRIVEALONEFREE
89690342,273446,79447,11211292,eatout,2,False,2,Home,686,435,20,DRIVEALONEFREE
89690513,273446,79447,11211314,othmaint,1,True,1,othmaint,674,686,9,DRIVEALONEFREE
89690517,273446,79447,11211314,othmaint,1,False,1,Home,686,674,13,DRIVEALONEFREE
89690577,273446,79447,11211322,social,1,True,1,social,519,686,13,DRIVEALONEFREE
89690581,273446,79447,11211322,social,1,False,1,Home,686,519,13,SHARED3FREE
139410153,425030,539971,17426269,work,1,True,2,othmaint,539,656,9,DRIVEALONEFREE
139410154,425030,539971,17426269,work,2,True,2,work,378,539,9,DRIVEALONEFREE
139410157,425030,539971,17426269,work,1,False,1,Home,656,378,17,DRIVEALONEFREE
139410481,425031,539971,17426310,work,1,True,1,work,516,656,7,DRIVEALONEFREE
139410485,425031,539971,17426310,work,1,False,1,Home,656,516,17,DRIVEALONEFREE
139410745,425032,539971,17426343,school,1,True,3,escort,680,656,8,SHARED2FREE
139410746,425032,539971,17426343,school,2,True,3,escort,679,680,9,WALK
139410747,425032,539971,17426343,school,3,True,3,school,679,679,12,WALK
139410749,425032,539971,17426343,school,1,False,1,Home,656,679,15,SHARED3FREE
139411073,425033,539971,17426384,school,1,True,1,school,655,656,7,SHARED2FREE
139411077,425033,539971,17426384,school,1,False,1,Home,656,655,14,SHARED2FREE
224258441,683714,130420,28032305,univ,1,True,1,univ,653,644,9,BIKE
224258445,683714,130420,28032305,univ,1,False,2,othmaint,649,653,12,BIKE
224258446,683714,130420,28032305,univ,2,False,2,Home,644,649,13,BIKE
224258505,683714,130420,28032313,work,1,True,1,work,590,644,6,WALK_LOC
224258509,683714,130420,28032313,work,1,False,1,Home,644,590,6,WALK_LOC
308010593,939056,426909,38501324,othmaint,1,True,1,othmaint,371,394,8,SHARED2FREE
308010597,939056,426909,38501324,othmaint,1,False,1,Home,394,371,17,DRIVEALONEFREE
308010961,939057,426909,38501370,shopping,1,True,1,shopping,466,394,18,SHARED2FREE
308010965,939057,426909,38501370,shopping,1,False,2,escort,605,466,21,SHARED2FREE
308010966,939057,426909,38501370,shopping,2,False,2,Home,394,605,22,SHARED2FREE
308011009,939057,426909,38501376,work,1,True,1,work,494,394,7,SHARED2FREE
308011013,939057,426909,38501376,work,1,False,1,Home,394,494,16,SHARED2FREE
352801985,1075615,267572,44100248,shopping,1,True,3,shopping,415,443,15,DRIVEALONEFREE
352801986,1075615,267572,44100248,shopping,2,True,3,shopping,415,415,16,DRIVEALONEFREE
352801987,1075615,267572,44100248,shopping,3,True,3,shopping,415,415,16,DRIVEALONEFREE
352801989,1075615,267572,44100248,shopping,1,False,3,shopping,415,415,19,DRIVEALONEFREE
352801990,1075615,267572,44100248,shopping,2,False,3,eatout,429,415,18,DRIVEALONEFREE
