time,rss,used,available,percent,event
23/04/2020 18:54:41, 0.08, 1.22, 121.59, 1.7%, run_multiprocess.start
23/04/2020 18:54:44, 6.80, 1.26, 114.85, 7.1%, allocate_shared_skim_buffer.completed
23/04/2020 18:54:44, 6.80, 1.26, 114.85, 7.1%, allocate_shared_shadow_pricing_buffers.completed
23/04/2020 18:54:44, 6.80, 1.26, 114.85, 7.1%, mp_setup_skims.start
23/04/2020 18:55:47, 6.80, 1.26, 114.85, 7.1%, mp_setup_skims.completed
23/04/2020 18:55:47, 6.88, 1.26, 114.85, 7.1%, mp_initialize.start
23/04/2020 18:55:48, 7.09, 1.50, 114.61, 7.3%, mp_initialize.initialize_landuse.completed
23/04/2020 18:55:51, 13.55, 1.38, 114.73, 7.2%, mp_initialize.compute_accessibility.completed
23/04/2020 18:56:04, 6.80, 1.26, 114.85, 7.1%, mp_initialize.initialize_households.completed
23/04/2020 18:56:04, 6.80, 1.26, 114.85, 7.1%, mp_initialize.completed
23/04/2020 18:56:04, 6.80, 1.26, 114.85, 7.1%, mp_households_apportion.start
23/04/2020 18:56:05, 6.80, 1.26, 114.85, 7.1%, mp_households_apportion.completed
23/04/2020 18:56:05, 6.88, 1.26, 114.85, 7.1%, mp_households_0.start
23/04/2020 18:56:05, 6.96, 1.26, 114.85, 7.2%, mp_households_1.start
23/04/2020 18:56:11, 7.27, 1.39, 114.72, 7.3%, mp_households_1.school_location.completed
23/04/2020 18:56:12, 7.30, 1.39, 114.72, 7.3%, mp_households_0.school_location.completed
23/04/2020 18:56:18, 7.61, 1.40, 114.71, 7.3%, mp_households_0.workplace_location.completed
23/04/2020 18:56:18, 7.61, 1.40, 114.71, 7.3%, mp_households_0.auto_ownership_simulate.completed
23/04/2020 18:56:18, 7.61, 1.40, 114.71, 7.3%, mp_households_0.free_parking.completed
23/04/2020 18:56:18, 7.61, 1.40, 114.71, 7.3%, mp_households_1.workplace_location.completed
23/04/2020 18:56:18, 7.61, 1.40, 114.71, 7.3%, mp_households_1.auto_ownership_simulate.completed
23/04/2020 18:56:18, 7.61, 1.40, 114.71, 7.3%, mp_households_1.free_parking.completed
23/04/2020 18:56:28, 7.61, 1.41, 114.70, 7.3%, mp_households_1.cdap_simulate.completed
23/04/2020 18:56:29, 7.63, 1.42, 114.69, 7.3%, mp_households_0.cdap_simulate.completed
23/04/2020 18:56:29, 7.63, 1.42, 114.69, 7.3%, mp_households_0.mandatory_tour_frequency.completed
23/04/2020 18:56:29, 7.63, 1.42, 114.69, 7.3%, mp_households_1.mandatory_tour_frequency.completed
23/04/2020 18:56:35, 7.64, 1.43, 114.68, 7.3%, mp_households_1.mandatory_tour_scheduling.completed
23/04/2020 18:56:35, 7.64, 1.43, 114.68, 7.3%, mp_households_1.joint_tour_frequency.completed
23/04/2020 18:56:36, 7.64, 1.43, 114.68, 7.3%, mp_households_1.joint_tour_composition.completed
23/04/2020 18:56:36, 7.64, 1.43, 114.68, 7.3%, mp_households_1.joint_tour_participation.completed
23/04/2020 18:56:37, 7.65, 1.43, 114.68, 7.3%, mp_households_0.mandatory_tour_scheduling.completed
23/04/2020 18:56:37, 7.65, 1.43, 114.68, 7.3%, mp_households_0.joint_tour_frequency.completed
23/04/2020 18:56:38, 7.65, 1.43, 114.68, 7.3%, mp_households_0.joint_tour_composition.completed
23/04/2020 18:56:38, 7.65, 1.43, 114.68, 7.3%, mp_households_0.joint_tour_participation.completed
23/04/2020 18:56:41, 7.67, 1.43, 114.68, 7.3%, mp_households_1.joint_tour_destination.completed
23/04/2020 18:56:42, 7.67, 1.43, 114.68, 7.3%, mp_households_1.joint_tour_scheduling.completed
23/04/2020 18:56:43, 7.67, 1.43, 114.68, 7.3%, mp_households_0.joint_tour_destination.completed
23/04/2020 18:56:44, 7.67, 1.43, 114.68, 7.3%, mp_households_0.joint_tour_scheduling.completed
23/04/2020 18:56:48, 7.70, 1.43, 114.68, 7.3%, mp_households_1.non_mandatory_tour_frequency.completed
23/04/2020 18:56:50, 7.74, 1.44, 114.67, 7.3%, mp_households_0.non_mandatory_tour_frequency.completed
23/04/2020 18:56:57, 7.86, 1.44, 114.67, 7.3%, mp_households_1.non_mandatory_tour_destination.completed
23/04/2020 18:56:59, 7.87, 1.44, 114.67, 7.3%, mp_households_0.non_mandatory_tour_destination.completed
23/04/2020 18:56:59, 7.87, 1.44, 114.67, 7.3%, mp_households_1.non_mandatory_tour_scheduling.completed
23/04/2020 18:57:03, 7.87, 1.44, 114.67, 7.3%, mp_households_0.non_mandatory_tour_scheduling.completed
23/04/2020 18:57:08, 7.95, 1.44, 114.67, 7.3%, mp_households_1.tour_mode_choice_simulate.completed
23/04/2020 18:57:08, 7.95, 1.44, 114.67, 7.3%, mp_households_1.atwork_subtour_frequency.completed
