time,rss,used,available,percent,event
23/04/2020 18:56:06, 0.10, 1.37, 114.74, 7.2%, school_location.i1.sample.university.interaction_sample.add.interaction_df
23/04/2020 18:56:06, 0.13, 1.37, 114.74, 7.2%, school_location.i1.sample.university.interaction_sample.add.interaction_utilities
23/04/2020 18:56:06, 0.13, 1.37, 114.74, 7.2%, school_location.i1.sample.university.interaction_sample.del.interaction_df
23/04/2020 18:56:06, 0.14, 1.37, 114.74, 7.2%, school_location.i1.sample.university.interaction_sample.add.utilities
23/04/2020 18:56:06, 0.14, 1.38, 114.74, 7.2%, school_location.i1.sample.university.interaction_sample.del.interaction_utilities
23/04/2020 18:56:06, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.university.interaction_sample.add.probs
23/04/2020 18:56:06, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.university.interaction_sample.del.utilities
23/04/2020 18:56:06, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.university.interaction_sample.add.choices_df
23/04/2020 18:56:06, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.university.interaction_sample.del.probs
23/04/2020 18:56:06, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.university.interaction_sample.add.choices_df
23/04/2020 18:56:06, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.university.interaction_sample.add.choices_df
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.logsums.university.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.logsums.university.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.logsums.university.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.logsums.university.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.logsums.university.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.interaction_df
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.interaction_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.del.interaction_df
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.sample_counts
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.del.sample_counts
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.del.interaction_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.padded_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.utilities_df
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.del.padded_utilities
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.probs
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.del.utilities_df
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.positions
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.rands
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.del.probs
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.simulate.university.interaction_sample_simulate.add.choices
23/04/2020 18:56:07, 0.14, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.interaction_df
23/04/2020 18:56:07, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.interaction_utilities
23/04/2020 18:56:07, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.del.interaction_df
23/04/2020 18:56:07, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.utilities
23/04/2020 18:56:07, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.del.interaction_utilities
23/04/2020 18:56:07, 0.16, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.probs
23/04/2020 18:56:08, 0.16, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.del.utilities
23/04/2020 18:56:08, 0.16, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.del.probs
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.interaction_df
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.interaction_utilities
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.interaction_df
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.sample_counts
23/04/2020 18:56:08, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.sample_counts
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.interaction_utilities
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.padded_utilities
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.utilities_df
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.padded_utilities
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.probs
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.utilities_df
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.positions
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.rands
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.probs
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.choices
23/04/2020 18:56:09, 0.15, 1.38, 114.73, 7.2%, school_location.i1.sample.gradeschool.interaction_sample.add.interaction_df
23/04/2020 18:56:09, 0.19, 1.38, 114.73, 7.2%, school_location.i1.sample.gradeschool.interaction_sample.add.interaction_utilities
