TAZ,university,gradeschool,highschool
566,0.0,795.0,0.0
565,0.0,739.0,0.0
573,0.0,734.0,0.0
571,0.0,709.0,0.0
576,0.0,769.0,0.0
575,0.0,719.0,0.0
567,0.0,2074.0,0.0
570,0.0,1180.0,0.0
583,0.0,1001.0,147.18095
584,0.0,898.0,0.0
642,0.0,532.0,0.0
650,0.0,1359.0,0.0
651,0.0,1449.0,0.0
653,4087.639340239999,3145.0,0.0
644,0.0,749.0,0.0
643,0.0,822.0,0.0
646,0.0,655.0,0.0
649,0.0,970.0,0.0
487,0.0,1166.0,2396.86646
491,0.0,825.0,0.0
480,0.0,720.0,0.0
482,0.0,1116.0,0.0
485,0.0,1883.0,0.0
459,0.0,1399.0,0.0
454,0.0,938.0,0.0
598,0.0,1212.0,0.0
625,0.0,749.0,0.0
622,0.0,868.0,0.0
610,0.0,252.0,0.0
609,0.0,1036.0,3566.85132
620,0.0,630.0,0.0
471,0.0,523.0,0.0
470,0.0,994.0,0.0
473,0.0,1118.0,0.0
468,0.0,813.0,0.0
504,0.0,469.0,0.0
503,0.0,742.0,0.0
501,0.0,857.0,0.0
499,0.0,1322.0,0.0
500,0.0,668.0,2077.776610000001
505,0.0,1060.0,0.0
518,0.0,1210.0,0.0
517,0.0,1092.0,0.0
516,0.0,766.0,0.0
514,0.0,1607.0,0.0
511,0.0,975.0,1853.91687
513,0.0,572.0,0.0
508,0.0,488.0,0.0
510,0.0,575.0,0.0
497,4925.0253024,1120.0,0.0
496,0.0,593.0,0.0
498,0.0,839.0,0.0
495,0.0,1173.0,0.0
490,11661.2274044,884.0,0.0
489,0.0,1355.0,2631.8479
488,0.0,1691.0,0.0
486,0.0,1394.0,0.0
492,0.0,1332.0,0.0
481,0.0,1145.0,2057.99438
483,0.0,1271.0,0.0
484,0.0,1682.0,0.0
479,0.0,1625.0,1767.34692
460,0.0,726.0,0.0
457,0.0,1170.0,0.0
458,0.0,922.0,0.0
455,0.0,527.0,0.0
451,0.0,1062.0,0.0
448,0.0,1110.0,0.0
394,0.0,828.0,0.0
450,0.0,508.0,0.0
425,0.0,430.0,0.0
391,0.0,725.0,0.0
618,0.0,442.0,0.0
617,0.0,950.0,0.0
615,0.0,766.0,0.0
613,0.0,660.0,0.0
606,0.0,786.0,0.0
611,0.0,1080.0,0.0
401,16.452877439999998,102.0,0.0
422,0.0,758.0,0.0
420,0.0,536.0,0.0
413,0.0,1823.0,0.0
543,0.0,430.0,0.0
438,0.0,577.0,0.0
442,0.0,544.0,2306.58203
441,0.0,600.0,0.0
440,0.0,1018.0,2022.12207
545,4197.961660960002,269.0,0.0
544,0.0,1138.0,0.0
465,0.0,928.0,0.0
464,0.0,658.0,0.0
463,0.0,498.0,0.0
476,0.0,1166.0,0.0
478,0.0,996.0,0.0
472,0.0,788.0,262.19347999999997
467,0.0,645.0,0.0
469,0.0,1444.0,0.0
475,0.0,737.0,0.0
474,0.0,760.0,0.0
502,0.0,809.0,0.0
506,0.0,627.0,0.0
515,0.0,1518.0,2227.4301800000007
509,0.0,595.0,0.0
507,0.0,799.0,0.0
493,0.0,1229.0,1823.0014600000002
494,0.0,1144.0,1498.96606
424,0.0,1399.0,0.0
393,0.0,594.0,0.0
377,0.0,389.0,0.0
376,0.0,504.0,0.0
374,188.59279472000003,413.0,0.0
380,0.0,633.0,0.0
372,0.0,804.0,0.0
378,0.0,301.0,0.0
381,0.0,1176.0,0.0
383,0.0,448.0,1825.4742399999998
389,0.0,972.0,0.0
388,0.0,1409.0,1641.2014199999999
384,0.0,1060.0,0.0
370,0.0,930.0,1727.7713600000006
371,0.0,782.0,0.0
367,0.0,1130.0,0.0
366,0.0,905.0,0.0
363,0.0,427.0,0.0
360,0.0,1102.0,0.0
358,0.0,1329.0,0.0
357,0.0,1009.0,0.0
359,0.0,733.0,291.8780799999999
355,0.0,268.0,0.0
354,9780.310430880001,16.0,0.0
352,0.0,0.0,0.0
368,0.0,887.0,2217.52808
512,0.0,808.0,0.0
688,0.0,1513.0,1453.20276
693,0.0,1046.0,0.0
695,0.0,1841.0,0.0
696,0.0,721.0,0.0
694,0.0,1174.0,0.0
690,0.0,1243.0,2206.40601
656,0.0,1551.0,0.0
657,0.0,1519.0,0.0
392,0.0,582.0,0.0
373,0.0,602.0,0.0
375,0.0,326.0,0.0
365,0.0,351.0,0.0
379,0.0,648.0,191.7023
390,0.0,362.0,0.0
382,0.0,582.0,0.0
387,0.0,885.0,0.0
386,0.0,584.0,0.0
369,0.0,1060.0,0.0
362,176.6564112,1042.0,0.0
364,0.0,408.0,0.0
361,0.0,1326.0,0.0
356,0.0,868.0,0.0
353,0.0,0.0,0.0
385,0.0,619.0,0.0
692,0.0,777.0,0.0
691,0.0,758.0,0.0
689,0.0,1044.0,0.0
680,0.0,1054.0,0.0
675,0.0,899.0,0.0
669,0.0,2240.0,0.0
668,0.0,1090.0,0.0
667,0.0,918.0,3397.4152799999997
673,0.0,751.0,0.0
665,0.0,1006.0,0.0
659,0.0,792.0,0.0
700,0.0,2134.0,0.0
701,0.0,1315.0,0.0
456,0.0,1243.0,0.0
453,0.0,1462.0,0.0
452,0.0,673.0,2271.95142
449,0.0,1274.0,0.0
447,0.0,814.0,0.0
445,0.0,1083.0,0.0
446,0.0,1002.0,0.0
423,0.0,956.0,0.0
710,0.0,1752.0,0.0
660,0.0,678.0,0.0
661,0.0,1464.0,0.0
658,0.0,965.0,0.0
697,0.0,231.0,0.0
703,0.0,574.0,0.0
702,0.0,1952.0,0.0
704,0.0,726.0,0.0
698,0.0,1792.0,2566.30249
1260,0.0,953.0,0.0
1251,0.0,1436.0,0.0
1261,0.0,898.0,0.0
1254,0.0,1158.0,0.0
1252,0.0,0.0,0.0
1271,0.0,3493.0,0.0
1276,0.0,950.0,0.0
1272,0.0,0.0,0.0
1281,0.0,1079.0,0.0
1275,0.0,588.0,0.0
1285,0.0,989.0,0.0
1288,0.0,2829.0,0.0
1290,0.0,760.0,420.55283
1324,0.0,266.0,1368.62292
1322,0.0,388.0,0.0
1321,0.0,1091.0,0.0
1318,0.0,616.0,0.0
1325,0.0,1565.0,1605.77539
713,0.0,988.0,0.0
711,0.0,1949.0,0.0
709,0.0,1607.0,0.0
705,1813.1487187999999,2180.0,0.0
707,0.0,2092.0,0.0
706,0.0,559.0,0.0
1246,0.0,1926.0,0.0
1231,0.0,616.0,0.0
1227,0.0,419.0,0.0
1219,0.0,379.0,625.8875099999998
1221,0.0,845.0,0.0
1220,0.0,1009.0,0.0
1222,336.9017696000001,362.0,0.0
1238,0.0,83.0,0.0
1232,0.0,576.0,0.0
1242,0.0,770.0,0.0
1234,0.0,764.0,2312.0336899999998
699,0.0,1101.0,0.0
712,0.0,869.0,0.0
708,0.0,1879.0,2806.24072
714,0.0,151.0,0.0
1230,0.0,872.0,0.0
1229,0.0,598.0,1859.89087
1228,0.0,352.0,0.0
1223,0.0,440.0,0.0
1224,0.0,246.0,0.0
1225,0.0,492.0,0.0
1226,0.0,520.0,0.0
1233,0.0,273.0,0.0
1235,0.0,298.0,0.0
1237,0.0,451.0,0.0
1239,0.0,691.0,0.0
1244,0.0,1262.0,0.0
1245,0.0,936.0,0.0
1216,0.0,530.0,0.0
1214,0.0,588.0,0.0
1267,0.0,511.0,0.0
1269,0.0,1373.0,2839.19775
1266,0.0,911.0,0.0
1263,0.0,577.0,2821.42627
1265,0.0,684.0,0.0
674,0.0,1197.0,0.0
676,0.0,1420.0,0.0
670,0.0,1556.0,1249.13647
672,0.0,738.0,0.0
671,0.0,1320.0,0.0
666,0.0,1013.0,0.0
679,0.0,757.0,0.0
678,0.0,511.0,1553.38965
677,0.0,726.0,0.0
664,0.0,1523.0,0.0
663,0.0,592.0,2818.60498
662,0.0,968.0,0.0
1334,0.0,603.0,0.0
1335,0.0,971.0,0.0
1336,0.0,2657.0,0.0
1339,0.0,721.0,0.0
1338,0.0,584.0,0.0
1343,0.0,753.0,0.0
1345,0.0,385.0,0.0
1342,3861.3059068800007,756.0,2046.74939
1340,0.0,901.0,0.0
1351,0.0,617.0,0.0
1353,0.0,121.0,0.0
1359,0.0,705.0,0.0
1366,0.0,1504.0,802.8877
1355,0.0,534.0,1598.16028
1354,0.0,1362.0,164.76973
1367,0.0,818.0,0.0
430,0.0,2.0,0.0
433,0.0,748.0,0.0
435,0.0,294.0,0.0
602,0.0,320.0,0.0
608,0.0,201.0,0.0
769,0.0,2044.0,0.0
1135,0.0,661.0,0.0
1202,0.0,821.0,0.0
348,0.0,0.0,0.0
349,0.0,174.0,0.0
350,0.0,441.0,0.0
351,0.0,721.0,1892.26172
396,0.0,0.0,0.0
398,0.0,356.0,0.0
1368,0.0,980.0,0.0
400,0.0,557.0,0.0
1236,0.0,427.0,0.0
1241,0.0,276.0,0.0
1240,0.0,910.0,0.0
1243,0.0,749.0,0.0
1212,0.0,382.0,1705.8851300000001
1211,0.0,638.0,0.0
1218,0.0,726.0,1311.01074
1360,0.0,530.0,0.0
1364,0.0,397.0,1313.3840300000004
1357,0.0,815.0,0.0
1369,0.0,861.0,0.0
1373,209.09725936,1090.0,0.0
1372,0.0,975.0,0.0
1376,0.0,1154.0,0.0
1378,0.0,2053.0,0.0
1384,0.0,926.0,1280.0529800000004
1390,0.0,192.0,0.0
1370,0.0,1907.0,0.0
1371,0.0,843.0,1454.3418
1374,0.0,1588.0,0.0
1377,0.0,1287.0,0.0
1382,0.0,1100.0,0.0
1375,0.0,1334.0,0.0
1379,0.0,1298.0,0.0
1380,0.0,1503.0,1361.95496
403,233.2647,0.0,0.0
404,0.0,322.0,0.0
405,0.0,0.0,0.0
407,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,339.0,0.0
412,398.08370823999996,472.0,0.0
415,4380.99582568,312.0,0.0
416,0.0,1197.0,0.0
419,0.0,573.0,0.0
1217,0.0,1144.0,0.0
1215,0.0,712.0,0.0
1213,0.0,473.0,0.0
1248,0.0,1742.0,0.0
1391,0.0,492.0,0.0
1393,0.0,470.0,1129.56665
1395,0.0,1666.0,0.0
1398,0.0,609.0,0.0
1400,0.0,279.0,0.0
1401,0.0,562.0,134.28978
1402,0.0,1778.0,431.44547
1403,0.0,204.0,0.0
1389,0.0,257.0,0.0
1,0.0,2.0,0.0
3,0.0,24.0,0.0
5,42.71092928,15.0,0.0
12,3002.76436344,1.0,0.0
13,2578.27603944,0.0,348.71741000000014
15,0.0,0.0,0.0
18,0.0,68.0,0.0
20,0.0,155.0,0.0
23,0.0,101.0,0.0
215,0.0,965.0,0.0
347,7425.7904948,1321.0,0.0
1381,0.0,2285.0,125.71789
1386,0.0,532.0,0.0
