choice,utility
"('Mandatory', 'Mandatory', 'Mandatory')",11.558566756999998
"('Mandatory', 'Mandatory', 'NonMandatory')",10.985481181
"('Mandatory', 'Mandatory', 'Home')",11.689703227999999
"('Mandatory', 'NonMandatory', 'Mandatory')",10.733281180999999
"('Mandatory', 'NonMandatory', 'NonMandatory')",10.093095605
"('Mandatory', 'NonMandatory', 'Home')",10.797317652
"('Mandatory', 'Home', 'Mandatory')",12.109503228
"('Mandatory', 'Home', 'NonMandatory')",11.469317652
"('Mandatory', 'Home', 'Home')",12.173539699
"('NonMandatory', 'Mandatory', 'Mandatory')",9.878389448999998
"('NonMandatory', 'Mandatory', 'NonMandatory')",9.238203873
"('NonMandatory', 'Mandatory', 'Home')",9.94242592
"('NonMandatory', 'NonMandatory', 'Mandatory')",8.986003873
"('NonMandatory', 'NonMandatory', 'NonMandatory')",8.278718297000001
"('NonMandatory', 'NonMandatory', 'Home')",9.050040344000001
"('NonMandatory', 'Home', 'Mandatory')",10.362225919999998
"('NonMandatory', 'Home', 'NonMandatory')",9.722040344
"('NonMandatory', 'Home', 'Home')",10.426262391
"('Home', 'Mandatory', 'Mandatory')",11.056127057999998
"('Home', 'Mandatory', 'NonMandatory')",10.415941482
"('Home', 'Mandatory', 'Home')",11.120163529
"('Home', 'NonMandatory', 'Mandatory')",10.163741481999999
"('Home', 'NonMandatory', 'NonMandatory')",9.523555906
"('Home', 'NonMandatory', 'Home')",10.227777953
"('Home', 'Home', 'Mandatory')",11.539963528999998
"('Home', 'Home', 'NonMandatory')",10.899777953000001
"('Home', 'Home', 'Home')",11.5369
