purpose,segment,TOTHH,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,AGE0519,HSENROLL,COLLFTE,COLLPTE
work,low,0,0.129,0.193,0.383,0.12,0.01,0.164,0,0,0,0
work,med,0,0.12,0.197,0.325,0.139,0.008,0.21,0,0,0,0
work,high,0,0.11,0.207,0.284,0.154,0.006,0.239,0,0,0,0
work,veryhigh,0,0.093,0.27,0.241,0.146,0.004,0.246,0,0,0,0
university,university,0,0,0,0,0,0,0,0,0,0.592,0.408
school,grade,0,0,0,0,0,0,0,1,0,0,0
school,high,0,0,0,0,0,0,0,0,1,0,0
escort,kids,0,0.225,0,0.144,0,0,0,0.465,0.166,0,0
escort,no kids,0,0.225,0,0.144,0,0,0,0.465,0.166,0,0
shopping,shopping,0,1,0,0,0,0,0,0,0,0,0
eatOut,eatOut,0,0.742,0,0.258,0,0,0,0,0,0,0
othMaint,othMaint,0,0.482,0,0.518,0,0,0,0,0,0,0
social,social,0,0.522,0,0.478,0,0,0,0,0,0,0
othDiscr,othDiscr,0.252,0.212,0,0.272,0.165,0,0,0,0.098,0,0
atwork,atwork,0,0.742,0,0.258,0,0,0,0,0,0,0
