Description,Expression,0_tours,1_Shop,1_Main,1_Eat,1_Visit,1_Disc,2_SS,2_SM,2_SE,2_SV,2_SD,2_MM,2_ME,2_MV,2_MD,2_EE,2_EV,2_ED,2_VV,2_VD,2_DD
alternative-specific constants,1,0,-6.0149,-5.7389,-6.3757,-5.8818,-5.4806,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576,-14.4576
# zero tours,,,,,,,,,,,,,,,,,,,,,,
fullTimeHomeMaxThree,cdap_home_full_max3,1.175,,,,,,,,,,,,,,,,,,,,
partTimeHomeMaxThree,cdap_home_part_max3,1.447,,,,,,,,,,,,,,,,,,,,
nonWorkerHomeMaxThree,cdap_home_nonwork_max3,1.514,,,,,,,,,,,,,,,,,,,,
retireeHomeMaxThree,cdap_home_retired_max3,0.6053,,,,,,,,,,,,,,,,,,,,
universityHomeMaxThree (univ and driving),cdap_home_univ_driving_max3,0.5685,,,,,,,,,,,,,,,,,,,,
preDrivingHomeMaxThree (preschool and school),cdap_home_nondriving_child_max3,0.5308,,,,,,,,,,,,,,,,,,,,
# shopping,,,,,,,,,,,,,,,,,,,,,,
fullTimeNonMandMaxThree,cdap_nonmand_full_max3,,0.2052,,,,,0.4104,0.2052,0.2052,0.2052,0.2052,,,,,,,,,,
partTimeNonMandMaxThree,cdap_nonmand_part_max3,,0.1866,,,,,0.3732,0.1866,0.1866,0.1866,0.1866,,,,,,,,,,
nonWorkerNonMandMaxThree,cdap_nonmand_nonwork_max3,,0.7078,,,,,1.4156,0.7078,0.7078,0.7078,0.7078,,,,,,,,,,
retireeNonMandMaxThree,cdap_nonmand_retired_max3,,0.941,,,,,1.882,0.941,0.941,0.941,0.941,,,,,,,,,,
universityNonMandMaxThree,cdap_nonmand_univ_driving_max3,,0.7648,,,,,1.5296,0.7648,0.7648,0.7648,0.7648,,,,,,,,,,
preDrivingNonMandMaxThree,cdap_nonmand_nondriving_child_max3,,0.5474,,,,,1.0948,0.5474,0.5474,0.5474,0.5474,,,,,,,,,,
fullTimeMandMaxThree,cdap_mand_full_max3,,-0.2424,,,,,-0.4848,-0.2424,-0.2424,-0.2424,-0.2424,,,,,,,,,,
# drivingAgeStuMandMaxThree,cdap_mand_univ_driving_max3,,0,,,,,0,0,0,0,0,,,,,,,,,,
