Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Middle to Low Income HH ,(income_in_thousands>19999) & (income_in_thousands<50000),,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500
Number of eating tours tours undertaken by the person,num_eatout_tours,,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800
Subtour departure less than or equal to 11AM,start<12,,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100,0.3100
Subtour return time greater or equal to 2PM,end>16,,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400
Subtour duration in hours (integer),end-start,,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600
dummy for subtour origin (tour destination) at Exurban  or Rual (AreaTypes = 6 or 7),destination_area_type >5,,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700,0.2700
Primary Destination Accessibility (LOG of it),pracc,,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800
subtour distance in miles (from tour destination to subtour primary destination one way),distance_in_miles,,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
Alternative specific constant for outbound stops,1,,,,,-3.896,-3.896,-3.896,-3.896,-5.709,-5.709,-5.709,-5.709,-7.361,-7.361,-7.361,-7.361
Alternative specific constant for return  stops,1,,-3.671,-5.388,-6.210,,-3.671,-5.388,-6.210,,-3.671,-5.388,-6.210,,-3.671,-5.388,-6.210
Alternative specific constant for the total number of stops,1,,,0,0,,0,0,2.127,0,0,2.127,2.127,0,2.127,2.127,2.127
