Description,Expression,0out_0in,0out_1in,0out_2in,0out_3in,1out_0in,1out_1in,1out_2in,1out_3in,2out_0in,2out_1in,2out_2in,2out_3in,3out_0in,3out_1in,3out_2in,3out_3in
Middle to Low Income HH,(income_in_thousands>19999) & (income_in_thousands<50000),,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700,0.1700
Mid to High Income HH,(income_in_thousands>=50000) & (income_in_thousands<100000),,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300,0.2300
High Income HH,(income_in_thousands>=100000),,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400
Number of HH Persons,hhsize,,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100,-0.3100
Number of full time workers in HH,num_full,,,,,,,,,,,,,,,
Number of Students in HH,num_student,,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100
Num Kids between 0 and 4 (including) years old,num_age_0_4,,,,,,,,,,,,,,,
Presence of Kids between 0 and 4 (including) years old,(num_age_0_4 > 0),,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400
Num kids between 5 and 15 (including) years old,num_age_5_15,,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800
Presence of kids between 5 and 15 (including) years old,(num_age_5_15 > 0),,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600
Number of Adults (>= 16 years old),num_adult,,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300
Dummy for single parent household,(num_adult == 1) & (num_age_0_4 + num_age_5_15 > 0),,,,,,,,,,,,,,,
Number of Cars > Number of Workers,more_cars_than_workers,,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600
Number of Vehicles,auto_ownership,,,,,,,,,,,,,,,
Dummy for female,female,,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200,0.2200
Dummy for all stops made by transit,tour_mode_is_transit,,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700,-0.700
Dummy for walking to all stops,tour_mode_is_non_motorized,,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400,-1.5400
Number of work tours undertaken by the person,num_work_tours,,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500,-0.1500
Number of university tours tours undertaken by the person,num_univ_tours,,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800,-0.4800
