Description,Expression,Coefficient
Free-flow round trip auto time shift effects - duration,roundtrip_auto_time_to_work * duration,0.0032
Full-time worker departure shift effects,(ptype == 1) * start,0.3971
Full-time worker duration shift effects,(ptype == 1) * duration,0.1908
Non-working adult departure shift effects,(ptype == 4) * start,0.5539
University student departure shift effects,(ptype == 3) * start,0.28
University student duration shift effects,(ptype == 3) * duration,0.2907
Student driving age duration shift effects,(ptype == 7) * duration,0.03464
All adults work full time- duration,(workers == hhsize) * duration,0.1093
# FIXME - Subsequent tour must start after previous tour ends,(tour_num > 1) & (start < end_previous),-999
Subsequent tour must start after previous tour ends,(tour_num > 1) & (start < end_previous),-100
First of 2+ school/univ. tours- departure,(tour_num == 1) * start,0.3002
First of 2+ school/univ. tours- duration,(tour_num == 1) * duration,0.1593
Subsequent of 2+ school/univ. tours- duration,(tour_num > 1) * duration,0.2338
Household income -- Early departure interaction,(income_in_thousands >= 100) & (start < 6),0.8837
Household income -- Late arrival interaction,(income_in_thousands >= 100) & (end > 22),0.3533
First of 2+ school/univ tours- duration<6 hrs,(tour_num == 1) & (duration < 6),1.487
Subsequent of 2+ school/univ tours- duration<6 hrs,(tour_num > 1) & (duration < 6),2.142
School+work tours by student- duration<6 hrs,work_and_school_and_worker & (duration < 6),1.73
School+work tours by worker- duration<6 hrs,work_and_school_and_student & (duration < 6),2.142
# Mode Choice Logsum,@@modeChoiceLogsumAlt,2.127
# Previously-scheduled tour ends in this departure hour,@@prevTourEndsThisDepartureHourAlt,0.5995
# Previously-scheduled tour begins in this arrival hour,@@prevTourBeginsThisArrivalHourAlt,1.102
# Adjacent window exists before this departure hour - first tour interaction,@@adjWindowBeforeThisHourAlt,0.08975
# Adjacent window exists afetr this arrival hour - first tour interaction,@@adjWindowAfterThisHourAlt,0.00305
# Adjacent window exists before this departure hour - second+ tour interaction,@@adjWindowBeforeThisHourAlt,0.44
# Adjacent window exists after this arrival hour - second+ tour interaction,@@adjWindowAfterThisHourAlt,0.5271
# Remaining school/work tours to be scheduled / number of unscheduled hours,1 / @@remainingHoursAvailableAlt,16.67
Departure Constants -- Early (up to 5),start < 6,3.82066
Departure Constants -- AM peak 1 (6),start == 6,1.61764
Departure Constants -- AM peak 2 (7),start == 7,0
Departure Constants -- AM peak 3 (8),start == 8,0.07383
Departure Constants -- AM peak 4 (9),start == 9,2.08057
Departure Constants -- Midday 1 (10 to 12),(start > 9) & (start < 13),2.98574
Departure Constants -- Midday 2 (13 to 15),(start > 12) & (start < 16),3.62843
Departure Constants -- PM peak (16 to 18),(start > 15) & (start < 19),3.10251
Departure Constants -- Evening (19 to 21),(start > 18) & (start < 22),5.23029
Departure Constants -- Late (22 and later),start > 21,11.88605
Arrival Constants -- Early (up to 6),end < 7,2.42872
Arrival Constants -- AM peak (7 to 9),(end > 6) & (end < 10),2.42872
Arrival Constants -- Midday 1 (10 to 12),(end > 9) & (end < 13),1.23791
Arrival Constants -- Midday 2 (13 to 14),(end > 12) & (end < 15),0.53977
Arrival Constants -- PM peak 1 (15),end == 15,0
Arrival Constants -- PM peak 2 (16),end == 16,0.38917
Arrival Constants -- PM peak 3 (17),end == 17,0.19812
Arrival Constants -- PM peak 4 (18),end == 18,0.25362
Arrival Constants -- Evening (19 to 21),(end > 18) & (end < 22),0.87015
Arrival Constants -- Late (22 and later),end > 21,1.752
Duration Constants -- 0 to 2 hours,duration < 3,1.40996
Duration Constants -- 3 to 4 hours,(duration > 2) & (duration < 5),0.74589
Duration Constants -- 5 to 6 hours,(duration > 4) & (duration < 7),0.56764
Duration Constants -- 7 to 8 hours,(duration > 6) & (duration < 9),0
Duration Constants -- 9 hours,duration == 9,0.65081
Duration Constants -- 10 hours,duration == 10,0.90479
Duration Constants -- 11 hours,duration == 11,1.52116
Duration Constants -- 12 to 13 hours,(duration > 11) & (duration < 14),2.41849
Duration Constants -- 14 to 18 hours,(duration > 13) & (duration < 19),2.50314
