Token,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
c_ivt,-0.0279,-0.0279,-0.0279,-0.0279,-0.0279,-0.0279,-0.0271,-0.0271,-0.022,-0.0279
c_ivt_lrt,-0.02511,-0.02511,-0.02511,-0.02511,-0.02511,-0.02511,-0.02439,-0.02439,-0.0198,-0.02511
c_ivt_ferry,-0.02232,-0.02232,-0.02232,-0.02232,-0.02232,-0.02232,-0.02168,-0.02168,-0.0176,-0.02232
c_ivt_exp,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175
c_ivt_hvy,-0.02232,-0.02232,-0.02232,-0.02232,-0.02232,-0.02232,-0.02168,-0.02168,-0.0176,-0.02232
c_ivt_com,-0.02232,-0.02232,-0.02232,-0.02232,-0.02232,-0.02232,-0.02168,-0.02168,-0.0176,-0.02232
c_shortiWait,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_longiWait,-0.0279,-0.0279,-0.0279,-0.0279,-0.0279,-0.0279,-0.0271,-0.0271,-0.022,-0.0279
c_wacc,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_wegr,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_waux,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_dtim,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_xfers_wlk,-0.1395,-0.1395,-0.1395,-0.1395,-0.1395,-0.1395,-0.1355,-0.1355,-0.11,-0.1395
c_xfers_drv,-0.4185,-0.4185,-0.4185,-0.4185,-0.4185,-0.4185,-0.4065,-0.4065,-0.33,-0.4185
c_xwait,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_walkTimeShort,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0558,-0.0542,-0.0542,-0.044,-0.0558
c_walkTimeLong,-0.279,-0.279,-0.279,-0.279,-0.279,-0.279,-0.271,-0.271,-0.22,-0.279
c_bikeTimeShort,-0.1116,-0.1116,-0.1116,-0.1116,-0.1116,-0.1116,-0.1084,-0.1084,-0.088,-0.1116
c_bikeTimeLong,-0.558,-0.558,-0.558,-0.558,-0.558,-0.558,-0.542,-0.542,-0.44,-0.558
vot,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime,@valueOfTime
c_cost,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot,(0.6*c_ivt)/vot
c_dacc_ratio,0,0,0,0,0,0,0,0,0,0
c_topology_walk,-0.4185,-0.4185,-0.4185,-0.4185,-0.4185,-0.4185,-0.4065,-0.4065,-0.33,-0.4185
c_topology_bike,-0.558,-0.558,-0.558,-0.558,-0.558,-0.558,-0.542,-0.542,-0.44,-0.558
c_topology_trn,-0.06138,-0.06138,-0.06138,-0.06138,-0.06138,-0.06138,-0.05962,-0.05962,-0.0484,-0.06138
c_densityIndex,0.00558,0.00558,0.00558,0.00558,0.00558,0.00558,0.00542,0.00542,0.0044,0.00558
c_originDensityIndex,0.01674,0.01674,0.01674,0.01674,0.01674,0.01674,0.01626,0.01626,0.0132,0.01674
c_originDensityIndexMax,0.4185,0.4185,0.4185,0.4185,0.4185,0.4185,0.4065,0.4065,0.33,0.4185
c_age1619_da,0,0,0,0,0,0,0,0,0,0
c_age010_trn,0,0,0,0,0,0,0,0,0,0
c_age16p_sr,0,0,0,0,0,0,0,0,0,0
c_hhsize1_sr,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346
c_hhsize2_sr,0,0,0,0,0,0,0,0,0,0
