,omaz,idx,btap,dmaz,atap,tod,utility,transit_type
1755750,21499,5797,564,18012,608,PM,-10.5248238118,local_bus
2087212,21484,7291,655,11849,720,PM,-10.3738666168,local_bus
1780226,21355,7730,564,17545,266,PM,-10.1713100443,local_bus
268051,21397,7720,564,19863,597,PM,-9.93039208182,local_bus
406522,21509,1127,564,15449,32,PM,-9.83633266182,local_bus
1047495,21508,3156,655,4593,818,AM,-9.75912981432,local_bus
1433446,21511,4522,588,1665,2190,PM,-9.67775527932,local_bus
1678966,21394,5449,564,17650,364,PM,-9.66091708182,local_bus
1706857,21341,5578,564,14702,263,PM,-9.54476004432,local_bus
1591532,21452,5115,588,19244,463,AM,-9.52333300932,local_bus
657703,21339,1884,564,17445,242,AM,-9.52256004432,local_bus
230839,21783,600,564,4389,856,PM,-9.51888576432,local_bus
1203082,21417,3657,655,6289,1211,PM,-9.46320826932,local_bus
933704,21454,2772,564,19371,567,AM,-9.43641682182,local_bus
903871,21624,5023,564,18172,347,AM,-9.38667340182,local_bus
1793527,21357,5975,564,18855,437,AM,-9.36408504432,local_bus
70815,21541,196,655,17597,264,AM,-9.34844136432,local_bus
2001447,21622,6888,564,5257,1193,PM,-9.34437178182,local_bus
2328454,21731,8586,564,19745,1420,PM,-9.33418275432,local_bus
1774372,21641,5894,655,5727,1254,PM,-9.28751296932,local_bus
2570900,21343,9926,564,18951,400,AM,-9.26846004432,local_bus
425263,21651,1197,564,20181,717,PM,-9.24887328432,local_bus
2242905,21393,8087,564,19814,637,PM,-9.21264208182,local_bus
463390,21505,1313,655,12058,824,PM,-9.19018027932,local_bus
729114,21629,2122,655,3661,1498,PM,-9.18373407432,local_bus
2297425,21544,8419,564,13946,690,PM,-9.17119879182,local_bus
298771,21461,804,588,9617,1446,PM,-9.17045800932,local_bus
1147857,21352,3490,655,6422,1252,AM,-9.12317623182,local_bus
918579,21608,3376,655,6670,1388,PM,-9.11150038932,local_bus
1780190,21355,5928,588,12191,860,PM,-9.10652623182,local_bus
2013921,21549,6968,564,17083,146,PM,-9.09224560182,local_bus
414988,21497,1157,655,9414,1726,AM,-9.07761688182,local_bus
1015095,21358,8588,564,4319,1093,PM,-9.05793504432,local_bus
382124,21520,1043,655,9050,1768,PM,-9.05757670932,local_bus
949319,21396,2831,564,22936,477,PM,-9.05694208182,local_bus
1066042,21564,3211,564,17457,262,PM,-9.05617060182,local_bus
1147092,21366,5193,564,12918,646,PM,-9.05473542432,local_bus
2288022,21489,8364,564,13202,776,AM,-9.04467402432,local_bus
1146006,21506,3482,564,15642,10,PM,-9.03373893432,local_bus
992261,21348,2966,655,11969,818,PM,-9.01810123182,local_bus
2415136,21460,9057,564,14885,135,AM,-8.99804182182,local_bus
1368621,21691,4297,564,13882,663,PM,-8.97815533932,local_bus
2370286,21463,8798,564,18989,451,PM,-8.97201682182,local_bus
2562860,21398,9880,564,14106,334,AM,-8.97024208182,local_bus
1266196,21532,3904,564,5971,1393,PM,-8.96959902432,local_bus
2165525,21590,7685,564,2247,1564,AM,-8.92732069932,local_bus
1507362,21777,4785,564,15152,75,AM,-8.91428221182,local_bus
1712719,21462,5601,655,5609,1185,PM,-8.91080800932,local_bus
816765,21614,2412,655,1787,2088,AM,-8.90532538932,local_bus
1015025,21358,3067,564,18180,484,PM,-8.90208504432,local_bus
451004,21503,1276,655,3889,1352,AM,-8.89724188182,local_bus
297347,21501,801,655,8302,2341,PM,-8.87735527932,local_bus
2341756,21723,8655,588,3237,1778,AM,-8.86308923682,local_bus
2032346,21672,7048,655,19183,498,PM,-8.85236458932,local_bus
2488149,21458,9466,588,2020,2035,AM,-8.84608300932,local_bus
1072731,21457,6632,655,3205,1776,AM,-8.82553300932,local_bus
412044,21386,1145,588,14810,246,AM,-8.82083326932,local_bus
2272815,21346,8289,588,7459,2083,PM,-8.81965123182,local_bus
1094110,21752,3313,588,19183,498,PM,-8.81272396932,local_bus
875188,21459,2584,588,5328,1305,AM,-8.80805800932,local_bus
421358,21779,9723,564,4138,356,PM,-8.80119183432,local_bus
726319,21395,2107,588,6837,2431,PM,-8.80028326932,local_bus
918643,21608,5187,564,17246,237,PM,-8.78851812432,local_bus
2407335,21411,9011,564,6002,1445,PM,-8.78356708182,local_bus
2265644,21379,8254,588,11001,1182,AM,-8.77785826932,local_bus
2487763,21737,9463,655,9119,1928,PM,-8.75058162432,local_bus
882374,21747,2601,564,13509,688,AM,-8.74030678182,local_bus
2476264,21540,9380,564,3836,1020,PM,-8.73478893432,local_bus
2452872,21510,9245,564,2738,1862,PM,-8.71830766182,local_bus
2509336,21733,9573,564,14339,348,AM,-8.70898275432,local_bus
2403634,21772,8991,655,1547,2088,AM,-8.70100195182,local_bus
188502,21901,502,655,10792,1167,AM,-8.69930800932,local_bus
1746216,21578,5754,564,15617,10,AM,-8.68717060182,local_bus
882473,21747,7298,588,7398,2097,PM,-8.68674854682,local_bus
1345068,21514,4182,588,7346,2395,AM,-8.67500481432,local_bus
2288099,21489,9404,564,22765,1613,AM,-8.65512402432,local_bus
2074204,21347,7258,588,8293,2336,AM,-8.63537623182,local_bus
1886450,21521,6329,655,482,1736,AM,-8.63247670932,local_bus
2259908,21054,8218,564,6585,1388,PM,-8.61727387032,local_bus
1640952,21380,5315,655,3662,1541,PM,-8.60018326932,local_bus
1158073,21738,3518,655,9472,1530,PM,-8.59780662432,local_bus
1840257,21636,6150,564,5110,831,AM,-8.59514287932,local_bus
