alternative,probability_1,probability_2,probability_3
PERID,1888694,1888695,1888696
0,,6.70990198859e-10,1.08210629939e-06
1,,1e-300,0.225237215973
2,,5.62375309274e-09,5.35582222254e-298
3,,1e-300,5.35582222254e-298
4,,5.92324442839e-10,0.675568217219
5,,1e-300,4.8365154448e-07
6,,9.47919361667e-09,1.73463065542e-07
7,,1.24702271112e-05,3.24562981459e-06
8,,1e-300,5.35582222254e-298
9,,1e-300,5.35582222254e-298
10,,1e-300,0.0749299846892
11,,1e-300,0.000561667152456
12,,1.13099666806e-09,5.35582222254e-298
13,,2.5733260656e-09,5.35582222254e-298
14,,1e-300,5.35582222254e-298
15,,2.0169757803e-09,0.0037691674444
16,,5.34039302855e-09,5.35582222254e-298
17,,6.04964293393e-09,3.59985840239e-07
18,,1.1261941869e-06,5.35582222254e-298
19,,1.04691105092e-06,5.35582222254e-298
20,,1.18594979953e-06,5.35582222254e-298
21,,1e-300,9.5524198709e-07
22,,1.06925150873e-05,0.00669026938431
23,,1e-300,5.35582222254e-298
24,,0.00125921522945,5.35582222254e-298
25,,8.12787288135e-09,5.35582222254e-298
26,,1.07381116663e-08,5.35582222254e-298
27,,1e-300,5.35582222254e-298
28,,1e-300,5.35582222254e-298
29,,1e-300,3.41847488658e-07
30,,0.99829043714,0.00396915862918
31,,2.12438923897e-10,5.35582222254e-298
32,,1e-300,5.35582222254e-298
33,,1e-300,0.00041805350178
34,,1e-300,5.35582222254e-298
35,,1e-300,1.56394178416e-06
36,,3.75477763515e-07,5.35582222254e-298
37,,0.000419827524983,5.35582222254e-298
38,,1.78050895127e-09,2.86511766469e-06
39,,2.70986617327e-09,1.02758297566e-06
40,,1e-300,5.76099048441e-06
41,,1e-300,5.35582222254e-298
42,,1e-300,6.06779035745e-07
43,,1e-300,5.20278735623e-07
44,,3.56492840934e-06,4.59282136643e-07
45,,1e-300,0.00533268114106
46,,1e-300,5.35582222254e-298
47,,8.56072038818e-10,5.35582222254e-298
48,,1e-300,0.00350382118482
49,,1e-300,3.17781709199e-07
