alternative,utility_1,utility_2,utility_3
PERID,1888694,1888695,1888696
0,,-21.12055556,-20.01995556
1,,-1996.40425556,-7.77395556
2,,-18.99455556,-1997.36115556
3,,-1999.25045556,-1998.60325556
4,,-21.24525556,-6.67555556
5,,-1998.46175556,-20.82525556
6,,-18.47245556,-21.85065556
7,,-11.29045556,-18.92155556
8,,-1996.47725556,-1996.35255556
9,,-1996.37885556,-1996.25415556
10,,-1998.22505556,-8.87455556
11,,-1998.75705556,-13.76795556
12,,-20.59845556,-1999.37515556
13,,-19.77635556,-1995.72215556
14,,-1997.63105556,-1999.56015556
15,,-20.01995556,-11.86425556
16,,-19.04625556,-1999.98015556
17,,-18.92155556,-21.12055556
18,,-13.69495556,-1995.82055556
19,,-13.76795556,-1995.87225556
20,,-13.64325556,-1997.94655556
21,,-1997.78115556,-20.14465556
22,,-11.44425556,-11.29045556
23,,-1997.36115556,-1997.72945556
24,,-6.67555556,-1994.12815556
25,,-18.62625556,-1995.98425556
26,,-18.34775556,-1998.88175556
27,,-1995.98425556,-1998.30795556
28,,-1998.60325556,-1995.45225556
29,,-1994.12815556,-21.17225556
30,,0.0,-11.81255556
31,,-22.27065556,-1998.95515556
32,,-1997.70295556,-1996.40425556
33,,-1996.05725556,-14.06325556
34,,-1995.72215556,-1998.46175556
35,,-1995.82055556,-19.65165556
36,,-14.79335556,-1997.65125556
37,,-7.77395556,-1999.90715556
38,,-20.14465556,-19.04625556
39,,-19.72465556,-20.07165556
40,,-1999.48715556,-18.34775556
41,,-1998.95515556,-1998.23495556
42,,-1999.90715556,-20.59845556
43,,-1995.45225556,-20.75225556
44,,-12.54265556,-20.87695556
45,,-1999.56015556,-11.51725556
46,,-1997.72945556,-1996.10895556
47,,-20.87695556,-1999.25045556
48,,-1998.88175556,-11.93725556
49,,-1998.30795556,-21.24525556
