household_id,model_choice,override_choice,util_drivers_2,util_drivers_3,util_drivers_4_up,util_persons_16_17,util_persons_18_24,util_persons_25_34,util_presence_children_0_4,util_presence_children_5_17,util_num_workers_clip_3,util_hh_income_0_30k,util_hh_income_30_75k,util_hh_income_75k_up,util_density_0_10_no_workers,util_density_10_up_no_workers,util_density_0_10_workers,util_density_10_up_workers,util_asc,util_asc_san_francisco,util_asc_solano,util_asc_napa,util_asc_sonoma,util_asc_marin,util_retail_auto_no_workers,util_retail_auto_workers,util_retail_transit_no_workers,util_retail_transit_workers,util_retail_non_motor_no_workers,util_retail_non_motor_workers,util_auto_time_saving_per_worker,TAZ,income,hhsize,HHT,auto_ownership,num_workers,chunk_id,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,hh_work_auto_savings_ratio,auPkRetail,auPkTotal,auOpRetail,auOpTotal,trPkRetail,trPkTotal,trOpRetail,trOpTotal,nmRetail,nmTotal,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index
33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,10.0,12.056656085976964,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.059919357299805,0.0,7.403460502624512,0.0,7.08221435546875,0.0,0.0,46,7200,1,4,0,0,1369,7.2,1,6.01,1.922192651101523,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.056649,12.885131,10.066265,12.895187,7.4595513,10.516096,7.2945766,10.317262,7.0822144,9.946215,2,2,1,4324,7060,102.0,42.19071,8.0,1488,267,118,386,659,283,0,42,75.0,102.0,1,0.0,0.0,0.0,1,4.37996,86.15140132506593,29.64692071500881,22.056656085976964
247,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,10.0,7.844541309537785,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.980033874511719,0.0,7.0033721923828125,0.0,6.717966556549072,0.0,0.0,88,23600,1,4,1,0,844,23.6,1,6.01,45.75985354696104,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.974598,12.665335,9.990586,12.683721,7.0937576,9.829216,6.8279185,9.525286,6.7179666,8.742306,2,2,1,2611,5381,85.0,40.0,11.0,1397,216,485,196,592,95,1,28,0.0,0.0,2,340.63205,0.0,0.0,2,3.88504,51.19607843137255,27.392156862745097,17.844541309537785
649,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,7.004002338632963,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.825051307678223,0.0,5.8706254959106445,0.0,5.798886299133301,0.0,0.0,132,14000,1,4,1,0,87,14.0,1,6.01,13.348511795244455,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.808086,12.388664,9.857983,12.465831,5.9420547,8.361053,5.7319674,8.237108,5.7988863,7.900061,3,3,1,1504,4166,205.0,104.94115,15.0,1903,618,266,419,576,610,0,32,0.0,0.0,3,947.84723,0.0,0.0,1,2.1749400000000003,12.5394829047412,15.866114340241028,7.004002338632963
734,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.524407123744699,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.887802124023438,0.0,6.0151753425598145,0.0,6.101399898529053,0.0,0.0,137,8000,1,6,1,0,77,8.0,1,6.01,4.576851766970754,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.877184,12.553879,9.908411,12.5982065,6.2432027,9.000381,5.572533,8.1687155,6.1014,7.8957896,3,3,1,1595,5798,137.0,84.23708,4.0,702,985,218,115,233,129,0,7,0.0,0.0,3,0.0,0.0,0.0,1,2.36725,18.076300802338427,7.955838973819169,5.524407123744699
1216,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28408524846184,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.690954208374023,0.0,5.877939701080322,0.0,5.5233259201049805,0.0,0.0,164,0,1,6,0,0,67,0.0,1,6.01,1.6782006218158017,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.674301,12.277032,9.723281,12.351563,5.975256,8.478826,5.6890316,8.222954,5.523326,6.916811,3,3,1,1943,7772,183.0,87.0,21.0,808,1333,273,107,230,172,0,26,0.0,0.0,3,0.0,0.0,0.0,1,2.45427,17.99074074074074,7.481481481481482,5.28408524846184
1308,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5.26706170145948,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.793546676635742,0.0,5.89855432510376,0.0,6.0735368728637695,0.0,0.0,166,20000,1,6,1,0,718,20.0,1,6.01,4.556845383395234,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.776562,12.362817,9.826517,12.43775,5.987768,8.303823,5.725374,8.023423,6.073537,7.8516674,3,3,1,2650,9647,205.0,122.0,12.0,962,1584,190,191,373,192,0,16,0.0,0.0,3,506.23721,0.0,0.0,1,2.4418,19.776119402985074,7.17910447761194,5.26706170145948
1457,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,3.7401751152073737,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.703044891357422,0.0,5.718111515045166,0.0,5.910324573516846,0.0,0.0,168,20,1,4,1,0,1892,0.02,1,6.01,3.4362404137660016,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.685766,12.242912,9.736587,12.319197,5.7826886,7.9366684,5.592756,7.759227,5.9103246,7.2481217,4,4,1,3086,9546,272.0,142.0,26.0,789,1573,300,133,137,207,1,11,0.0,0.0,3,0.0,0.0,0.0,1,2.07472,18.36904761904762,4.696428571428571,3.7401751152073737
1496,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9203860857716037,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.792981147766113,0.0,5.3470330238342285,0.0,6.443514347076416,0.0,0.0,169,0,1,6,1,0,1596,0.0,1,6.01,3.023348015977092,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.773436,12.310424,9.830923,12.397655,5.399195,7.7315216,5.245777,7.560846,6.4435143,7.9655476,4,4,1,2369,6703,457.0,270.0,20.0,2186,1144,323,411,1006,367,1,78,0.0,0.0,3,774.16785,0.0,0.0,1,1.6179,8.168965517241379,7.537931034482758,3.9203860857716037
1569,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3672825489399334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.727762222290039,0.0,5.791211128234863,0.0,6.065626621246338,0.0,0.0,173,0,1,6,1,0,1928,0.0,1,6.01,2.772186595339393,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.709714,12.191477,9.7627945,12.2587385,5.8557787,8.123879,5.6658745,7.947275,6.0656266,7.545322,4,4,1,1423,3706,147.0,91.0,1.0,396,533,128,86,36,54,0,92,0.0,0.0,3,0.0,0.0,0.0,1,1.7738900000000002,15.467391304347826,4.304347826086956,3.3672825489399334
1863,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,6.019248934531911,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.595987319946289,0.0,5.643489837646484,0.0,6.167651176452637,0.0,0.0,184,10200,1,4,0,0,1389,10.2,1,6.01,3.641892466672918,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.577934,12.021688,9.631029,12.095274,5.926293,8.038536,5.0945187,7.1837783,6.167651,7.572074,4,4,1,3147,9323,287.0,178.0,6.0,1709,1265,438,203,376,623,0,69,0.0,0.0,3,0.0,0.0,0.0,1,2.16617,17.10326086956522,9.28804347826087,6.019248934531911
1893,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,6.1512285266055144,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.684770584106445,0.0,5.963217735290527,0.0,6.21801233291626,0.0,0.0,185,1200,1,4,1,0,1710,1.2,1,6.01,1.6205073757762252,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.663994,12.129631,9.725101,12.206174,6.1612444,8.263765,5.5788126,7.648663,6.2180123,7.743458,4,4,1,3012,8736,309.0,145.0,40.0,1829,1087,303,475,797,224,0,30,0.0,0.0,3,3301.32227,242.20949,8.24565,1,2.13267,16.28108108108108,9.886486486486486,6.1512285266055144
25693,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,10.0,83.85038978271686,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.126801490783691,0.0,7.629941940307617,0.0,8.03978443145752,0.0,0.0,6,6300,1,4,0,0,1786,6.3,1,6.01,4.532583816232545,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.127601,13.012777,10.125251,13.013418,7.715868,10.739743,7.4631443,10.485238,8.039784,11.174906,1,1,1,2240,3963,29.0,7.0,8.0,3789,226,151,924,1997,672,1,44,150.0,546.0,0,0.0,0.0,0.0,1,5.00004,149.33333333333334,252.6,93.85038978271686
25939,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,10.0,94.5323772849998,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.146238327026367,0.0,8.012784957885742,0.0,8.153928756713867,0.0,0.0,7,8900,1,4,0,0,1280,8.9,1,6.01,8.789955849822226,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.14755,13.023967,10.143694,13.021462,8.028974,11.033283,7.9813595,10.975897,8.153929,11.221939,1,1,1,3762,6032,45.0,13.0,14.0,11300,425,252,5535,4593,799,1,120,318.85754,933.24158,0,0.0,0.0,0.0,1,5.35435,139.33333333333334,418.51851851851853,104.5323772849998
27448,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,72.92038669699788,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.156350135803223,0.0,7.700197696685791,0.0,7.799461364746094,0.0,0.0,9,9000,1,4,0,0,1556,9.0,1,6.01,3.821254239637899,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.1572485,12.993565,10.154604,12.991316,7.7229834,10.6228075,7.655966,10.564857,7.7994614,11.006196,1,1,1,5545,10171,112.0,9.79332,47.0,31248,1034,123,8750,9500,12434,4,437,181.05391,299.21539,0,26.92893,2035.58118,20.60887,2,5.22542,97.63472182996169,550.2055523431277,82.92038669699788
27504,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,10.0,69.66360880593872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.164687156677246,0.0,7.829665184020996,0.0,7.901368141174316,0.0,0.0,10,8900,1,4,0,0,342,8.9,1,6.01,14.201913851035227,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.165902,12.990308,10.162329,12.9899645,7.8562827,10.824177,7.777994,10.765681,7.901368,10.92313,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872
27714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,10.0,69.66360880593872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.164687156677246,0.0,7.829665184020996,0.0,7.901368141174316,0.0,0.0,10,3500,1,4,0,0,1059,3.5,1,6.01,1.5954552599070302,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.165902,12.990308,10.162329,12.9899645,7.8562827,10.824177,7.777994,10.765681,7.901368,10.92313,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872
27804,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,69.66360880593872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.164687156677246,0.0,7.829665184020996,0.0,7.901368141174316,0.0,0.0,10,20000,1,4,1,0,1867,20.0,1,6.01,2.895855052191217,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.165902,12.990308,10.162329,12.9899645,7.8562827,10.824177,7.777994,10.765681,7.901368,10.92313,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872
27873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,10.0,69.66360880593872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.164687156677246,0.0,7.829665184020996,0.0,7.901368141174316,0.0,0.0,10,4200,1,4,0,0,1130,4.2,1,6.01,1.9138959647785214,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.165902,12.990308,10.162329,12.9899645,7.8562827,10.824177,7.777994,10.765681,7.901368,10.92313,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872
28025,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,10.0,69.66360880593872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.164687156677246,0.0,7.829665184020996,0.0,7.901368141174316,0.0,0.0,10,9300,1,4,1,0,1659,9.3,1,6.01,2.114323471956774,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.165902,12.990308,10.162329,12.9899645,7.8562827,10.824177,7.777994,10.765681,7.901368,10.92313,1,1,1,5344,9308,73.5,10.37666,35.0,11172,822,139,3157,3008,4622,1,245,90.6058,277.92566,0,0.0,690.54974,0.0,3,4.73802,117.76979619037628,246.20586883212647,79.66360880593872
28802,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,10.0,46.91110757846511,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.075380325317383,0.0,7.280016899108887,0.0,8.27053165435791,0.0,0.0,16,8100,1,4,0,0,253,8.1,1,6.01,9.290884904978174,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.07603,12.99288,10.0741205,12.99551,7.3116975,10.657992,7.218519,10.559569,8.270532,11.393511,1,1,1,6164,10272,123.4,13.73247,72.0,23407,279,2791,11982,4588,3569,65,412,164.00706,532.0228900000002,0,0.0,0.0,0.0,2,4.75017,71.8980801556283,273.02374467923295,56.91110757846511
28911,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,10.0,46.91110757846511,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.075380325317383,0.0,7.280016899108887,0.0,8.27053165435791,0.0,0.0,16,7900,1,4,1,0,1371,7.9,1,6.01,21.771720220741756,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,10.07603,12.99288,10.0741205,12.99551,7.3116975,10.657992,7.218519,10.559569,8.270532,11.393511,1,1,1,6164,10272,123.4,13.73247,72.0,23407,279,2791,11982,4588,3569,65,412,164.00706,532.0228900000002,0,0.0,0.0,0.0,2,4.75017,71.8980801556283,273.02374467923295,56.91110757846511
