person_id,model_choice
29448,101
30431,13
31152,12
31532,69
31609,9
31680,91
32162,10
34328,9
35896,133
36302,12
36441,12
37197,14
74775,108
109061,14
111245,13
115091,112
118875,14
120765,107
122097,10
123108,188
123238,10
123377,107
123604,112
123795,91
126294,101
128892,101
214325,91
214326,188
236054,91
236737,12
236738,133
266924,5
270153,188
270352,10
323635,14
323636,14
324997,37
325884,12
328124,14
329880,91
332836,108
333697,69
334266,91
335652,133
385743,9
386089,37
422939,10
463000,133
463002,101
495126,185
495778,188
495779,107
495780,185
497138,112
497139,188
510928,188
510929,133
510930,107
520211,13
556630,9
556631,5
571763,12
599221,37
633446,101
644722,13
645379,91
645418,69
647626,9
647627,13
667724,9
685527,13
685528,10
685529,91
685530,12
686504,133
686505,188
697667,13
698392,10
734457,91
734458,101
752565,112
752933,107
752935,10
754767,112
778933,37
792796,13
792797,108
794163,5
847601,112
847868,14
849338,112
849342,10
887867,107
887869,10
1048772,185
1105611,107
1105898,37
1109323,91
1109326,91
1163599,12
1182192,5
1205576,133
1272143,14
1273180,37
1273869,13
1275142,5
1276889,13
1277722,5
1279586,133
1425980,10
1433932,133
1479968,185
1542699,133
1542700,107
1542701,133
1561895,133
1561898,185
1572743,12
1573752,91
1574262,37
1650501,5
1722487,39
1723339,91
1723340,91
1730942,188
1774994,5
1775164,91
1775818,185
1777106,12
1777398,133
1808064,14
1877632,185
1883050,37
1885728,14
1885917,5
1886645,108
1887109,9
1888596,14
1892568,9
1892929,101
1892965,107
1894081,5
1894082,188
2034476,185
2034477,10
2034478,185
2072823,10
2072824,69
2072954,133
2072955,9
2090476,14
2090723,91
2090724,185
2107085,101
2220402,107
2221455,133
2271376,9
2297699,9
2297700,188
2297701,91
2311788,12
2311789,10
2313544,188
2356118,101
2377185,133
2377186,91
2377986,10
2415917,185
2415918,9
2415919,107
2415920,185
2415922,107
2417469,112
2441601,101
2475818,9
2479320,133
2479364,5
2566679,13
2567938,91
2568390,12
2615801,13
2615802,108
2615935,69
2619767,10
2746718,13
2821883,133
2821884,39
2822442,12
2824819,91
2878751,69
2881675,13
2916404,188
2940230,9
2950432,69
3018532,5
3018533,5
3061964,9
3089321,10
3138098,9
3160631,133
3160632,101
3160633,108
3161458,37
3175552,69
3181807,112
3181808,185
3181809,12
3195421,112
3280270,14
3329109,69
3496153,9
3497617,13
3507580,69
3512999,185
3514299,13
3520117,91
3522669,91
3626342,12
3647890,5
3647891,10
3648162,10
3691413,101
3753042,101
3754580,14
3814572,188
3928997,5
3945886,13
3945887,9
3967587,185
4050885,5
4057715,91
4058678,10
4172135,5
4172136,5
4172914,12
4172915,112
4175456,12
4175792,107
4175793,14
4178062,5
4178064,37
4178065,14
4178067,13
4178068,9
4235452,69
4235453,188
4236707,107
4626935,10
4762603,133
4765153,188
4765571,133
4765574,10
4766010,69
4766483,9
4766486,37
4770535,10
4771638,5
4772921,188
4772922,188
4852158,185
4852159,5
4882736,10
4902347,13
4903483,69
4911216,10
4912386,108
5002351,9
5030244,39
5031009,5
5085022,107
5088287,14
5142667,133
5387145,39
5520885,69
5521841,37
5585570,91
5956799,5
5957154,107
6039554,188
6043789,12
6044184,69
6045169,37
6045170,107
6049382,108
6049818,69
6049819,101
6050536,185
6051331,9
6051333,37
6051338,5
6053210,133
6054773,12
6055487,107
6055489,10
6055759,133
6057331,14
6060250,133
6060746,188
6061364,12
6061366,12
6062291,14
6361730,91
6363050,5
6365101,108
6369048,10
6369051,188
6371748,133
6372279,69
6372280,112
6372281,185
6570348,10
6583238,133
6886727,133
6916913,13
6926237,12
6927978,107
7263989,108
7311022,5
7360468,133
7389724,112
7443337,107
7452008,107
7453818,39
7455079,37
7455400,37
7456758,39
7457225,188
7458357,112
7459236,9
7460194,91
7460460,112
7511486,133
7512051,91
7512234,112
7512911,91
7512945,14
7513150,185
7514277,107
7514701,13
7514761,91
7515185,188
7526077,188
29448,101
30431,13
31152,12
31532,69
31609,9
31680,91
32162,10
34328,9
35896,133
36302,12
36441,12
37197,14
74775,108
109061,14
111245,13
115091,112
118875,14
120765,107
122097,10
123108,188
123238,10
123377,107
123604,112
123795,91
126294,101
128892,101
214325,91
214326,188
236054,91
236737,12
236738,133
266924,5
270153,188
270352,10
323635,14
323636,14
324997,37
325884,12
328124,14
329880,91
332836,108
333697,69
334266,91
335652,133
385743,9
386089,37
422939,10
463000,133
463002,101
495126,185
495778,188
495779,107
495780,185
497138,112
497139,188
510928,188
510929,133
510930,107
520211,13
556630,9
