Token,File,Matrix,TimePeriod
SOV_TIME,hwyskmAM.tpp.omx,TIMEDA,AM
SOV_DIST,hwyskmAM.tpp.omx,DISTDA,AM
SOV_BTOLL,hwyskmAM.tpp.omx,BTOLLDA,AM
HOV2_TIME,hwyskmAM.tpp.omx,TIMES2,AM
HOV2_DIST,hwyskmAM.tpp.omx,DISTS2,AM
HOV2_BTOLL,hwyskmAM.tpp.omx,BTOLLS2,AM
HOV3_TIME,hwyskmAM.tpp.omx,TIMES3,AM
HOV3_DIST,hwyskmAM.tpp.omx,DISTS3,AM
HOV3_BTOLL,hwyskmAM.tpp.omx,BTOLLS3,AM
SOVTOLL_TIME,hwyskmAM.tpp.omx,TOLLTIMEDA,AM
SOVTOLL_DIST,hwyskmAM.tpp.omx,TOLLDISTDA,AM
SOVTOLL_BTOLL,hwyskmAM.tpp.omx,TOLLBTOLLDA,AM
SOVTOLL_VTOLL,hwyskmAM.tpp.omx,TOLLVTOLLDA,AM
HOV2TOLL_TIME,hwyskmAM.tpp.omx,TOLLTIMES2,AM
HOV2TOLL_DIST,hwyskmAM.tpp.omx,TOLLDISTS2,AM
HOV2TOLL_BTOLL,hwyskmAM.tpp.omx,TOLLBTOLLS2,AM
HOV2TOLL_VTOLL,hwyskmAM.tpp.omx,TOLLVTOLLS2,AM
HOV3TOLL_TIME,hwyskmAM.tpp.omx,TOLLTIMES3,AM
HOV3TOLL_DIST,hwyskmAM.tpp.omx,TOLLDISTS3,AM
HOV3TOLL_BTOLL,hwyskmAM.tpp.omx,TOLLBTOLLS3,AM
HOV3TOLL_VTOLL,hwyskmAM.tpp.omx,TOLLVTOLLS3,AM
SOV_TIME,hwyskmEA.tpp.omx,TIMEDA,EA
SOV_DIST,hwyskmEA.tpp.omx,DISTDA,EA
SOV_BTOLL,hwyskmEA.tpp.omx,BTOLLDA,EA
HOV2_TIME,hwyskmEA.tpp.omx,TIMES2,EA
HOV2_DIST,hwyskmEA.tpp.omx,DISTS2,EA
HOV2_BTOLL,hwyskmEA.tpp.omx,BTOLLS2,EA
HOV3_TIME,hwyskmEA.tpp.omx,TIMES3,EA
HOV3_DIST,hwyskmEA.tpp.omx,DISTS3,EA
HOV3_BTOLL,hwyskmEA.tpp.omx,BTOLLS3,EA
SOVTOLL_TIME,hwyskmEA.tpp.omx,TOLLTIMEDA,EA
SOVTOLL_DIST,hwyskmEA.tpp.omx,TOLLDISTDA,EA
SOVTOLL_BTOLL,hwyskmEA.tpp.omx,TOLLBTOLLDA,EA
SOVTOLL_VTOLL,hwyskmEA.tpp.omx,TOLLVTOLLDA,EA
HOV2TOLL_TIME,hwyskmEA.tpp.omx,TOLLTIMES2,EA
HOV2TOLL_DIST,hwyskmEA.tpp.omx,TOLLDISTS2,EA
HOV2TOLL_BTOLL,hwyskmEA.tpp.omx,TOLLBTOLLS2,EA
HOV2TOLL_VTOLL,hwyskmEA.tpp.omx,TOLLVTOLLS2,EA
HOV3TOLL_TIME,hwyskmEA.tpp.omx,TOLLTIMES3,EA
HOV3TOLL_DIST,hwyskmEA.tpp.omx,TOLLDISTS3,EA
HOV3TOLL_BTOLL,hwyskmEA.tpp.omx,TOLLBTOLLS3,EA
HOV3TOLL_VTOLL,hwyskmEA.tpp.omx,TOLLVTOLLS3,EA
SOV_TIME,hwyskmEV.tpp.omx,TIMEDA,EV
