alternative,utility_1,utility_2,utility_3
PERID,1888694,1888695,1888696
0,,-0.0941318509447,-0.0941318509447
1,,1.17688027355,1.17688027355
2,,1.80890493846,1.80890493846
3,,0.755995272798,0.755995272798
4,,2.5922065046,2.5922065046
5,,3.62740235354,3.62740235354
6,,4.34956454711,4.34956454711
7,,5.03392322163,5.03392322163
8,,5.0554399437,5.0554399437
9,,3.89148948873,3.89148948873
10,,4.3693671744,4.3693671744
11,,-0.25560563888,-0.25560563888
12,,-0.25560563888,-0.25560563888
13,,-0.543287711332,-0.543287711332
14,,0.75466572224,0.75466572224
15,,2.48523438505,2.48523438505
16,,3.40305803069,3.40305803069
17,,2.36543318523,2.36543318523
18,,3.78305001748,3.78305001748
19,,3.65140482472,3.65140482472
20,,3.82193180503,3.82193180503
21,,1.09266364613,1.09266364613
22,,-0.86002127776,-0.86002127776
23,,1.36772560171,1.36772560171
24,,3.86544342731,3.86544342731
